link,resource
000a05de97fae4ea6e8c7ebbb6adf7ed07f595ef5cf322a620503c4a3113fd0d,9205559f67e6e40585bafdb6cc892392f39b9434b29012e8985f4eb8561995be
0023c2787bdf5bff507076999e29f6de9063e18a2b3e0a8e424b92673a122db4,9eda46521c6188e0f32023eced61244627e72ba988f669e15478f90d5203780c
003e505de03c812b8eca3f1828961770d33c530f5f1bb401f8cfce97bc7108f8,f5b23d2fa5322a83c1f738ac4f64e6926c0377bc0756ce42233ae8b4fb958b89
00e467ed4c2e8efae57dc3ebdac239c5956920e588d1eaccf66bc61589746e82,24cc6bdbfc6e9efde4626416f208874519bf6a924b9b162fc137a8d44e7b27ba
01307bca0ecc5c950ef9b35c02ee7b3378cd9b7d29078229e4984a88d4f04ed1,2fa5522f4297bd6cc55a2d0c9cb75e8d327c9a1c79a0a4c5f248044a5f37db45
01307bca0ecc5c950ef9b35c02ee7b3378cd9b7d29078229e4984a88d4f04ed1,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
01307bca0ecc5c950ef9b35c02ee7b3378cd9b7d29078229e4984a88d4f04ed1,b1272eab32c771263b63ea25e900f20406a8c77854f228d07766054cd8c3d801
01fd0dd170e8d8274f7887ea28b88de710c4425f58904ee325616f3ad454abff,18ee8ddaaddbb62504a493c4a554de45c829bcc17d48cf99ab5a6b163be364cf
02047b7f79a2a3c816bd7438dee10e183ead7ded1ed94e023c0bf28511c1e425,d69676bea0cb8e0285cbe175679219157615e5232dcd5a2bc37825c1564330a3
021df06a2f3de271964ff0063e33082b62fb667ca6f4e30a3b85a63adc759bac,1d30971549fffb840a714b5f7fd74d9966ed8aca2118c17b0bd57e4ea7b27970
0229227627ed9813e1157731084ee85c1bb30e831c063065453e707c57129c0c,9933fb8af06079613a66d7f88426cc1f2ae344ee5154f739a12cc5111c676fb4
0231c5a97fa63be2944720d73ad7bf31e159cf04045b275bd83635bcd06cd995,51fd36daf72b8b22fcaff19185e18c31456457ac8116b866c28959be3c69eb1a
024ad59af8227d3c99024a506a1a87cd9106174b96e732a82d2e82579a377baa,024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748
029cb9e14e0428ef9dc4a2d7afe8a8a904f19af1ad4cfc47dbd251b009714967,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
029cb9e14e0428ef9dc4a2d7afe8a8a904f19af1ad4cfc47dbd251b009714967,4eeca291fccc236a4a744850b920fbbf31e4090e4cce51a37c158a3fe080e549
035221aa7f7ff460fd08b3612e5c05b48d1fea1e2453d1e8f56e91ac93dc6ce9,99277f40bbf66b9345b6862e86323950d313e250b8cc34a559457f311b8c3849
035538e79df78d7564f052a0aa3c3fe2d4b12044fc49f9dec9ea12fe7f031098,9dedcde21217b9c64759356f71bde4fb89aa05028ff0450db93ff5c68c06f675
0355597adcbb22ab4cc1c8bd5933a7dfb369a291d126fae137e7236e6e6979ec,68a69753b93b4d9e3a20e0a444ed570fb6c7d1dacf0a3670b5f159dbb78c0bef
