OrganisationURI,"SiteReference
",SiteNameAddress,SitePlanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-01,"“Thomas St phases 3 & 4, Thomas St, Woolwich New Rd & Wellington St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,"178738, 178601","543575, 543397",1.82,Not owned by a public authority,Not Permissioned,,,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,488,488,,"""Previous permission 06/1751/O included in 2018 Brownfield Register. Dwellings range as per Woolwich Urban Design Strategy.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-02,"""64 Plumstead High Street, Plumstead""",www.royalgreenwich.gov.uk/brownfieldregister,178671,545095,0.09,Not owned by a public authority,Permissioned,Full planning permission,2007-10-29,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,7,7,,"""17/1285/F. Started. Previous permission 07/2002/F included in 2017 Brownfield Register.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-03,"“Former Greenwich District Hospital site, Vanbrugh Hill Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,178181,539598,2.20,Not owned by a public authority,Permissioned,Full planning permission,2009-03-31,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,686,686,,"“Started. Permission 16/2591/F for 41 additional residential units increased total residential units on site to 686, up from the 645 units included in 2018 Brownfield Register and permitted by 08/0688/F.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-04,"“The Academy (former Royal Military Academy), Academy Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,177231,543066,4.41,Not owned by a public authority,Permissioned,Full planning permission,2009-07-10,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,328,328,,"“08/1972/F. Completed 2018.""",2017-12-22,2018-12-17,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-05,"“Kidbrooke Village Phase 2, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,175438,540685,5.04,Not owned by a public authority,Permissioned,Reserved matters approval,2010-03-24,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,595,595,,"“09/2269/R. Completed in 2019.""",2017-12-22,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-06,“92-94 Shooters Hill Rd Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,177026,540786,0.07,Not owned by a public authority,Permissioned,Full planning permission,2010-08-02,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,3,3,,"“10/0032/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-07,“83-87 Greenwich High Rd Greenwich“,www.royalgreenwich.gov.uk/brownfieldregister,177131,537735,0.03,Not owned by a public authority,Permissioned,Full planning permission,2019-02-14,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,14,14,,"""18/2389/F. Previous permission 11/0848/F included in 2017 Brownfield Register lapsed."" ",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-08,"""Enderby Wharf (former Alcatel Site), Christchurch Way""",www.royalgreenwich.gov.uk/brownfieldregister,178712,539402,3.60,Not owned by a public authority,Permissioned,Full planning permission,2014-11-10,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,677,677,,"“13/3025/MA. Started. Minimum net dwellings figure excludes the northern part of the site (Enderby Place) which has a separate residential permission.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-09,"“Hilton's Wharf, 30-52 Norman Rd Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,177505,537790,0.13,Not owned by a public authority,Permissioned,Full planning permission,2012-03-27,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,85,85,,"“10/2354/F. Started""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/greenwich,RBG-10,"“Mast Quay Phase 2, Woolwich Church St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,179240,543051,0.76,Not owned by a public authority,Permissioned,Full planning permission,2012-03-29,https://www.royalgreenwich.gov.uk/info/200193/planning_applications_and_permissions/21/view_planning_applications_decisions_and_appeals,Yes,218,218,,"“10/0161/F. Started.""",2017-12-22,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
