OrganisationURL,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,Planning Status,PermisionType,PermissionDate,MinNetDwellings,Developmentdescription,NonHousingDevelopment,NetDwellingsRangeForm,NetDwellingsRangeTo,SiteInformation,Notes,FirstAddedDate,Application ref,Last updated
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR3,"Land at Weston Paddocks, Whitmoor Road, Bagshot",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,ETRS89,51.3569,-0.683,0.55,Not owned by public authority,yes,Permissioned,Outline planning permission,23/07/2015,10,Erection of 15 two storey terraced and semi-detached dwellings and 2 two storey buildings to comprise a total of 12 one and two bedroom flats with the creation of a new access to Whitmoor Road.,,10,10,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2732888%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR4,"Kennels, 79 Guildford Road, Bagshot",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,ETRS89,51.3588,-0.6826,0.27,Not owned by public authority,Yes,Permissioned,Full planning permission,10/03/2015,6,Demolition of boarding kennels and erection of six 3 bed dwelling houses.,,6,6,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2733324%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR5,"Queen Anne House, Station Road, Bagshot",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,ETRS89,51.3635,-0.6908,0.26,Not owned by public authority,Yes,Not permissioned,,,9,,,9,9,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/4SLAA2017Ap2BagshotSiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR13,"325 Guildford Road, Bisley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,ETRS89,51.3218,-0.6305,0.25,Not owned by public authority,Yes,Permissioned,Full planning permission,02/05/2017,9,"Erection of 6 three bedroom dwellings in the form of a pair of semi-detached houses and a terrace of two storey houses with accommodation in the roof and 6 two bedroom and 3 studio flats in the form of a three storey block with parking, landscaping and access from Guildford Road following demolition of existing building.",,9,9,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735617%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR14,"FC Brown Ltd, 17 Queens Road, Bisley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,ETRS89,51.3206,-0.6325,4.181,Not owned by public authority,Yes,Permissioned,Full planning permission,15/05/2015,96,"Erection of a total of 110 dwellings with principal access off Queens Road and access serving 2 no. dwellings off Chatton Row together with internal roads, footways and car parking including garages, drainage, landscaping, open space and other associated works following demolition of the existing factory buildings and areas of hardstanding",,96,110,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2733386%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR15,"land r/o 309-315 Guildford Road, Bisley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,ETRS89,51.3224,-0.6315,0.12,Not owned by public authority,Yes,Not permissioned,,,6,,,6,6,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR16,"317-319 Guildford Road, Bisley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,ETRS89,51.322,-0.631,0.34,Not owned by public authority,Yes,Not permissioned,,,17,,,17,17,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/6SLAA2017Ap2BisleySiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR18,"Norwich House, Knoll Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3395,-0.7442,0.2,Not owned by public authority,Yes,Permissioned,Planning permission granted under an order,17/07/2016,57,General Permitted Development Order for a proposed Change of Use from Class B1 to Class C3 to provide 33 one bedroom and 24 two bedroom flats whilst retaining existing basement car parking.,,57,57,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2735139%27&backurl=custom/planning?,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR19,"Burwood House Hotel, 15 London Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.346,-0.7211,0.17,Not owned by public authority,Yes,Not permissioned,,,10,,,10,10,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,,18/12/2017
http://opendatacommunities.org/id/district-council/surrey-heath,Surrey Heath Borough Council,SHBR20,"Sparks Garage, 2 London Road, Camberley",http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,ETRS89,51.3494,-0.7133,0.1,Not owned by public authority,Yes,Permissioned,Reserved matters approval,30/08/2017,9,Approval of the reserved matters pursuant to outline permission for the erection of 9 x 2 bed flats with associated parking and landscaping.,,9,10,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,,18/12/2017,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736416%27&backurl=custom/planning?,18/12/2017
