OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR1,"""Former War Memorial Hospital, Horsefair, Chipping Norton""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=431434&StartNorthing=227385&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,227385,431434,0.3,not owned by a public authority,permissioned,full planning permission,17/10/2018,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVLA5SRKMJB00,yes,14,14,,Amended Plans,17/12/2017,30/12/2018,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR2,"""Carterton Petrol Station and Former Osprey Public House, Upavon Way, Carterton""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=428195&StartNorthing=207527&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,207527,428195,0.8,not owned by a public authority,permissioned,full planning permission,12/11/2019,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PK4OX0RKN2F00,yes,42,42,,Site now has full planning permission,17/12/2017,19/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR3,"""REEMA North, Northwood Crescent, Carterton""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=428424&StartNorthing=207600&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,207600,428424,8.97,owned by a public authority,permissioned,full planning permission,22/05/2013,http://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZULNRKTA718,yes,200,300,,Planning permission yet to progress further than initial site work. Land owner has confirmed intention to come forward with a revised scheme of up to 300 dwellings in 2020/21.,17/12/2017,19/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR4,"""Brooklands Nurseries, 47 Shilton Road, Carterton""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=427521&StartNorthing=207867&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,207867,427521,0.6,not owned by a public authority,not permissioned,other,,http://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQR2FHRKITX00,,,,,Outline permission finally disposed of. Site suitability yet to be re-assessed through SHELAA update process.,17/12/2017,19/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR5,"""Former Stanton Harcourt Airfield, Main Road, Stanton Harcourt""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=441455&StartNorthing=205359&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,205359,441455,8.75,not owned by a public authority,permissioned,full planning permission,22/01/2019,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9A3UWRKJJ100,yes,66,66,,Planning permission implemented,17/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR6,"""Woodford Way Car Park, Woodford Way, Witney""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=435338&StartNorthing=210084&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,210084,435338,0.66,owned by a public authority,not permissioned,,,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZULGRKTA573,,50,50,,Site allocated in adopted Local Plan 2031 for residential development. Previous planning approval now disposed of,17/12/2017,31/12/2018,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR7,"""North Leigh Garden Centre, Park Road, North Leigh""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=439428&StartNorthing=213004&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,213004,439428,0.42,not owned by a public authority,permissioned,full planning permission,,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEBL5KRKL5A00,yes,10,10,,Full planning permission now granted,17/12/2017,19/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR8,"""Oliver's Garage, 80- 82 Main Road, Long Hanborough""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=442216&StartNorthing=214086&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,214086,442216,0.8,not owned by a public authority,pending decision,other,,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PINAQ2RKMJI00,yes,25,25,,Resolution to grant planning permission subject to S106 agreement,17/12/2017,19/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR9,"""Freeland Nursery, Freeland""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=441424&StartNorthing=212526&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,212526,441424,1.9,not owned by a public authority,not permissioned,,,,,,,,Site suitability yet to be re-assessed through SHELAA update process.,17/12/2017,19/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR10,"""Alfred Groves And Sons Ltd, Groves Business Centre, Shipton Road
Milton Under Wychwood, Chipping Norton, Oxfordshire, OX7 6JP""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=426677&StartNorthing=218201&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,218201,426677,0.2,not owned by a public authority,permissioned,full planning permission,04/01/2017,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEVZ0KRKHGY00,yes,5,5,,Residential development allowed on edge of existing employment site,17/12/2017,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR12,"""Freeland Stores, Parklands, Freeland""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=441053&StartNorthing=213200&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,213200,441053,0.1,not owned by a public authority,not permissioned,,,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZULURKTA033,,,,,Site suitability yet to be re-assessed through SHELAA update process.,17/12/2017,19/12/2019,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR11,"""Eynsham Nursery and Plant Centre, Old Witney Road, Eynsham, Witney, OX29 4PS""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=442201&StartNorthing=209798&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,209798,442201,2.7,not owned by a public authority,permissioned,full planning permission,02/08/2016,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKQH5XRKHAV00,yes,77,77,,Site forms part of adopted Local Plan Strategic Developmet Area,17/12/2017,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR13,"""Former Witney Football Club, Downs Road, Witney""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=432733&StartNorthing=209953&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,209953,432733,3.1,not owned by a public authority,permissioned,reserved matters approval,05/03/2018,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OXFY6FRKFGT00,yes,257,257,,Planning permission implemented,17/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR14,"""The Pillars, Banbury Road, Chipping Norton""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=432083&StartNorthing=227722&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,227722,432083,1,not owned by a public authority,permissioned,reserved matters approval,22/05/2019,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PI6JXSRKMEE00,yes,100,100,,Planning permission implemented,17/12/2017,19/12/2019,19/12/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000181,BR15,"""Petit Enfant, Neighbourhood Centre, Madley Park, Witney""",http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=436899&StartNorthing=210506&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,210506,436899,0.05,owned by a public authority,permissioned,full planning permission,19/02/2016,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0MPAQRK01C00,yes,5,5,,Vacant first floor of existing building permitted for change of ue from office to residential,17/12/2017,,
