OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/south-bucks,SB0005,"''Beaconsfield Garden Centre, London Road, Beaconsfield''",-0.650553,51.599443,http://www.southbucks.gov.uk/planning/brownfieldregister,2.5,not owned by a public authority,,permissioned,outline planning permission,2016-04-27,,9,9,yes,". Outline application for: Erection of 9 dwellings, formation of new access and associated driveway",2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0032,"''Land North of M40 & South of Hedgerley Lane, including Harrias House''",-0.629846,51.596336,http://www.southbucks.gov.uk/planning/brownfieldregister,4.9,not owned by a public authority,,not permissioned,,,,5,11,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0034,"''73 High Street and Land to Rear, Burnham''",-0.659233,51.534196,http://www.southbucks.gov.uk/planning/brownfieldregister,0.23,not owned by a public authority,,permissioned,full planning permission,2017-11-13,,6,6,yes,. Apartment building comprising 6 dwellings with associated works,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0043,"''Thorney Business Park, Thorney Lane South''",-0.51146,51.51035,http://www.southbucks.gov.uk/planning/brownfieldregister,42.95,not owned by a public authority,,not permissioned,,,,130,320,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0055,"''Wilton Park Land Parcel 1, Wilton Park''",-0.616333,51.60359,http://www.southbucks.gov.uk/planning/brownfieldregister,36.89,not owned by a public authority,,not permissioned,,,,350,350,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0285,"''4a The Broadway, Farnham Common, ''",-0.615686,51.554882,http://www.southbucks.gov.uk/planning/brownfieldregister,0.03,not owned by a public authority,,not permissioned,,,,6,8,yes,,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0320,"''Bulstrode, Oxford Road, Gerrards Cross, ''",-0.579317,51.585351,http://www.southbucks.gov.uk/planning/brownfieldregister,13.55,not owned by a public authority,,not permissioned,,,,8,11,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0339,"''53 Huntercombe Lane, Burnham, ''",-0.660187,51.524323,http://www.southbucks.gov.uk/planning/brownfieldregister,0.08,not owned by a public authority,,not permissioned,,,,5,10,yes,,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0387,"''77 Stomp Road, Burnham''",-0.661657,51.527651,http://www.southbucks.gov.uk/planning/brownfieldregister,0.27,not owned by a public authority,,permissioned,full planning permission,2015-11-12,,23,23,yes,". Erection of 23 dwellings (comprising 3 one bedroom, 1 two bedroom apartments and 19 three bedroom houses), car parking, associated landscaping and ancillary works.",2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0391,"''Old Slade Farm, 41 Old Slade Lane, Iver''",-0.510133,51.498029,http://www.southbucks.gov.uk/planning/brownfieldregister,1.28,not owned by a public authority,,permissioned,full planning permission,2015-06-25,,5,5,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.. Conversion of existing barn in to five dwellinghouses with associated parking.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0418,"''Aston House, 62-68 Oak End Way, Gerrards Cross''",-0.549542,51.588047,http://www.southbucks.gov.uk/planning/brownfieldregister,0.12,not owned by a public authority,,permissioned,full planning permission,2018-03-07,,32,32,yes,. Construction of a five storey building to provide 32 no. residential (Class C3) units including car parking and associated works.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0419,"''Land Rear of St. Johns Church, Victoria Road, Farnham Common''",-0.613668,51.553936,http://www.southbucks.gov.uk/planning/brownfieldregister,0.44,not owned by a public authority,,permissioned,outline planning permission,2016-07-15,,7,7,,. Outline application for: Redevelopment of site to provide 7 dwellings and replacement of existing hall together with associated parking and access roads.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0421,"''River Court, 50 Oxford Road, New Denham''",-0.487461,51.553447,http://www.southbucks.gov.uk/planning/brownfieldregister,0.46,not owned by a public authority,,permissioned,other,2016-10-10,,22,22,yes,". Notification under The Town and Country Planning (General Permitted Development) (England) Order 2015, Part 3 of Schedule 2 Class O for: Change of use from Offices (Class B1) to 22 Residential flats (Class C3).",2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0428,"''Gerrards Cross Police Station, Oxford Road''",-0.533742,51.574612,http://www.southbucks.gov.uk/planning/brownfieldregister,0.75,owned by a public authority,,permissioned,other,2018-08-17,,34,34,yes,"Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.. Redevelopment of site to provide 34 new residential units (class C3), set out in 4 blocks of accommodation, comprising 6x1 bed and 28x2 bed apartments, together with associated car parking and access, private and shared amenity space, landscaping and other ancillary works.",2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0443,"''Lillyfee Farm, Lillyfee Farm Lane''",-0.664777,51.587301,http://www.southbucks.gov.uk/planning/brownfieldregister,0.57,not owned by a public authority,,not permissioned,,,,8,10,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0444,"''Lockwoods Farm, Wooburn Common''",-0.66935,51.581,http://www.southbucks.gov.uk/planning/brownfieldregister,0.26,not owned by a public authority,,not permissioned,,,,5,6,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0446,"''Tendercare Nurseries, Southlands Road''",-0.503766,51.56652,http://www.southbucks.gov.uk/planning/brownfieldregister,2.34,not owned by a public authority,,not permissioned,,,,20,30,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0451,"The Crown, Farnham Road",-0.617036,51.537261,http://www.southbucks.gov.uk/planning/brownfieldregister,0.14,not owned by a public authority,,permissioned,full planning permission,2017-05-31,,5,5,,. Conversion of public house to provide two dwellings and erection of three terraced dwellings.,2018-12-10,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0452,Huntercombe Park (formerly Pfizer Pharmaceuticals),-0.656989,51.518476,http://www.southbucks.gov.uk/planning/brownfieldregister,3.21,not owned by a public authority,,permissioned,other,2017-09-07,,86,86,yes,"Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.. Notification under The Town and Country Planning (General Permitted Development) Order 2015, Part 3 of Schedule 2 Class O for: Change of Use of from office (Class B1) to 86 units comprising 35 one-bed, 42 two-bed and 9 three-bed flats (Class C3).",2018-12-10,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0453,Landrecies,-0.53715,51.574469,http://www.southbucks.gov.uk/planning/brownfieldregister,0.38,not owned by a public authority,,permissioned,full planning permission,2018-03-14,,5,5,yes,"Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.. Redevelopment to create 5 detached dwellinghouses, including alterations to existing vehicular accesses, landscaping and associated works. Part single storey, part two storey side/rear extension to Landrecies.",2018-12-10,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0454,Silchester Manor Day Nursery,-0.695964,51.523248,http://www.southbucks.gov.uk/planning/brownfieldregister,0.46,not owned by a public authority,,permissioned,full planning permission,2018-03-20,,10,10,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.. Replacement nursery and 10 no. 2 bedroom apartments.,2018-12-10,2018-12-10,
http://opendatacommunities.org/id/district-council/south-bucks,SB0455,Brockhurst Park,-0.599941,51.551979,http://www.southbucks.gov.uk/planning/brownfieldregister,0.48,not owned by a public authority,,permissioned,outline planning permission,2017-12-20,,3,3,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.. Outline Application for: Redevelopment of the site to provide three detached dwellings with detached garages.,2018-12-10,2018-12-10,
