OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/hart,15/01603/FUL,"Landata House, Station Road, Hook",-0.961119,51.278095,https://publicaccess.hart.gov.uk/online-applications/,0.55,not owned by a public authority,,permissioned,full planning permission,2016-03-23,,78,78,yes,. Redevelopment of the site to provide 78 residential flats,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,16/00571/PRIOR 16/03378/FUL,"Bartley House, Station Road, Hook",-0.960707,51.277318,https://publicaccess.hart.gov.uk/online-applications/,0.6,not owned by a public authority,,permissioned,other,2016-05-31,Prior approval application (16/00571/PRIOR) approved for 53 units. Full application (16/03378/FUL) is pending for 102 units,53,53,yes,. Change of use from B1(a) to C3,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,16/00883/PRIOR,"Providence House, 2 Bartley Way, Hook",-0.953776,51.278848,https://publicaccess.hart.gov.uk/online-applications/,1.69,not owned by a public authority,,permissioned,other,2016-05-24,,107,107,yes,. Change of use from B1 to C3,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,13/00720/MAJOR,"Winchfield Lodge, Old Potbridge Road",-0.917371,51.287491,https://publicaccess.hart.gov.uk/online-applications/,0.98,not owned by a public authority,,permissioned,full planning permission,2013-12-03,,16,16,yes,. Conversion from B1 (office) to 4 residential dwellings plus the erection of 12 additional dwellings,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,13/01215/MAJOR,"Lamb Hotel, High Street, Hartley Wintney",-0.899228,51.307383,https://publicaccess.hart.gov.uk/online-applications/,0.25,not owned by a public authority,,permissioned,full planning permission,2013-09-23,,11,11,yes,". Conversion and extension of existing hotel buildings to form offices, retail unit, one 2-bedroom flat, one 4-bedroom house and one 3-bedroom house and the erection of one 3-bedroom house, six 2-bedroom houses and one 1-bedroom flat",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,15/01083/FUL,"Rose Court, Rye Common Lane, Crondall",-0.878398,51.246722,https://publicaccess.hart.gov.uk/online-applications/,0.3,not owned by a public authority,,permissioned,full planning permission,2015-09-10,,14,14,yes,". Demolition of office building, car parking and hard standing and erection of new building to create 14 x 2 bed apartments",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,15/00276/REM,"Land rear of 102-108 Fleet Road, Fleet",-0.84074,51.282801,https://publicaccess.hart.gov.uk/online-applications/,0.09,not owned by a public authority,,permissioned,,2015-07-01,,12,12,yes,. Reserved Matters (Appearance and Landscaping): Demolition of existing storage buildings and erection of a single block containing 10 x 1 & 2 x 2-bed residential flats. Outline application: 14/00106/MAJOR,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,15/00275/FUL,"18 Church Road, Fleet",-0.840032,51.282479,https://publicaccess.hart.gov.uk/online-applications/,0.08,not owned by a public authority,,permissioned,full planning permission,2015-06-19,,10,10,yes,. Demolition of existing office block at 18 Church Road and erection of 10 apartments,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,16/00032/PRIOR,"Consort House, 46-48 Albert Street, Fleet",-0.839055,51.282559,https://publicaccess.hart.gov.uk/online-applications/,0.04,not owned by a public authority,,permissioned,other,2016-03-15,,6,6,yes,. Change of use from B1 to C3,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,16/00796/PRIOR,"Consort House, 46-48 Albert Street, Fleet",-0.839054,51.282568,https://publicaccess.hart.gov.uk/online-applications/,0.04,not owned by a public authority,,permissioned,other,2016-05-26,,7,7,yes,. Change of use from B1 to C3,2017-12-22,2017-12-22,
