OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR8,"Adur Civic Centre, Ham Road, Shoreham-by-Sea",-0.268274,50.83316,"https://www.adur-worthing.gov.uk/media/media,146445,en.pdf",0.6,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,75,120,yes,"The Council, as landowner, is actively supporting the redevelopment of this former Civic Office site.  Demolition of the building has been completed.",2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR9,"Land at 7-27 Albion Street, Southwick",-0.24416,50.83128,"https://www.adur-worthing.gov.uk/media/media,146446,en.pdf",0.3,mixed ownership,,pending decision,full planning permission,,https://planning.adur-worthing.gov.uk/online-applications/,33,33,yes,,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR10,"Laundry, Alma Street, Lancing",-0.323616,50.822044,"https://www.adur-worthing.gov.uk/media/media,146447,en.pdf",0.09,not owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,13,13,yes,A planning application has been received but not yet registered as additional information is required.,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR11,"Community Buildings, Pond Road, Shoreham-by-Sea",-0.274522,50.833937,"https://www.adur-worthing.gov.uk/media/media,146448,en.pdf",0.57,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,27,27,yes,The site is in multiple public ownership.  Significant progress has been made to deliver a mixed use scheme to include approximately 27 dwellings.,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR12,"Land at Eastbrook Primary School, Manor Hall Road, Southwick",-0.228908,50.83578,"https://www.adur-worthing.gov.uk/media/media,146449,en.pdf",0.7,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,36,36,yes,The site is in public ownership and has been declared surplus to requirements and is vacant.,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR13,"5 Brighton Road, Shoreham-by-Sea",-0.250282,50.830851,"https://www.adur-worthing.gov.uk/media/media,146450,en.pdf",0.47,not owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,45,90,yes,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change. The regeneration of Shoreham Harbour has been a long term aspiration and and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  The principle of redeveloping this site for a residential use is consistent with Joint Area Action Plan policies.,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR15,"Kingston Wharf, Brighton Road, Shoreham-by-Sea",-0.253014,50.831467,"https://www.adur-worthing.gov.uk/media/media,146452,en.pdf",1.5,not owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,140,140,yes,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change. The regeneration of Shoreham Harbour has been a long term aspiration and and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  The principle of redeveloping this site for a residential use is consistent with Joint Area Action Plan policies.,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR17,"The Old Town Hall, 142 Albion Street, Southwick",-0.234754,50.831408,"https://www.adur-worthing.gov.uk/media/media,146454,en.pdf",0.05,not owned by a public authority,,permissioned,full planning permission,2017-11-08,https://planning.adur-worthing.gov.uk/online-applications/,6,6,yes,,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR19,"Regal House, 45/49 Penhill Road, Lancing",-0.320248,50.824109,"https://www.adur-worthing.gov.uk/media/media,151924,en.pdf",0.05,not owned by a public authority,,permissioned,full planning permission,2018-08-23,https://planning.adur-worthing.gov.uk/online-applications/,7,7,yes,,2018-10-30,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR20,"Lancing Police Station, 101/111 North Road, Lancing",-0.32211,50.830404,"https://www.adur-worthing.gov.uk/media/media,151925,en.pdf",0.11,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,24,24,yes,,2018-10-30,2019-10-30,
