OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP004,615453,244334,1.07,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP005,614089,247281,1.98,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP006,614784,244326,0.63,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP009,616783,245971,0.39,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP010a,618390,243719,2.22,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP010b,618536,243570,2.79,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP011a,616639,244239,0.15,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP011b,616563,244173,0.69,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP012,616902,244290,0.32,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP031,616177,243872,0.43,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP037,616795,243751,6.02,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP039a,616465,243857,0.48,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP042,617128,243114,1.78,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP043,616562,244160,0.7,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP047,616082,243964,3.18,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP048,616669,244507,1.33,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP052,616666,244214,0.4,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP054,616372,244209,1.72,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP059a,614120,244695,2.63,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP059b,614148,244551,0.61,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP066,617401,243908,0.32,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP074,616752,244496,0.07,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP080,616300,243007,0.49,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP084a,616850,244526,0.16,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP089,616758,244319,0.3,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP096,615606,244575,0.22,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP098,617128,243568,0.57,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP105,614904,245016,0.33,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP109,618678,245149,0.42,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP129,617497,245149,1.07,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP131,618452,245051,0.28,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP132,616347,244055,0.18,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP133,616669,243651,0.37,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP135,615177,245216,0.17,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP136,616374,244045,0.16,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP142,617255,243772,0.39,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP150a,619119,241512,2.22,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP172,616604,244768,0.08,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP188,616441,243939,0.11,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP200,616727,243314,1.6,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP205a,616403,244024,0.1,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP206,616477,244031,0.71,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP221,613940,246533,0.35,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP226,617079,243480,1.87,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP234,615305,244699,0.03,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP249,615169,245153,0.04,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP256,616214,246370,0.87,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP271,616089,244444,0.03,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP283,616990,244455,0.27,,,2017-12-21,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP001,616836,244183,0.08,,,2018-12-13,2018-12-13,
http://opendatacommunities.org/id/district-council/ipswich,BLR/IP028a,616244,244097,0.12,,,2018-12-13,2018-12-13,
