OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010008993390,"Land Adjacent 3 Disraeli Road, Forest Gate, London, E7 9JR",0.021816,51.545353,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.026,not owned by a public authority,,permissioned,full planning permission,2019-11-26,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PQTQNKJY5PF00,5,6,yes,"
Construction of a part 3, part 4 storey building containing 6no. residential dwellings (Use Class C3) together with cycle, refuse storage and landscaping works.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010009017702,"313-319 Katherine Road, Forest Gate, London, E7 8PJ",0.038846,51.539884,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.06,not owned by a public authority,,permissioned,full planning permission,2019-10-21,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IG2INUJY99000,5,8,yes,"
Conversion of existing primary school building into a 21 bedroom HMO including exterior alterations, additional windows, cycle and bin storage.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010034509461,"656-666 Romford Road, Manor Park, London, E12 5AQ",0.050007,51.55135,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.096,not owned by a public authority,,permissioned,full planning permission,2019-10-04,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IUA1P2JY99000,10,28,yes,"
Demolition of existing buildings and redevelopment of the site to deliver a five-storey building (plus enlargement of the existing basement level) comprising a 579 sqm retail unit (Use Class A1) at basement and part ground floor and a total of 28 residential (Class C3) units (8 x one-bed, 9 x two-bed, 11 x three-bed) across part ground floor and all upper floors together with associated vehicle parking, amenity space and landscaping.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010008996671,"2A Michigan Avenue, Manor Park, London, E12 5JD",0.053898,51.553355,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.043,not owned by a public authority,,permissioned,planning permission granted under an order,2019-05-30,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002ORKJYLI000,5,10,yes,"
Prior approval for change of use of the existing warehouse building (Use Class B8) to 7No. self-contained flats (Use Class C3). 
(This application affects the setting of a Grade II Listed Building)
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010023994688,"59 Southern Road, Plaistow, London, E13 9JD",0.031621,51.530952,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.104,not owned by a public authority,,permissioned,full planning permission,2019-05-10,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=K8EYZIJY09700,5,10,yes,"
Demolition of existing dwelling house redevelopment of the site to accommodate 7 x family dwelling houses (2 x 4 bed, 3 x3 bed and 2 x 2 bed) and 3 flats (2 x2 bed and 1 x 3 bed) with private and communal amenity, cycle, car parking and refuse facilities.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:000046251892,"Land Adjacent 19 Woolwich Manor Way, North Woolwich, London, E16 2NJ",0.069043,51.501088,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.035,not owned by a public authority,,permissioned,full planning permission,2019-04-12,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029B1JYLI000,7,10,yes,"
Development of vacant land to provide 9 new residential homes consisting of 3 No: 1-Bed / 2 person, 3 No: 2-Bed / 3 person, 1 No: 2-Bed / 4 person and 2 No: 3-Bed / 5 person units in a 4 storey building.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010094370739,"Site at Radlett Close, Forest Gate, London, E7 9JF",0.016972,51.545534,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.086,not owned by a public authority,,permissioned,full planning permission,2019-04-10,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PD6YIHJY5PF01,5,7,yes,"
A terrace of mews houses comprising 5No. 3B houses and a set of 2No. 4B semi-detached houses at the end of Radlett Close facing the southern side of Atherton Mews. The proposals include a total of 15 parking spaces and associated landscaping, refuse and cycle storage.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010008992217,"12-14 Upton Lane, Forest Gate, London, E7 9LN",0.025537,51.545729,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.033,not owned by a public authority,,permissioned,full planning permission,2019-03-26,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002KQXJYLI000,7,9,yes,"
Demolition of existing building on site; erection of a 4 storey building comprising 9 residential apartments and commercial floorspace (Application site is located within the Forest Gate Town Centre Conservation Area and affects the setting of a Grade II Listed Building - Emmanual Church.)
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:010008992232,"61-63 Upton Lane, Forest Gate, London, E7 9PB",0.02651,51.543645,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.042,not owned by a public authority,,permissioned,full planning permission,2018-12-21,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002KRDJYLI000,5,9,yes,"
Demolition of existing building and erection of new building comprising ground floor commercial and 9 residential units.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,"UPRN:
000046098532","Baptist Tabernacle, West Ham Lane, Stratford, London, E15 4PT",0.006331,51.53638,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.049,not owned by a public authority,,permissioned,full planning permission,2018-12-10,https://pa.newham.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0027QUJYLI000,15,17,yes,"
Demolition of existing building; erection of a part 1, part 3, part 5/6 storey building comprising replacement church and community use (Class D1) over ground and basement levels together with 17 self-contained flats (comprising 9 x 1, 4 x 2 and 4 x 3 bed), together with associated cycle parking and landscaping.
",2019-12-12,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:10008994570,"117-125 Freemasons Road, Canning Town, London, E16 3PH",0.024986,51.513855,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.05,not owned by a public authority,,pending decision,full planning permission,,https://pa.newham.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NZQZI6JYHL700&activeTab=summary&previousCaseNumber=15%2F03632%2FFUL&keyVal=002MY1JYLI000,14,18,yes,"Pending signing of S106 agreement.
Redevelopment of 18 residential units (7x3 bed,  8x2bed and 3x1bed) over 6 floors.
",2017-11-29,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:46019802,"Duke Of Cumberland, 101 Cumberland Road, Plaistow, London, E13 8LS",0.026257,51.520724,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.07,not owned by a public authority,,not permissioned,,,https://pa.newham.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=O35IPUJYJFT00&activeTab=summary&previousCaseNumber=16%2F00584%2FFUL&keyVal=000H4IJYLI000,8,10,yes,"

",2017-11-29,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:46251374,"2 Rixsen Road, Manor Park, London, E12 6RN",0.050951,51.547204,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.03,not owned by a public authority,,pending decision,full planning permission,,https://pa.newham.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=LYGDUPJY01M00&activeTab=summary&previousCaseNumber=12%2F00154%2FFUL&keyVal=0028YBJYLI000,4,5,yes,"
Demolition of existing single storey offices and Construction of block A 1 x 2 bed flat, 1 x 3 bed flat and Block B 2 x 1 bed flats separated by a communal garden and associated bin and cycle stores
",2017-11-29,2019-12-12,
http://opendatacommunities.org/id/london-borough-council/newham,London Borough of Newham,UPRN:10009013135,"617 Barking Road, Plaistow, London, E13 9EZ",0.032327,51.528182,https://lbnewham.maps.arcgis.com/apps/webappviewer/index.html?id=730d34968dea4214a10e7d378f37ef2d,0.05,not owned by a public authority,,not permissioned,,,https://pa.newham.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=MWGHDTJYJX000&activeTab=summary&previousCaseNumber=13%2F02116%2FFUL&keyVal=0032T5JYLI000,7,8,,"

",2017-11-29,2019-12-12,
