OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR1,435217,561244,0.7,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR2,435399,561349,0.14,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR3,435773,561478,0.24,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR4,438250,562839,0.6,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR5,432899,562693,0.08,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR6,430743,564383,7.5,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR7,430794,564801,2.7,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR8,432096,564985,0.5,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR9,431579,564436,3.1,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR10,430403,563508,10.4,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR11,430601,564160,0.07,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR12,436679,566499,0.03,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR13,434344,563237,0.6,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR14,433047,564809,0.4,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR15,432955,564941,0.5,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR16,437022,564822,0.4,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR17,435046,564429,0.2,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR18,435867,564357,0.1,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR19,435985,564008,0.14,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR20,435482,563841,0.1,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR21,436022,564028,0.11,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR22,439249,565125,0.5,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR23,440696,563288,0.18,,,2016-06-30,2016-06-30,
http://opendatacommunities.org/doc/metropolitan-district-council/south-tyneside,BR24,440637,562066,0.6,,,2016-06-30,2016-06-30,
