OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR1 - Blakelock Road,"Blakelock Road, Blakelock Rd, Foggy Furze Ward",-1.231234,54.675333,,0.6,owned by a public authority,,not permissioned,,,,10,15,yes,Former colleague buildings.,2017-12-17,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR2 - Brenda Road East,"Brenda Road East, Brenda Rd, Seaton Ward",-1.206668,54.657138,,4.72,not owned by a public authority,,not permissioned,,,,100,140,yes,A mix of industrial buildings a hardstanding. Land is included in a minded to grant permission which is still awaiting the s106 to be signed.. http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet,2017-12-17,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR3 - Britmag Central,"Britmag Central, Old Cemetery Rd, Headland&Harbour",-1.203922,54.705631,,3.6,not owned by a public authority,,permissioned,reserved matters approval,2016-12-22,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114627,69,69,yes,Former industrial site which was remediated. No building work on site yet.. 6 2 bed. 27 3 bed. 21 4 bed. 15 bungalows.,2017-12-17,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR4 - Britmag North,"Britmag North, Old Cemetery Rd, De Bruce Ward",-1.220611,54.710979,,21,not owned by a public authority,,permissioned,reserved matters approval,2014-12-18,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=102944,373,373,yes,Former industrial site which was remediated. Persimmon developing site. Circa 80 dwellings completed.. 20 2 bed. 224 3 bed. 129 4 bed.,2017-12-17,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR5 - Britmag South,"Britmag South, Old Cemetery Rd, Headland&Harbour",-1.200364,54.704251,,1.2,not owned by a public authority,,permissioned,reserved matters approval,2016-12-22,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114627,41,41,yes,Former industrial site which was remediated.. 5 2 bed. 19 3 bed. 10 4 bed. 7 bungalows.,2017-12-17,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR6 - The Former Ambulance Station,"Former Ambulance Station, Elwick Road",-1.236061,54.68258,,0.28,owned by a public authority,,not permissioned,,,,,,yes,"Former ambulance station and paddock, paddock not included on spreadsheet. Heritage asset, ideally for conversion.",2019-12-11,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR7 - Close Farm Cottage,"Close Farm Cottage, Wolviston, Rural West Ward",-1.336851,54.653795,,3.01,not owned by a public authority,,permissioned,full planning permission,2012-10-26,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=95894,3,3,yes,Conversion of old farm buildings. Work ongoing.. Conversion of existing outbuildings into 3 dwellings,2017-12-17,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR8 - Former Brierton Road Site,"FormerBriertonRoadSite, Brierton Lane, Manor House",-1.238945,54.666862,,1.39,owned by a public authority,,not permissioned,,,,100,110,yes,Previously had permission for 109 houses but application has expired. Recent interest in site.,2017-12-17,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,"BR9 - 9,11 Hutton Avenue","9, 11 Hutton Avenue, Hartlepool",-1.220992,54.684605,,0.049,not owned by a public authority,,permissioned,full planning permission,2017-09-14,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114093,13,13,yes,Currently has permission for 13.. Change of use of former care home to 13no. residential flats.,2019-12-11,2019-12-11,
http://opendatacommunities.org/id/unitary-authority/hartlepool,BR10 - Former King Oswy Public House,"Former King Oswy Public House, KingOswy Dr, DeBruce",-1.234304,54.710806,,0.25,not owned by a public authority,,permissioned,full planning permission,2017-05-15,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=117039,8,8,yes,Former pub site. Development started but has stalled.. 8 semi detached bungalows,2017-12-17,2019-12-11,
