OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00690/AVA,The Larks Nest Larkfield Road Nuthall,-1.244764,52.997018,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00690%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00690%2FAVA,0.07,not owned by a public authority,,permissioned,full planning permission,2016-01-06,,,,yes,,2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00761/AVA,Car Park On Corner Of The Poplars Wollaton Road Beeston,-1.217931,52.929262,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00761%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00761%2FAVA,0.03,not owned by a public authority,,permissioned,full planning permission,2015-08-28,,,,yes,,2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00634/AVA,22 High Road Chilwell,-1.221731,52.922284,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00634%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00634%2FAVA,0.09,not owned by a public authority,,permissioned,outline planning permission,2015-01-14,,,,yes,,2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00051/AVA,Units 12-15 Pinfold Trading Estate Nottingham Road Stapleford,-1.271252,52.931678,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00051%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00051%2FAVA,1.09,not owned by a public authority,,permissioned,outline planning permission,2016-02-26,,,,yes,"Hybrid planning application comprising: Full Application to construct shop (Class A1) including solar panels and with associated car parking, access and landscaping on a 0.78 ha site:",2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00012/AVA,"Moults Yard, 68-70 Nottingham Road, Stapleford",-1.269068,52.931521,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00012%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00012%2FAVA,0.32,not owned by a public authority,,permissioned,full planning permission,2015-03-03,,,,yes,,2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00408/AVA,Myford Machine Tools Wilmot Lane Beeston,-1.219673,52.92175,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00408%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00408%2FAVA,1.79,not owned by a public authority,,pending decision,,,,,,yes,13/00003/OUT - Redevelopment and change use of existing industrial site for residential/commercial uses (to include Classes A1; A2; A3; A4; A5; B1(a); C2; C3; and D1 uses) - now lapsed,2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00499/AVA,Beeston Business Park Technology Drive Beeston,-1.209459,52.917385,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00499%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00499%2FAVA,19.55,not owned by a public authority,,permissioned,outline planning permission,2017-11-03,,,,yes,,2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00195/AVA,Former Bartons Bus Depot Queens Road West Chilwell,-1.222026,52.919886,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00195%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00195%2FAVA,2.23,not owned by a public authority,,permissioned,other,2017-11-17,,,,yes,"Full permission for 29 dwellings, outline permission for up to 221 further dwellings",2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00237/AVA,The Boots Company Beeston site,-1.191882,52.921294,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00237%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00237%2FAVA,14.68,not owned by a public authority,,pending decision,,,,,,yes,This site crossed the boundary with Nottingham City Council therefore the number of dwellings in the description is not expected to be delivered in its entirety within Broxtowe.,2017-12-13,2018-12-18,
http://opendatacommunities.org/id/district-council/broxtowe,Broxtowe,SHLAA/00193/AVA,Chetwynd Barracks Chetwynd Road Chilwell,-1.250618,52.912681,http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00193%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00193%2FAVA,94.57,mixed ownership,,not permissioned,,,,,,,"Owned by the Ministry of Defence, a private body has ownership interest in the existing on-site residential units to the north.",2017-12-13,2018-12-18,
