OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF001,-3.498699,50.899945,0.4,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF002,-3.470391,50.905965,3.5,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF003,-3.486655,50.990841,0.25,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF004,-3.486069,50.901574,1.1,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF005,-3.647994,50.786521,0.17,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF006,-3.3732,50.920494,0.45,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF007,-3.483059,50.811828,0.11,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF008,-3.490878,50.984777,3.41,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF009,-3.4794,50.987555,0.45,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF010,-3.647031,50.787283,0.07,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF011,-3.379148,50.856269,2.78,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF012,-3.226089,50.9184,0.27,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF013,-3.519959,50.806871,1.1,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF014,-3.322967,50.909945,0.46,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF015,-3.488341,50.901495,0.5,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF016,-3.65627,50.791102,0.05,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/mid-devon,MDDC/BF017,-3.478854,50.906155,0.15,2017-12-31,2017-12-31,
