OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0001,53.61819,-0.201117,0.8,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0002,53.572859,-0.061584,0.27,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0003,53.566478,-0.037706494,3.76,,,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0004,53.56543,-0.03728,0.54,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0005,53.56542,-0.03516,3.96,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0007,53.561917,-0.030088,0.21,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0008,53.56081,-0.06855,4.16,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0010,53.553458,-0.110803,0.43,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0011,53.56206,-0.0729,3.22,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0012,53.556057,-0.121135,10.38,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0013,53.560542,-0.094392,0.43,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0015,53.549324,-0.099545,0.5,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0016,53.563244,-0.1179623,0.18,,,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0017,53.60727,-0.22463,0.66,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0018,53.56946,-0.05799,0.18,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0020,53.61836,-0.198563,0.34,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0021,53.564568,-0.09258,0.08,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0022,53.566515,-0.041707,0.27,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0027,53.54324,-0.10274,0.2,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0030,53.58639,-0.18433,0.5805,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0031,53.55325,-0.09778,0.15,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0033,53.55669,-0.02761,0.14,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0034,53.56632,-0.06375,0.084,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0035,53.55966,-0.07799,0.05,2017-10-18,2017-10-18,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0038,53.552136,-0.108507,0.255,2017-10-19,2017-10-19,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0039,53.5136,-0.09826,0.17,2017-10-20,2017-10-20,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0040,53.52665,-0.034569,0.181,2017-10-21,2017-10-21,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0045,53.503337,-0.08687,0.0258,2018-10-22,2018-10-22,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0046,53.558316,-0.02,0.14,2018-10-22,2018-10-22,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0047,53.58751,-0.193348,0.97,2018-10-22,2018-10-22,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0049,53.556593,-0.054453,0.573,2018-10-22,2018-10-22,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0052,53.567512,-0.058985,0.09,2018-11-01,2018-11-01,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0058,53.526618,-0.0335,1.25,2018-11-01,2018-11-01,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0061,53.525316,-0.049449,0.24,2018-11-01,2018-11-01,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0066,531155,404798,0.24,2018-11-01,2018-11-01,
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,BS0067,53.569174,-0.12834,0.5192,2018-11-01,2018-11-01,
