OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/rossendale,ROSBS001,"Market Street, Whitworth, OL12 8PJ",-2.17635,53.652819,,1.53,owned by a public authority,,not permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=2992,49,,,Permission subject to s106 agreement being signed off. A small part of the site is owned by the public sector.,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS002,"Thornfield Avenue, Waterfoot",-2.251179,53.694168,,0.4,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3967,28,,,Planning permission 2015/0037 approved,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS003,"85 Market Street, Edenfield, BL0 0JQ",-2.305961,53.67122,,0.21,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4166,10,,,Planning permission 2015/0238 approved,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS004,"Bacup Road, Rawtenstall, BB4 7PA",-2.274792,53.70101,,0.72,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3804,29,,,Underconstruction,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS005,Stacksteads,-2.210749,53.693094,,0.19,not owned by a public authority,,not permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=1811,11,,,Low market area,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS006,Bacup,-2.195352,53.706652,,0.11,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4190,7,,,Site is advertised for sale,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS007,Bacup,-2.196131,53.704355,,0.5,not owned by a public authority,,not permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=99,15,,,Low market area,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS008,"Holcombe Road, Helmshore",-2.342265,53.695105,,0.25,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=2806,15,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS009,"Newchurch Road, Stacksteads",-2.231968,53.692298,,0.14,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3985,9,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS010,"Irwell Terrace, Bacup, OL13 9AW",-2.199426,53.703122,,0.05,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4003,5,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS011,"318A, 316B and 316C Newchurch Road, Stacksteads, Bacup, OL13 0UJ",-2.224314,53.691377,,0.04,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4226,7,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS012,"Haslingden, Rossendale, BB4 5QJ",-2.324634,53.706205,,0.05,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4377,6,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS013,"Commercial Street, Loveclough",-2.286121,53.739938,,0.44,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=2523,10,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS014,Whitworth,-2.185751,53.649828,,1.56,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=1708,45,,,Planning permission extant,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS015,Bacup,-2.183293,53.691938,,0.23,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3921,12,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS016,"Cowpe Road, Cowpe, Waterfoot, Rossendale",-2.243312,53.680944,,1.68,not owned by a public authority,,permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3965,22,,,,2016-06-17,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS017,"Newchurch Road, Stacksteads",-2.238046,53.690851,,1.48,not owned by a public authority,,not permissioned,,,,30,,,"""Flood risk, Employment use""",2016-06-21,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS018,Bacup,-2.199348,53.703646,,0.2,not owned by a public authority,,not permissioned,,,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4519,10,,,Planning permission (2013/0168) expired. New outline planning application for a mixed use (including 10 dwellings) pending consideration,2016-06-21,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS019,"Manchester Road, Haslingden",-2.322781,53.702355,,0.12,not owned by a public authority,,not permissioned,,,,7,,,,2016-06-21,2016-07-08,
http://opendatacommunities.org/id/district-council/rossendale,ROSBS020,Bacup,-2.18138,53.691635,,0.07,not owned by a public authority,,not permissioned,,,,5,,,,2016-06-28,2016-07-08,
