OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/castle-point,CP0001,0.596186,51.522268,0.14,2017-11-08,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0002,0.570424,51.559444,0.28,2017-11-08,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0003,0.588983,51.560489,0.08,2017-11-08,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0004,0.56414,51.555214,0.11,2017-11-09,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0005,0.592569,51.519425,0.13,2017-11-09,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0006,0.569148,51.549178,0.28,2017-11-09,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0007,0.561664,51.553173,0.19,2017-11-09,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0008,0.585962,51.531522,0.07,2017-11-09,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0010,0.618843,51.565675,0.56,2017-11-09,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0011,0.585778,51.520163,0.2,2017-11-14,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0012,0.607009,51.55394,0.59,2017-11-14,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0013,0.953219,52.044769,0.02,2017-11-14,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0014,0.610645,51.518853,0.33,2017-11-14,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0015,0.581945,51.520382,0.3,2017-11-14,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0016,0.59505,51.569153,0.13,2017-11-14,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0017,0.600961,51.522996,0.19,2017-11-14,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0018,0.614904,51.550297,0.27,2017-11-15,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0019,0.621824,51.519561,0.76,2017-11-15,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0020,0.557424,51.554011,0.25,2017-11-21,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0021,0.59736,51.522592,0.26,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0022,0.563118,51.566099,0.22,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0023,0.562359,51.544224,0.13,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0025,0.584758,51.530915,0.08,2018-10-10,2018-10-10,
http://opendatacommunities.org/id/district-council/castle-point,CP0026,0.618916,51.550642,0.15,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0027,0.607791,51.553311,0.04,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0028,0.609426,51.55383,0.04,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0029,0.556386,51.567219,0.07,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0030,0.560915,51.572058,0.31,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0031,0.563505,51.549123,0.13,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0037,0.613299,51.551516,0.13,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0038,0.549672,51.566398,0.38,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0039,0.560938,51.566228,0.13,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0040,0.565625,51.565062,0.12,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0041,0.581429,51.569106,0.11,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0042,0.561969,51.552102,0.04,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0043,0.56161,51.551641,0.12,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0044,0.564914,51.545419,0.1,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0045,0.597211,51.52219,0.33,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0046,0.614474,51.550929,0.01,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0047,0.609916,51.551193,0.12,2018-09-12,2018-09-12,
http://opendatacommunities.org/id/district-council/castle-point,CP0052,0.561097,51.553217,0.09,2018-09-12,2018-09-12,
