OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR008,"""Former Worsley Inn, High Stret, Wroxall, PO38 3HB""",455042,79849,https://www.iwight.com/brownfieldlandregister,0.31,Not owned by a public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR026,"""Former Somerton Reservoir, Newport Road, Cowes, PO31 7ER""",449262,94774,https://www.iwight.com/brownfieldlandregister,1.89,Not owned by a public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR038a,"""9-11 George Street, Ryde, PO33 2EB""",459370,92836,https://www.iwight.com/brownfieldlandregister,0.09,Not owned by a public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR038b,"""6-8 George Street, Ryde, PO33 2EB""",459408,92826,https://www.iwight.com/brownfieldlandregister,0.03,Not owned by a public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR047,"""SPA site, Shanklin Esplanade""",458600,81422,https://www.iwight.com/brownfieldlandregister,0.37,Owned by public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR050,"""23, Carter Street, Sandown, PO36 8DG""",459943,84585,https://www.iwight.com/brownfieldlandregister,0.19,Not owned by a public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR053,"""Car sales area, Havenstreet Garage, Main Road, Havenstreet, PO33 4DR""",455919,90160,https://www.iwight.com/brownfieldlandregister,0.28,Not owned by a public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR073,"""Cheeks Farm, Merstone Lane, Merstone, Newport, PO30 3DE""",452814,85278,https://www.iwight.com/brownfieldlandregister,0.6,Not owned by a public authority,Not permissioned,,,,,,,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR080,"""Berkeley Court Hotel, 2 Culver Road, Shanklin, PO376ER""",458506,82012,https://www.iwight.com/brownfieldlandregister,0.17,not owned by a public authority,Permissioned,Full planning permission,2016-04-07,,Yes,,,,"""Permission was for 14, 5 have been built to date. P/01675/10&P/01194/12& P/00164/16""",2017-12-22,2017-12-22,
http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight Council,BFR081,"""Site of Former Rozelle Hotel, 22 Atherley Road, Shanklin, PO377AT""",458184,81880,https://www.iwight.com/brownfieldlandregister,0.08,not owned by a public authority,Permissioned,Full planning permission,2015-09-03,,Yes,,,,P/00689/15,2017-12-22,2017-12-22,
