OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-022,York Barbican Paragon Street,-1.072500,53.953400,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.96,not owned by a public authority,permissioned,full planning permission,2017-08-24,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,13/02135/FULM,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-013,Garage Court Site at Challoner Road,-1.118100,53.934700,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.12,owned by a public authority,permissioned,full planning permission,2014-08-08,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,14/01191/FUL,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-014,1-12 Kensal Rise,-1.073000,53.949100,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.15,not owned by a public authority,permissioned,full planning permission,2015-01-09,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,14/01857/FUL,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-023,Del Monte Skelton Park Trading Estate Skelton,-1.135200,53.995700,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2.29,not owned by a public authority,permissioned,outline planning permission,2016-03-09,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,14/01478/OUTM,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-018,G1 Newbury Avenue,-1.120400,53.945600,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.28,owned by a public authority,permissioned,planning permission granted under an order,2014-10-08,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,14/01517/GRG3,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-025,"Hungate Development Site (Blocks D, F, G & H)",-1.075100,53.959100,https://www.york.gov.uk/downloads/download/4172/brownfield_register,4.1,not owned by a public authority,permissioned,outline planning permission,2006-07-18,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,15/01709/OUTM,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-003,Car Parking Area Holgate Road,-1.094800,53.954000,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.03,not owned by a public authority,permissioned,full planning permission,2016-03-01,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,15/02295/FUL,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-007,Colin Hicks Motors Garage & Yard to R/O 33 Bootham,-1.086100,53.963900,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.05,not owned by a public authority,permissioned,full planning permission,2016-07-07,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,15/02762/FUL,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-009,26-30 Swinegate,-1.081200,53.960100,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.06,not owned by a public authority,permissioned,full planning permission,2016-10-07,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,16/01532/FUL,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-001,Mack & Lawler Builders Ltd 2a Low Ousegate,-1.083400,53.957700,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.02,not owned by a public authority,permissioned,other,2017-03-06,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,16/02710/ORC,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-024,The Cocoa Works Haxby Road,-1.079000,53.974700,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2.35,not owned by a public authority,permissioned,full planning permission,2017-09-14,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,17/00284/FULM,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-002,Pizza Hut Ltd 10 Pavement,-1.079800,53.958500,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.03,not owned by a public authority,permissioned,full planning permission,2017-06-09,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,17/00835/FUL,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-010,The Fleeting Arms 54 Gillygate,-1.083700,53.964200,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.07,not owned by a public authority,permissioned,full planning permission,2017-10-06,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,17/00580/FULM,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-017,Ryedale House 58-60 Piccadilly,-1.077300,53.955900,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.24,not owned by a public authority,permissioned,other,2016-12-23,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,16/02022/ORC,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-021,Hudson House Toft Green,-1.090900,53.957200,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.55,not owned by a public authority,permissioned,full planning permission,2017-08-23,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,17/00576/FULM,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-015,Coal Yard 11 Mansfield Street,-1.071900,53.961700,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.16,not owned by a public authority,permissioned,full planning permission,2016-11-23,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,15/01571/FULM,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-019,Land Registry James House James Street,-1.067200,53.956600,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.48,not owned by a public authority,permissioned,other,2017-04-12,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,17/00474/ORC,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-011,Buildmark House George cayley Drive,-1.098500,53.986100,https://www.york.gov.uk/downloads/download/4172/brownfield_register,0.11,not owned by a public authority,permissioned,full planning permission,2017-06-09,https://www.york.gov.uk/SearchPlanningApplications,yes,,,,17/00732/FUL,2017-12-21,2017-12-21,
