OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR3,51.3569,-0.683,0.55,,10,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR4,51.3588,-0.6826,0.27,,6,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR5,51.3635,-0.6908,0.26,,9,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR13,51.3218,-0.6305,0.25,,9,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR14,51.3206,-0.6325,4.181,,110,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR15,51.3224,-0.6315,0.12,,6,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR16,51.322,-0.631,0.34,,17,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR18,51.3395,-0.7442,0.2,,57,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR19,51.346,-0.7211,0.17,,10,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR20,51.3494,-0.7133,0.1,,10,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR21,51.3372,-0.7481,<0.1,,8,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR22,51.3364,-0.7472,<0.1,,6,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR24,51.3385,-0.7498,0.15,,45,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR25,51.3385,-0.7461,0.08,,16,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR26,51.3366,-0.7473,0.02,,5,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR34,51.3369,-0.743,0.1,,30,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR36,51.3397,-0.745,0.012,,6,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR37,51.337,-0.7455,1.4,,116,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR38,51.3381,-0.7409,1,,45,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR39,51.3352,-0.7625,0.34,,38,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR75,51.3391,-0.7468,1.1,,114,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR40,51.3343,-0.7612,0.17,,8,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR41,51.3176,-0.7552,0.14,,5,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR42,51.3289,-0.7552,0.22,,15,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR43,51.326,-0.7553,0.18,,25,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR52,51.3446,-0.5955,1.4,,14,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR53,51.3536,-0.6034,0.9,,5,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR56,51.3047,-0.701,44.55,,300,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR61,31.3157,-0.7486,0.32,,91,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR62,51.3124,-0.746,0.27,,35,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR63,51.3247,-0.7033,3.7,,100,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR65,51.2988,-0.7298,3.5,,60,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR73,51.3776,-0.6677,0.24,,9,2017-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR74,51.3417,-0.7188,0.16,,8,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR75,51.3126,-0.7254,0.31,,5,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR76,51.3362,-0.759,0.053,,12,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR77,51.2916,-0.7274,0.38,,8,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR78,51.3649,-0.6551,0.17,,7,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR79,51.3231,-0.7254,0.05,,6,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR80,51.3087,-0.7038,0.15,,6,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR81,51.3256,-0.7615,0.53,,52,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR82,51.3536,-0.6032,0.11,,5,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR83,51.339,-0.7483,0.06,,14,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR84,51.3501,-0.7115,0.2,,8,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR85,51.3227,-0.7238,0.27,,9,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR86,51.3589,-0.6848,0.91,,39,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR87,51.3366,-0.7477,0.013,,8,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR88,51.338,-0.743,0.03,,8,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR89,51.3824,-0.6581,4.13,,9,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR90,51.3616,-0.6939,0.88,,13,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR91,51.3363,-0.7389,0.13,,9,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR92,51.3372,-0.7432,0.029,,9,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR93,51.3476,-0.6164,0.66,,5,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR94,51.3096,-0.7032,0.11,,8,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR95,51.3622,-0.6932,0.34,,16,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR96,51.336,-0.7597,0.033,,5,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR97,51.3623,-0.6917,0.83,,47,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR98,51.3625,-0.6908,0.15,,20,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR99,51.3628,-0.693,0.3,,9,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR100,51.3366,-0.7437,0.45,,60,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR101,51.3339,-0.752,0.89,,45,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR102,51.3347,-0.7646,0.1,,15,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR103,51.3358,-0.7605,0.19,,16,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR104,51.3391,-0.7468,1.1,,236,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR105,51.3032,-0.7286,0.15,,6,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR106,51.3029,-0.7275,0.15,,17,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR107,51.3142,-0.7477,0.12,,5,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR108,51.3074,-0.7048,0.11,,5,2018-12-18,,
http://opendatacommunities.org/id/district-council/surrey-heath,SHBR109,51.3475,-0.6338,0.8,,5,2018-12-18,,
