OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR139,"JD Hotchkiss Ltd, London Road, West Kingsdown",0.256548,51.347068,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.55,Not owned by a public authority,Not Permissioned,,,,,31,,,"Potential contamination issues to be resolved.
As the site is in existing employment use it would need to be
demonstrated that the use is no longer suitable, feasible or viable and
that there is no reasonable prospect of the continued business use in
the longer term.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR127,"Middle Farm Nursery, Cray Road, Crockenhill",0.155657,51.382318,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.74,Not owned by a public authority,Not Permissioned,,,,,30,,,"Additional information on site layout and massing is required alongside
an assessment of the impact on the listed buildings.
Site reduced to previously developed land and locally defined
brownfield land only.
As the site is in existing employment use it would need to be
demonstrated that the use is no longer suitable, feasible or viable and
that there is no reasonable prospect of the continued business use in
the longer term.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR133,"College Road Nurseries, College Road, Hextable",0.171689,51.408239,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.27,Not owned by a public authority,Not Permissioned,,,,Yes,9,,,"It is important to retain the gap between Hextable and Swanley and to
avoid encroachment here. Overall the southern portion of the site
containing permanent buildings and glasshouses is considered able to
accommodate development. Site reduced to previously developed land
only.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR126,"Highways Depot, Tonbridge Road, Chiddingstone Causeway",0.17208,51.197682,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.21,Not owned by a public authority,Not Permissioned,,,,Yes,8,,,"Consideration should be given to any potential noise impact from the
railway line.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR128,"Wested Farm, Eynsford Road, Crockenhill",0.17891,51.379967,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.66,Not owned by a public authority,Not Permissioned,,,,Yes,10,,,"Additional information on site layout and massing is required alongside
an assessment of the impact on the listed buildings.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR135,"Gills Farm, Gills Road, South Darenth",0.263865,51.405405,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.92,Not owned by a public authority,Not Permissioned,,,,Yes,16,,,"Support retention of the existing tourist accommodation and
commercial workshops as part of the wider scheme.
If a wholly residential scheme is proposed, as part of the site is in
existing employment and tourist accommodation use, it would need to
be demonstrated that the use is no longer suitable, feasible or viable
and that there is no reasonable prospect of the continued business use
in the longer term.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR140,"Terrys Lodge Farm, Terrys Lodge Road, Wrotham",0.280679,51.323023,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.45,Not owned by a public authority,Not Permissioned,,,,Yes,5,,,"Part of the site has been granted permission for conversion of existing
grain store to 3 residential dwellings.
Additional information on site layout and massing of the proposal is
required alongside an assessment of the impact on the listed building.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR120,"Kent & Surrey Driving Range, Crouch House Road, Edenbridge",0.050794,51.204111,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.14,Not owned by a public authority,Not Permissioned,,,,Yes,5,,,"The loss of sports facility buildings need to be addressed. Site has been
reduced to previously developed land.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR130,"Grange Park Farm, Manor Lane, Fawkham",0.2829,51.375136,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,0.83,Not owned by a public authority,Not Permissioned,,,,Yes,32,,,"Site reduced to previously developed land and locally defined
brownfield land only. Ancient woodland adjacent to the site, a buffer
zone would be required.",2018-12-01,2018-12-01,
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR132,"Fort Halstead, Crow Drive, Halstead",0.14678,51.312699,https://www.sevenoaks.gov.uk/downloads/file/1926/sup017a_site_appraisals_-_sites_included_in_the_local_plan,62.66,Not owned by a public authority,Not Permissioned,,,,,300,,,"Scheduled Ancient Monument on site. Site has outline planning
permission for 450 residential units, 27,000m2 of employment
floorspace, an 80 bed hotel and a village centre.",2018-12-01,2018-12-01,
