OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/1981/00,"Works opposite 101 Mather Road, Bury",-2.290475,53.61672,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=380882&y=413392&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.33,not owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,20,20,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/1958/00,"Former Petrol Station, Parr Lane, Unsworth, Bury",-2.274338,53.559692,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=381925&y=407043&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.1,not owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,5,5,,52413 for 5 townhouses lapsed 07/07/13,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2004/00,"Adj 13 Bury Road, Radcliffe",-2.320686,53.563998,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=378857&y=407535&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.26,not owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,10,10,,42339 - outline planning permission lapsed 14/05/07,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2057/00,"Fairfield Service Station, Rochdale Old Road, Bury",-2.261835,53.600742,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=382770&y=411607&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.1,not owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,9,9,,44080 (9 apartments) - lapsed 24/05/10,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2127/00,"Wellington Garage, Dearden Street, Bury",-2.316917,53.588969,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=379119&y=410312&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.07,not owned by a public authority,,permissioned,full planning permission,2016-07-27,https://planning.bury.gov.uk/online-applications/search.do?action=simple,5,5,yes,59398 - Erection of 5 no. Dwellings approved on 27/07/2016. 5 no. Dwellings,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2206/00,"Site of Hartshead Works, Deal Street, Bury, BL9 7PU",-2.277569,53.596572,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=381727&y=411147&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.5,not owned by a public authority,,permissioned,full planning permission,2016-01-04,https://planning.bury.gov.uk/online-applications/search.do?action=simple,39,39,yes,"58985 - Demolition of existing buildings and residential development comprising 39 no. dwellings (15 no. houses and 24 no. apartments), new access from Deal Street, carparking and landscaping approved on 04/01/2016. Residential development of 39 no. Dwellings",2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2148/00,"Radcliffe High School, Abden Street, Radcliffe",-2.333826,53.560781,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=377985&y=407181&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,2.3,owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,90,90,yes,52038 - expired outline permission for residential development,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2241/00,"Former Police Station, Irwell Street, Bury",-2.302424,53.592377,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=380080&y=410687&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.7,owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,50,50,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2236/00,"Angouleme Way/Haymarket Street, Bury",-2.297972,53.590923,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=380374&y=410524&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.62,not owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,30,30,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2260/00,"Orkney Close, Radcliffe",-2.319306,53.567175,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=378950&y=407888&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.24,not owned by a public authority,,pending decision,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,10,10,,59984 - Outline - Demolition of existing care home and erection of 13 no. Dwellings undetermined at 12/12/17,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2219/00,"Yard, North of Birch Street, Bury",-2.29188,53.599118,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=380781&y=411434&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.16,not owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,8,8,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2227/00,"Corner Walmersley Road/Moorgate, Bury",-2.289297,53.597138,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=380951&y=411213&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.41,mixed ownership,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,30,30,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2230/00,"Land off Knowsley Street, Bury",-2.299004,53.589465,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=380305&y=410362&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.37,owned by a public authority,,not permissioned,,,https://planning.bury.gov.uk/online-applications/search.do?action=simple,150,150,yes,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/metropolitan-district-council/bury,HL/2252/00,"Royal British Legion Club, off Water Street, Radcliffe",-2.330967,53.563943,http://maps.bury.gov.uk/webmaplayers8/Map.aspx?x=378176&y=407532&resolution=0.5&epsg=27700&mapname=bury_shlaa_external&baseLayer=GreyScaleBury&datalayers=Brownfield%20Land%20Register%202017%2CBury%20Council%2CselectFeaturesControl_container,0.11,mixed ownership,,permissioned,outline planning permission,2017-04-25,https://planning.bury.gov.uk/online-applications/search.do?action=simple,19,19,,59375 - Outline - demolition of existing building and erection of 1 building containing 19 no. apartments with associated car parking and amenity space granted 25/4/17,2017-12-19,2017-12-19,
