OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR001,Land at Chester Walk Car Park,-2.077494,51.90162,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=001&scale=512,0.15,owned by a public authority,not permissioned,,,,yes,,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR002,"""Premiere Products, Bouncers Lane""",-2.046236,51.906644,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=002&scale=1024,2.17,not owned by a public authority,permissioned,outline planning permission,,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OPZI30EL08300|https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=8500116PC,yes,,,,Only part of site permissioned remaining site Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR003,Land at Lansdown Road (Gloucestershire Constabulary Headquarters),-2.096806,51.893388,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=003&scale=1024,1,unknown ownership,permissioned,full planning permission,,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OLGHJAELGZK00,yes,,,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR004,"""102, 106 Prestbury Road""",-2.061821,51.908516,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=004&scale=1024,0.8,not owned by a public authority,permissioned,full planning permission,,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OSEEP6ELI9V00|https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=J1M5RMEL59000,yes,,,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR005,"""96, 100, 104 Prestbury Road""",-2.062226,51.907653,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=005&scale=1024,0.49,not owned by a public authority,not permissioned,,,,yes,,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR006,Land at Prestbury Road,-2.062442,51.906106,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=006&scale=1024,0.23,not owned by a public authority,not permissioned,,,,yes,,,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR007,Springbank Shopping Centre,-2.11706,51.914201,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=007&scale=1024,0.51,not owned by a public authority,permissioned,full planning permission,2017-03-22,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OIMMTWELGIZ00,yes,,,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR008,Land and buildings at Coronation Square,-2.114354,51.902318,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=008&scale=1024,1.48,not owned by a public authority,not permissioned,,,,,,,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR009,"""Axiom, 57 Winchcombe Street""",-2.071389,51.901759,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=009&scale=1024,0.07,not owned by a public authority,permissioned,full planning permission,2016-03-10,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OPZN68EL08300,yes,,,,"The is a flat, vacant/derelict, town centre site, previously in use as a Community Arts and Music venue.  The site is within the Central Conservation Area and Core Commercial Area and is surrounded by a mix of retail, restaurant, employment and residential uses.",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,Cheltenham Borough Council,BFR010,"""Tebbit House, 51 Winchcombe Street""",-2.071491,51.901597,http://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=010&scale=1024,0.04,not owned by a public authority,permissioned,full planning permission,2013-12-19,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=O55YYLEL08300|https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=M463GMEL0B100,yes,,,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
