OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR0201,554254.5101,260699.5298,0.110479788,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR0501,558600.245,265677.8757,3.052828662,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR0601,568338.0301,259915.1992,0.512696184,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1001,553780.0302,280015.2044,0.185710006,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1002,554323.1203,280226.8967,0.095662323,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1003,554101.4379,280502.2732,0.604837622,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1004,554307.9704,280630.2322,1.036523322,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1005,554215.5902,279497.9209,11.36994318,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1006,554903.8471,281897.6672,4.015620578,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1101,562419.7689,270513.5646,8.629591922,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1102,562593.6019,270185.5495,0.258882095,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1701,553418.8635,275919.8377,0.258819843,0,0,2018-11-09,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1801,557463.8792,287169.4277,1.063172328,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1802,556707.6346,286698.1551,0.159400021,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR1803,557426.3362,287474.5318,0.305409393,0,0,2018-11-09,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR2301,559009.5176,274237.3525,0.532616973,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR2302,559517.8983,273059.236,0.177021701,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR2303,560308.9116,273432.7605,1.333717722,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR2304,558764.4372,273382.2127,4.108821316,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR2501,551626.4837,274271.2223,0.510531234,0,0,2018-11-09,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR2701,555920.9468,262416.486,0.522230636,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR3101,556940.9492,270973.2525,0.476351148,0,0,2017-12-12,2018-11-09,
http://opendatacommunities.org/id/district-council/east-cambridgeshire,BLR3301,546316.2179,279827.8805,0.409311497,0,0,2017-12-12,2018-11-09,
