OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR02,,,,,,,,permissioned,other,,,,,,http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR06,,,,,,,,permissioned,other,,,,,,http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR04,,,,,,,,,other,,,,,,http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR01,,,,,,,,permissioned,other,,,,,,http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR05,,,,,,,,,other,,,,,,http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR12,,,,,,,,permissioned,full planning permission,,2016-10-10,,,,,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR10,,,,,,,,permissioned,full planning permission,,2016-11-03,,,,,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR17,,,,,,,,permissioned,full planning permission,,2016-12-23,,,,,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR08,,,,,,,,,full planning permission,,2015-01-26,,,,,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR18,,,,,,,,permissioned,full planning permission,,2017-06-08,,,,,,2017-11-28,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR20,,,,,,,,permissioned,full planning permission,,2018-06-14,,,,,,2018-12-18,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR21,,,,,,,,permissioned,full planning permission,,2018-07-05,,,,,,2018-12-18,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR22,,,,,,,,permissioned,full planning permission,,2018-09-07,,,,,,2018-12-18,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR23,,,,,,,,,,,0.10,,,,,,,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR24,,,,,,,,permissioned,full planning permission,,2018-09-07,,,,,,2018-12-18,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR26,,,,,,,,permissioned,full planning permission,,2018-08-17,,,,,,2018-12-18,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR27,,,,,,,,permissioned,full planning permission,,2018-06-14,,,,,,2018-12-18,
http://opendatacommunities.org/id/district-council/mole-valley,Mole Valley District Council,BLR28,,,,,,,,permissioned,full planning permission,,2018-04-20,,,,,,2018-12-18,
