OrganisationURI,SiteReference,GeoX,GeoY,Hectares,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,EndDate
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
ForestHeath,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
StEdmundsbury,,,,,,,2017-09-01,2018-12-13,
