OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR1,"Newbridge Court, Rievaulx Court, Tollesby",-1.241174,54.546247,https://www.middlesbrough.gov.uk/files/brownfields-register-br1-newbridge-courtjpg,0.24,not owned by a public authority,,permissioned,full planning permission,2016-03-07,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OM6UAYKU00300,21,21,yes,. Revised application for demolition of existing buildings and erection of 3 storey building comprising of 1no. ground floor convenient store (A1) and 1no. Ground floor unit for use as either shop (A1) offices (A2) cafe (A3) or hot food shop (A5) with 21no flats,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR2,"Addington Drive, Pallister Park",-1.203088,54.567464,https://www.middlesbrough.gov.uk/files/brownfields-register-br2-addington-drivejpg,0.38,not owned by a public authority,,permissioned,full planning permission,2016-08-16,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK873,19,19,yes,". Residential development comprising 19no two storey dwellings in 2 Phases (13 2bed and 6 3bed) with associated access, car parking landscaping and boundary treatment. Demolition of existing buildings.",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR3,"Roworth Road, Thorntree",-1.183741,54.556505,https://www.middlesbrough.gov.uk/files/brownfields-register-br3-roworth-roadjpg,2.55,mixed ownership,,not permissioned,,,,81,81,,,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR4,"Former Erimus Training Centre, College Road",-1.189377,54.563949,https://www.middlesbrough.gov.uk/files/brownfields-register-br4-former-erimus-training-centrejpg,2.88,owned by a public authority,,not permissioned,,,,91,91,yes,,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR5,"The Wave, Marton Road",-1.225008,54.571363,https://www.middlesbrough.gov.uk/files/brownfields-register-br5-wavejpg,0.59,not owned by a public authority,,permissioned,full planning permission,2016-05-23,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK299,109,109,yes,". Erection of 5 storey building (comprising 109no units for student residential accommodation, 95 studios and 14 cluster flats) with car parking, boundary treatments and landscaping.",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR6,"Springfield Hotel, Borough Road",-1.231829,54.572251,https://www.middlesbrough.gov.uk/files/brownfields-register-br6-springfield-hoteljpg,0.06,not owned by a public authority,,permissioned,full planning permission,2015-12-07,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK887,13,13,yes,". Demolition of existing public house & erection of 1no 7 storey mixed use building, consisting of part ground floor (A1) commercial unit & 13 residential units (77 bed total).",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR7,L/A 234 Linthorpe Road,-1.238699,54.569634,https://www.middlesbrough.gov.uk/files/brownfields-register-br7-la-234-linthorpe-roadjpg,0.03,owned by a public authority,,permissioned,outline planning permission,2016-02-29,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK559,55,55,yes,". Outline planning application for mixed use development consisting of ground floor commercial/retail (A1,A2,A3,A4,A5) and residential accommodation of 55no beds",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR8,"Church House, Bedford Street",-1.236374,54.574023,https://www.middlesbrough.gov.uk/files/brownfields-register-br8-church-house-bedford-streetjpg,0.13,not owned by a public authority,,permissioned,other,2016-09-30,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSMKUSK864,86,86,yes,". Conversion to form 77no apartments on upper floors (with retention of vicarage on 1st/2nd floor and ground floor commercial units) recladding of upper floors and car park. Revised application for  Change of Use to first and second floor to form 9 No additional flats, change of use to ground floor to allow retail (A1), offices (A2), cafe restaurant (A3) or drinking establishment (A4) and new shop fronts.",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR9,"87-97 St. Barnabas Road, Linthorpe",-1.248251,54.562432,https://www.middlesbrough.gov.uk/files/brownfields-register-br9-87-97-st-barnabas-roadjpg,0.06,not owned by a public authority,,permissioned,outline planning permission,2017-11-29,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONZWITKUMP700,9,9,yes,. Erection of 9 2B terraced houses.,2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR10,4-6 Park Road North,-1.239413,54.566987,https://www.middlesbrough.gov.uk/files/brownfields-register-br10-4-6-park-road-northjpg,0.03,not owned by a public authority,,permissioned,full planning permission,2017-04-26,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKUH5FKULQR00,8,8,yes,". Change of use from A4 drinking establishement with 2nd floor flat to 8 student cluster flats (1 3B, 6 2B & 1 5B), basement conversion, external alterations, enclosed rear yard and front boundary fencing.",2017-12-11,2017-12-11,
http://opendatacommunities.org/id/unitary-authority/middlesbrough,BR11,"Centre North East, Albert Road",-1.234943,54.576926,https://www.middlesbrough.gov.uk/files/brownfields-register-br11-centre-north-eastjpg,0.15,not owned by a public authority,,permissioned,other,2016-04-18,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK377,300,300,yes,. Prior notification of proposed change of use from offices (B1) to dwellings (C3).,2017-12-11,2017-12-11,
