OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,SHELAA28,"Andover Station freight yard, Andover, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,1.5,not owned by a public authority,not permissioned,,,,yes,,,,,2017-10-06,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,SHELAA118,"Land at Hyde Farm, Horsebridge Road, Broughton, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,0.97,not owned by a public authority,permissioned,full planning permission,2019-01-31,https://view-applications.testvalley.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=P6D09MQCJRJ00,yes,,,,,2017-10-26,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,SHELAA131,"Abbots Manor Farmyard, Leckford, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,1.1,not owned by a public authority,not permissioned,,,,,,,,,2017-10-26,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,SHELAA195,"Land north of Walworth Road, west of the Commercial Centre, Andover, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,1.489,not owned by a public authority,not permissioned,,,,yes,,,,,2017-10-26,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,Policy LE14,"George Yard and Black Swan Yard, Eastern Avenue, Andover, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,1.67,owned by a public authority,not permissioned,,,,,,,,,2017-12-06,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,TVS.00515,"Former Brewery Site, The Horsefair, Romsey, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,2.68,not owned by a public authority,permissioned,full planning permission,2006-08-03,https://view-applications.testvalley.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYQDQCXD918&activeTab=summary,yes,,,,,2017-12-06,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,14/00245/FULLN,"Anton Laundry, Marlborough Street, Andover, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,0.3,not owned by a public authority,permissioned,full planning permission,2014-11-18,https://view-applications.testvalley.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,yes,,,,,2017-12-14,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,15/01261/FULLS,"Nightingale Lodge, Greatwell Drive, Romsey, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,0.66,not owned by a public authority,permissioned,full planning permission,2017-05-22,https://view-applications.testvalley.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,yes,,,,,2017-12-14,2019-11-28,2019-11-28
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,SHELAA156,"Land at Eastwood Court, Romsey, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,0.04,not owned by a public authority,not permissioned,,,,yes,,,,,2018-12-10,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,SHELAA251,"Former Andover Pumping Station, River Way, Andover, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,3.78,not owned by a public authority,not permissioned,,,,,,,,,2017-12-14,2019-11-28,
http://opendatacommunities.org/id/district-council/test-valley,Test Valley Borough Council,SHELAA318,"Garages at Bilbao Court, Vigo Road, Andover, Hampshire",,,https://testvalley.gov.uk/assets/attach/9578/Brownfield%20Register%20Site%20Plans%202019.pdf,0.14,not owned by a public authority,not permissioned,,,,,,,,,2019-11-28,2019-11-28,
