OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/south-ribble,BBN06,2.660319,53.735478,0.47,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,SS05,2.723845,53.690925,0.67,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,FW12,2.689712,53.703,1.88,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,MF02b,2.698432,53.739244,9.45,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,MF02c,2.698695,53.740492,1.17,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,LYC03,2.697276,53.692305,0.455,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,LHU04,2.763124,53.7384,0.68,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,NLH12,2.730108,53.730759,1.67,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,TG03,2.696715,53.73351,12,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,SS11,2.718471,53.690148,0.18,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,WLDW01,2.681393,53.737526,0.2,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,BBW02,2.669507,53.727913,2.7,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,TG05,2.687989,53.725498,1.5,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,MS02,2.727647,53.700627,40.6,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,SW13,2.645411,53.74204,2.3,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,TG08,2.692176,53.733105,1.9,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,HP01,2.761513,53.74658,2.4,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,BBW05,2.666867,53.729689,0.46,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,WLD01,2.672273,53.745523,0.41,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,SS09,2.720243,53.688394,0.39,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,LHU12,2.821668,53.722526,0.37,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,FE05,2.68474,53.700934,0.34,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,TG02,2.681282,53.731604,0.29,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,GH03,2.705694,53.698556,0.23,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,HP02,2.746744,53.743213,0.23,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,LSM04,2.69566,53.69164,0.15,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,BBE15,2.659579,53.728876,0.2,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,BBE12,2.662551,53.733794,0.07,2016-06-03,2016-06-03,
http://opendatacommunities.org/id/district-council/south-ribble,FW09b,2.69215,53.70295,6.49,2016-06-03,2016-06-03,
