OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/cannock-chase,C90(b),http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,397022,,"CH/16/410 is full planning permission for the conversion of the existing building to form 13 apartments, granted February 2017 and under construction.  CH/17/195 is full planning permission for the erection of 2no. dwellings, granted October 2017.  15 dwellings on site total.  Developer advises site to be completed in 2019/20.  CH/18/214 is planning application for additional 2 units on the first floor of conversion, not yet determined (site capacity may increase to 17 dwellings).  4 completions to date",
http://opendatacommunities.org/id/district-council/cannock-chase,C269,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,398707,,"Buildings have been demolished. CH/15/0497 is full planning permission for 26 apartments, granted March 2017. Site owned by developer who intends to build out site.  Under construction.",
http://opendatacommunities.org/id/district-council/cannock-chase,C152,OSGB36,397923,309989,"CH/15/0078 is full planning permission for 21no. 1 bed flats, granted May 2015.  CH/18/167 was revised outline planning application for 25 apartments, now withdrawn.  Landowner intends to develop- potentially as landlord to future rental properties.  ",2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C272 (Part 2) , Cannock,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,,,
http://opendatacommunities.org/id/district-council/cannock-chase,C327,OSGB36,399346,311979,"CH/14/0097 is full planning permission for 14 dwellings, granted October 2016.  11 completions to date.",2017-09-01,
http://opendatacommunities.org/id/district-council/cannock-chase,C335,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,397919,,"CH/13/0323 is outline planning permission for residential development: Erection of 111 dwellings, public house/restaurant and provision of public open space (outline all matters reserved), granted March 2016. CH/16/124 is reserved matters approval, granted June 2016. Incorporates 50% affordable housing provision (to be developed by Walsall Housing Group). The site included within the register excludes the area which has been reserved for commercial development under the original outline planning permission.  Net developable area 3.1ha.  96 completions to date.",
http://opendatacommunities.org/id/district-council/cannock-chase,R19,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,405178,,"Outline planning permission CH/14/0293 granted for up to 120 dwellings (May 2015). CH/15/0492 is reserved matters approval for 103 dwellings, granted July 2016.  66 completions to date.",
http://opendatacommunities.org/id/district-council/cannock-chase,R97,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,404863,,"CH/12/0433 is full planning permission for change of use from care home to 20. no flats and erection of first storey extension and erection of entrance lobby, granted March 2013. Revised application for 22 flats (CH/13/0433) granted April 2014. CH/16/444 is full planning permission for an extension to form 2 additional dwellings, granted April 2017. 22 completions to date. ",
http://opendatacommunities.org/id/district-council/cannock-chase,C420,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,401560,,"CH/17/070 is outline planning permission for the erection of 10 dwellings. The full extent of this site including greenfield land is 0.31ha with a capacity of 10 dwellings. The register reflects the size and indicative capacity of the brownfield element of the site only. For full details on the site please see the SHLAA. CH/18/042 is full planning permission for the erection of 9no. dwellings, granted March 2018. No change in brownfield capacity.  Development has commenced.",
http://opendatacommunities.org/id/district-council/cannock-chase,R16,http://cannockchase.addresscafe.com/app/exploreit/,OSGB36,404277,,"CH/15/0084 is outline planning permission for the erection of 72 dwellings (joint application with site R20), granted May 2015- now expired. The full extent of this site including greenfield land is 1.4ha with a capacity of 40 dwellings. The register reflects the size and indicative capacity of the brownfield element of the site only. For full details on the site please see the SHLAA. Joint venture between Cannock Chase Council and Staffs County Council. Liaising with potential developers on scheme which will require new planning application. ",
