OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/london-borough-council/merton,04/P0775,"59 Cambridge Road, West Wimbledon, London, SW20 0SB",-0.23607,51.412669,https://maps.london.gov.uk/brownfield-site-register/,0.07,not owned by a public authority,,permissioned,full planning permission,2004-11-29,,7,7,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,08/P0258,"Part of ground, 1st & 2nd floors, 143 Cannon Hill Lane, Raynes Park, London, SW20 9BZ",-0.214258,51.403373,https://maps.london.gov.uk/brownfield-site-register/,0.02,not owned by a public authority,,permissioned,full planning permission,2011-06-24,,5,5,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,08/P1522,"18 & 18a Oakwood Road, West Wimbledon, London, SW20 0PN",-0.240554,51.414976,https://maps.london.gov.uk/brownfield-site-register/,0.04,not owned by a public authority,,permissioned,full planning permission,2010-02-03,,5,5,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,08/P3098,"1 York Road, South Wimbledon, SW19 8TP",-0.188598,51.422547,https://maps.london.gov.uk/brownfield-site-register/,0.06,not owned by a public authority,,permissioned,full planning permission,2009-09-29,,8,8,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,09/P1848,"85-86 High Street, Wimbledon, SW19 5EG",-0.216604,51.425099,https://maps.london.gov.uk/brownfield-site-register/,0.05,not owned by a public authority,,permissioned,full planning permission,2012-07-11,,8,8,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,09/P2716,"472 London Road, Mitcham, CR4 4ED",-0.172649,51.398343,https://maps.london.gov.uk/brownfield-site-register/,0.05,not owned by a public authority,,permissioned,full planning permission,2010-01-27,,5,5,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,13/P0952,"247 The Broadway, Wimbledon, SW19 1SD",-0.195344,51.41927,https://maps.london.gov.uk/brownfield-site-register/,0.14,not owned by a public authority,,permissioned,full planning permission,2014-03-21,,9,9,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,13/P3496,"1st, 2nd & 3rd Floors, 138-140 Alexandra Road, Wimbledon, SW19 7JY",-0.207076,51.421572,https://maps.london.gov.uk/brownfield-site-register/,0.05,not owned by a public authority,,permissioned,planning permission granted under an order,2013-12-20,,12,12,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,13/P3497,"1st & 2nd Floors, 296 Kingston Road, Raynes Park, SW20 8LX",-0.213049,51.40929,https://maps.london.gov.uk/brownfield-site-register/,0.06,not owned by a public authority,,permissioned,planning permission granted under an order,2013-12-23,,7,7,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/london-borough-council/merton,13/P3761,"1st, 2nd & 3rd Floors, 6-12 Gladstone Road, Wimbledon, SW19 1QT",-0.202335,51.419225,https://maps.london.gov.uk/brownfield-site-register/,0.22,not owned by a public authority,,permissioned,planning permission granted under an order,2014-01-20,,11,11,,,2017-12-31,2017-12-31,
