OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chichester,BLR0002,"Land south of Graylingwell Drive, Chichester, West Sussex",-6.499367,54.190929,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30974,7.42,owned by a public authority,,permissioned,reserved matters approval,2017-01-20,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,160,160,yes,"Demolition of existing hospital buildings and development of up to 160 new homes including retention and improvement of sports pitch/open space, new pavilion and children's play area; restoration of Martin's Farm house for residential use (included in 160 unit total); access arrangements and ancillary works and demolition of pavilion.",2017-12-31,2017-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0003,"St Wilfrids Hospice, Grosvenor Road, Donnington, West Sussex, PO19 8FP",-6.545062,54.181122,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30975,0.68,not owned by a public authority,,permissioned,full planning permission,2018-11-30,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=PDJKUFERIIM00&activeTab=summary,41,41,yes,"Originally included as 'Demolition of existing hospice and replacement with 21 no. residential dwellings'. Replaced in 2019 by application 'Demolition of existing hospice and erection of a 75-bed care home (within Class C2), parking, access, landscaping and other associated works'. Dwellings listed at 41 - equivalent to ratio of 1.8 in HDT.",2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0004,"Home Farm Hostel, Chichester Road, Selsey, West Sussex, PO20 9DX",-6.66719,54.179591,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30976,0.14,not owned by a public authority,,permissioned,full planning permission,2017-06-21,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,10,yes,Change of use of existing agricultural workers accommodation to 10 no. residential dwellings and associated works.,2017-12-31,2017-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0005,"Land west of Maddoxwood Cottage, Lavant Road, Chichester, PO19 5RD",-6.487259,54.182547,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30977,0.5,not owned by a public authority,,permissioned,full planning permission,2018-08-15,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,10,yes,Erection of 10 no. dwellings with the associated car parking and landscaping and retention of Maddoxwood House. Provision of a foot/cycle path.,2017-12-31,2017-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0007,"Brewhurst Mill, Brewhurst Lane, Loxwood, Billingshurst, West Sussex, RH14 0RJ",-6.141565,54.365644,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30978,1.47,not owned by a public authority,,permissioned,full planning permission,2015-10-14,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,1,1,yes,Residential conversion of part of Brewhurst Mill to dwelling.,2017-12-31,2017-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0008,"Co-operative Food, Malcolm Road, Tangmere, Chichester, West Sussex, PO20 2HS",-6.503905,54.225115,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30979,0.27,not owned by a public authority,,permissioned,full planning permission,2017-03-14,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,3,3,yes,"Change of use of upper floors from vacant (A4) to 3 no. residential apartments (C3) including installation of external stair, bin and cycle store and car parking spaces.",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0009,"Land at the Tannery, Westgate, Chichester, West Sussex, PO19 3HN",-6.5267,54.17926,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30980,0.55,owned by a public authority,,not permissioned,,,,16,16,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0010,"Metro House, Northgate, Chichester, West Sussex, PO19 3HN",-6.519361,54.185501,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30981,0.2,not owned by a public authority,,not permissioned,,,,6,6,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0011,"Land at Police Station, Kingsham Road, Chichester, PO19 8AD",-6.535649,54.185769,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30982,0.69,owned by a public authority,,not permissioned,,,,20,20,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0012,"Former Portfield Depot and UMA House, Oving, Chichester, West Sussex, PO19 7UW",-6.52372,54.202915,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30983,2.15,not owned by a public authority,,permissioned,outline planning permission,2017-03-01,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,208,208,yes,"Outline application for the re-development of the site to provide student housing of up to 521 bedrooms with a supporting student hub building, associated amenities, parking and landscaping. Dwellings listed at 208 - equilvalent to ratio of 2.5 in HDT. Decision pending on application for 88 C3 dwellings on site.",2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0013,"Tangmere Academy, Bishops Road, Tangmere, West Sussex, PO20 2JB",-6.49999,54.227655,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30984,1.21,owned by a public authority,,not permissioned,,,,36,36,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0014,"98 Fishbourne Road, Fishbourne, West Sussex, PO19 3JL",-6.525463,54.165012,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30985,0.33,not owned by a public authority,,permissioned,full planning permission,2018-05-31,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,6,,"Replacement building providing six, two bedroom apartments, parking and associated works.",2017-12-31,2017-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0015,"Clark's Yard, Billingshurst Road, Wisborough Green",-6.224367,54.370065,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30986,0.6,not owned by a public authority,,not permissioned,,,,11,11,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/chichester,BLR0016,"Jutland House, Kiln Drive (Lion Park), Hambrook, PO18 8FJ",-6.504039,54.119585,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30987,0.16,not owned by a public authority,,permissioned,full planning permission,2017-12-01,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,8,8,yes,"Change of use of existing vacant building to 8 no. apartments (5 no. 2 bed, 3 no. 1 bed) on ground, first and second floor, with flexible A2/B1a/D1 (health/medical) use on one half of the ground floor, including elevational alterations, parking and landscaping.",2018-12-31,2018-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0017,"Greenacre Nursery, Main Road, Chidham, PO18 8TP",-6.5122,54.121258,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30988,0.75,not owned by a public authority,,permissioned,outline planning permission,2018-04-18,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=OIJAOZERLME00&activeTab=summary,10,10,yes,Reuse of previously developed land for residential development of 10 no. dwellings and associated works.,2018-12-31,2018-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0018,"Royal Oak, Stocks Lane, East Wittering, West Sussex, PO20 8BS",-6.636529,54.123325,http://www.chichester.gov.uk/CHttpHandler.ashx?id=30989,0.24,not owned by a public authority,,permissioned,full planning permission,2018-07-23,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,10,yes,"Retention of the former Royal Oak public house and demolition of dog grooming business. Provision of 8 no. ancillary accommodation units at ground, first and second floors of public house, together with proposed internal and external alterations and associated parking and landscaping. Erection of a terrace of 9 no. dwelling units (consisting of 1 no. 3 bedroom house, 1 no. 4 bedroom house, 2 no. 1 bedroom flats, 4 no. 2 bedroom flats and 1 no. 3 bedroom flat) and the erection of 1 no. 3 bedroom chalet bungalow together with associated parking and landscaping at Stocks Lane, East Wittering.",2018-12-31,2018-12-31,2019-12-31
http://opendatacommunities.org/id/district-council/chichester,BLR0019,49-51 Fishbourne Road East,-6.526889,54.169357,http://www.chichester.gov.uk/CHttpHandler.ashx?id=31066,0.62,not owned by a public authority,,permissioned,full planning permission,2018-12-05,https://publicaccess.chichester.gov.uk/online-applications/applicationDetails.do?keyVal=OPBR5TERFWN00&activeTab=summary,37,37,yes,"The comprehensive redevelopment of the former Downland House HQ office site at 49-51 Fishbourne Road East, Chichester for 37 new affordable homes comprising 30 shared ownership apartments, 5 affordable rent houses and 2 affordable rent apartments; car and cycle parking; vehicle and pedestrian access off Fishbourne Road East; landscaping; boundary treatment; amenity space and other ancillary development requirements.",2018-12-31,2018-12-31,
