OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR1,"""Former War Memorial Hospital, Horsefair, Chipping Norton""",-1.544106,51.944082,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=431434&StartNorthing=227385&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,0.3,not owned by a public authority,permissioned,full planning permission,2018-10-17,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVLA5SRKMJB00,yes,14,14,,Amended Plans,2017-12-17,2018-12-30,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR2,"""Carterton Petrol Station and Former Osprey Public House, Upavon Way, Carterton""",-1.592839,51.765718,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=428195&StartNorthing=207527&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,0.8,not owned by a public authority,permissioned,full planning permission,2019-11-12,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PK4OX0RKN2F00,yes,42,42,,Site now has full planning permission,2017-12-17,2019-12-19,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR3,"""REEMA North, Northwood Crescent, Carterton""",-1.589515,51.766362,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=428424&StartNorthing=207600&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,8.97,owned by a public authority,permissioned,full planning permission,2013-05-22,http://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZULNRKTA718,yes,200,300,,Planning permission yet to progress further than initial site work. Land owner has confirmed intention to come forward with a revised scheme of up to 300 dwellings in 2020/21.,2017-12-17,2019-12-19,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR4,"""Brooklands Nurseries, 47 Shilton Road, Carterton""",-1.602579,51.768808,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=427521&StartNorthing=207867&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,0.6,not owned by a public authority,not permissioned,other,,http://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQR2FHRKITX00,,,,,Outline permission finally disposed of. Site suitability yet to be re-assessed through SHELAA update process.,2017-12-17,2019-12-19,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR5,"""Former Stanton Harcourt Airfield, Main Road, Stanton Harcourt""",-1.400961,51.745404,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=441455&StartNorthing=205359&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,8.75,not owned by a public authority,permissioned,full planning permission,2019-01-22,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9A3UWRKJJ100,yes,66,66,,Planning permission implemented,2017-12-17,2019-12-19,2019-12-19
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR6,"""Woodford Way Car Park, Woodford Way, Witney""",-1.489077,51.788303,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=435338&StartNorthing=210084&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,0.66,owned by a public authority,not permissioned,,,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZULGRKTA573,,50,50,,Site allocated in adopted Local Plan 2031 for residential development. Previous planning approval now disposed of,2017-12-17,2018-12-31,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR7,"""North Leigh Garden Centre, Park Road, North Leigh""",-1.429453,51.814283,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=439428&StartNorthing=213004&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,0.42,not owned by a public authority,permissioned,full planning permission,,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEBL5KRKL5A00,yes,10,10,,Full planning permission now granted,2017-12-17,2019-12-19,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR8,"""Oliver's Garage, 80- 82 Main Road, Long Hanborough""",-1.388881,51.823808,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=442216&StartNorthing=214086&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,0.8,not owned by a public authority,pending decision,other,,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PINAQ2RKMJI00,yes,25,25,,Resolution to grant planning permission subject to S106 agreement,2017-12-17,2019-12-19,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR9,"""Freeland Nursery, Freeland""",-1.400557,51.809842,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=441424&StartNorthing=212526&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,1.9,not owned by a public authority,not permissioned,,,,,,,,Site suitability yet to be re-assessed through SHELAA update process.,2017-12-17,2019-12-19,
http://opendatacommunities.org/id/district-council/west-oxfordshire,,BR10,"""Alfred Groves And Sons Ltd, Groves Business Centre, Shipton Road
Milton Under Wychwood, Chipping Norton, Oxfordshire, OX7 6JP""",-1.614017,51.861759,http://my.westoxon.gov.uk/mwo.aspx?MapSource=WOxford/AllMaps&StartEasting=426677&StartNorthing=218201&StartZoom=250&o=1&Layers=Brownfield_Sites_WODC,0.2,not owned by a public authority,permissioned,full planning permission,2017-01-04,https://publicaccess.westoxon.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEVZ0KRKHGY00,yes,5,5,,Residential development allowed on edge of existing employment site,2017-12-17,,
