OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/tendring,15/00578/FUL,1.156828,51.789301,0.16,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,15/00615/FUL,1.289262,51.9462,0.02,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/01038/FUL,1.271002,51.848196,0.07,2018-01-15,2018-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/01048/FUL,1.15832,51.841011,0.46,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,16/01358/FUL,1.11836,51.77336,0.02,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,11/01124/FUL,1.245941,51.929875,0.1,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,18/01010/FUL,1.210781,51.926884,0.62,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/01479/FUL,1.064189,51.944707,0.04,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,15/01791/FUL,1.28496,51.940505,0.05,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,15/01634/FUL,1.081013,51.943954,0.21,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,16/01829/FUL,1.154419,51.789086,0.07,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,14/01560/FUL,1.035097,51.88916,0.48,2018-01-15,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,16/00920/FUL,1.104947,51.772139,0.05,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,14/01375/FUL,1.156717,51.787443,0.09,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,16/00921/FUL,1.103896,51.772088,0.06,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,16/01916/FUL,1.148464,51.797025,0.88,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/01708/FUL,1.158442,51.804801,0.27,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/00571/FUL,1.268648,51.850266,0.21,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,13/01385/FUL,1.163076,51.847761,1.9,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/00435/FUL,1.156987,51.791739,0.09,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,14/00593/FUL,1.155824,51.789331,0.09,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,16/00538/FUL,1.251886,51.8371,0.12,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA1,1.121092,51.858505,0.81,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA3,1.151095,51.802469,0.38,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA6,1.129953,51.802337,2.3,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA9,1.271962,51.848772,0.06,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA10,1.267263,51.84295,0.8,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA5,1.157518,51.793979,1.58,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA2 ,1.15854,51.800437,0.68,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,ALT15,1.290963,51.947974,4.34,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA8,1.275271,51.934463,1.32,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA7,1.272478,51.935249,0.36,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,MSA11,1.268172,51.845826,1.17,2017-12-29,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,12/01087/FUL,1.122344,51.794801,0.28,2019-02-01,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/01845/FUL,1.106382,51.773645,0.03,2019-02-01,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,18/00570/FUL,1.149498,51.788754,0.06,2019-02-01,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,17/01955/OUT,1.115634,51.859408,0.53,2019-02-01,2019-03-31,
http://opendatacommunities.org/id/district-council/tendring,12/00102/FUL,1.163883,51.857553,0.02,2019-02-01,2019-03-31,
