OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/south-bucks,SB0005,"''Beaconsfield Garden Centre, London Road, Beaconsfield''",-0.650553,51.599443,http://www.southbucks.gov.uk/planning/brownfieldregister,2.5,not owned by a public authority,,permissioned,outline planning permission,2016-04-27,,9,9,yes,". Outline application for: Erection of 9 dwellings, formation of new access and associated driveway",,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0032,"''Land North of M40 & South of Hedgerley Lane, including Harrias House''",-0.629846,51.596336,http://www.southbucks.gov.uk/planning/brownfieldregister,4.9,not owned by a public authority,,not permissioned,,,,5,11,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0034,"''73 High Street and Land to Rear, Burnham''",-0.659233,51.534196,http://www.southbucks.gov.uk/planning/brownfieldregister,0.23,not owned by a public authority,,not permissioned,,,,12,15,yes,,,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0043,"''Thorney Business Park, Thorney Lane South''",-0.51146,51.51035,http://www.southbucks.gov.uk/planning/brownfieldregister,42.95,not owned by a public authority,,not permissioned,,,,130,320,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0055,"''Wilton Park Land Parcel 1, Wilton Park''",-0.616333,51.60359,http://www.southbucks.gov.uk/planning/brownfieldregister,36.89,not owned by a public authority,,not permissioned,,,,350,350,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0133,"''Greenacres, 199 Station Road, Beaconsfield''",-0.638634,51.605723,http://www.southbucks.gov.uk/planning/brownfieldregister,0.2,not owned by a public authority,,permissioned,full planning permission,2012-10-22,,10,10,yes,". Redevelopment of site to provide block comprising of 11 two bed flats with associated car parking. car port, cycle store and bin store.",,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0166,"''Land at Meadow Cottage Saltmarshe and Longridge, Bangors Road South, Iver''",-0.509332,51.522721,http://www.southbucks.gov.uk/planning/brownfieldregister,0.95,not owned by a public authority,,permissioned,outline planning permission,2013-06-28,,36,36,yes,". Redevelopment of site to provide 3 blocks comprising 39 apartments, with basement car park, surface parking, access and highway arrangements incorporating access onto Evreham Road (Outline Application).",,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0197,"''Chopra Manor, Crown Lane, Farnham Royal''",-0.62452,51.538741,http://www.southbucks.gov.uk/planning/brownfieldregister,0.15,not owned by a public authority,,permissioned,full planning permission,2015-06-22,,7,7,yes,. Change of use from a dwellinghouse to a house of multiple occupation consisting of 7 units including one unit for family occupation.,,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0206,"''Northfield, 40 Penn Road, Beaconsfield''",-0.64767,51.615016,http://www.southbucks.gov.uk/planning/brownfieldregister,0.16,not owned by a public authority,,permissioned,full planning permission,2016-11-18,,5,5,yes,". Detached building containing six apartments incorporating basement and roof accommodation, access ramp and associated landscaping.  Single storey concierge/refuse building and alteration to front boundary wall/gates and width of vehicular access.",,2018-05-22,
http://opendatacommunities.org/id/district-council/south-bucks,SB0285,"''4a The Broadway, Farnham Common, ''",-0.615686,51.554882,http://www.southbucks.gov.uk/planning/brownfieldregister,0.03,not owned by a public authority,,not permissioned,,,,6,8,yes,,,2018-05-22,
