OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,BLR2019001,"""Part of Barnsbury Site 2, Hawthorn Road, Woking, GU22 0BN""",51.305,-0.566,http://www.woking2027.info/ldfregisters,0.31,owned by a public authority,not permissioned,,,,,,,,Amended version of pre-existing site.,2018-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,BLR2019002,"""101-111 Chertsey Road, Woking, GU21 5BW""",51.322,-0.554,http://www.woking2027.info/ldfregisters,0.24,not owned by a public authority,permissioned,"full planning permission, prior approval",2019-10-29,https://www.woking.gov.uk/planning/publicaccess,,,,,Amended version of pre-existing site. 111 Chertsey Road planning history is detailed. 101 Chertsey Road: no planning history.,2018-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,BLR2019003,"""The Crescent, Heathside Crescent, Woking, GU22 7AG""",51.317,-0.557,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,not permissioned,,,,,,,,Amended version of pre-existing site.,2018-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,BLR2019004,"""Station Plaza, Station Approach, Woking""",51.318,-0.557,http://www.woking2027.info/ldfregisters,0.38,owned by a public authority,not permissioned,,,,,,,,No planning history to date.,2019-12-19,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,NSHLAASJT001,"""Edbrooke House, 11-13 St John's Road, St John's, GU21 7SE",51.312,-5.951,http://www.woking2027.info/ldfregisters,0.04,not owned by a public authority,permissioned,full planning permission,2017-08-24,https://www.woking.gov.uk/planning/publicaccess,yes,,,,PLAN/2017/0774. New entry in 2018.,2018-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAABWB012,"""Library, 71 High Road, Byfleet, KT14 7QN""",54.396,-5.681,http://www.woking2027.info/ldfregisters,0.13,owned by a public authority,not permissioned,,,,,,,,Site is in Flood Zone 2,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAABWB022,"""Land at Station Approach, West Byfleet KT14 6NG""",54.378,-5.682,http://www.woking2027.info/ldfregisters,0.91,not owned by a public authority,permissioned,outline planning permission,,https://www.woking.gov.uk/planning/publicaccess,,,,,"PLAN/2017/0128 granted at Planning committee, pending signed S106 agreement. Relates the part of the site east of Station Approach.",2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAABWB024,"""Camphill Club and Scout Hut, Camphill Road, West Byfleet KT14 6EF""",54.381,-5.677,http://www.woking2027.info/ldfregisters,0.38,not owned by a public authority,not permissioned,,,,,,,,No planning history to date.,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAABWB025,"""1, 3, 5, 7, 9, 11, 13 and 15, Old Woking Road, West Byfleet, KT14 6LW""",54.378,-5.683,http://www.woking2027.info/ldfregisters,0.14,not owned by a public authority,permissioned,full planning permission,2016-06-27,https://www.woking.gov.uk/planning/publicaccess,yes,,,,"There are a number of permissions on this site: PLAN/2016/1019 approved for 2 flats; PLAN/2011/0680 for 3 flats; PLAN/2015/1362 for 5 flats (the latter permission is detailed under DevelopmentDescription, and is under construction).",2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAABWB027,"""Globe House, Lavender Park Road, West Byfleet KT14 6ND""",51.339,-0.505,http://www.woking2027.info/ldfregisters,0.08,not owned by a public authority,permissioned,full planning permission,,https://www.woking.gov.uk/planning/publicaccess,,,,,PLAN/2016/0990 permitted subject to legal agreement. PLAN/2016/0180 refused.,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAABWB032,"""3 Claremont Road, West Byfleet, KT14 6DY""",54.377,-5.679,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,permissioned,full planning permission,2018-09-04,https://www.woking.gov.uk/planning/publicaccess,,,,,PLAN/2017/0761 permitted subject to legal agreement.,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN001,"""Trizancia House and Woodstead House, 72 Chertsey Road, Woking, GU21 5BJ""",54.346,-5.708,http://www.woking2027.info/ldfregisters,0.15,not owned by a public authority,not permissioned,,,https://www.woking.gov.uk/planning/publicaccess,,,,,References for planning history PLAN/2015/0545 and PLAN/2014/0759,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN002,"""The Cornerstone, The Broadway and Elizabeth House, Duke Street, Woking, GU21 5AS""",54.346,-5.712,http://www.woking2027.info/ldfregisters,0.21,not owned by a public authority,permissioned,full planning permission,2016-05-31,https://www.woking.gov.uk/planning/publicaccess,yes,,,,Site yield is based on the most recent prior approval (PLAN/2019/0645).,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN004,"""2-24 and 13-28 Commercial Way and High Street, Woking, GU21 6BW""",54.343,-5.714,http://www.woking2027.info/ldfregisters,0.45,mixed ownership,not permissioned,,,,,,,,,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN006,"""1-12 and 26-34 High Street and Commercial Way, Woking GU21 6EN""",54.344,-5.713,http://www.woking2027.info/ldfregisters,0.58,mixed ownership,not permissioned,,,,,,,,,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN007,"""Regent House, 19-20, The Broadway, Woking, GU21 5AP""",54.345,-5.712,http://www.woking2027.info/ldfregisters,0.04,not owned by a public authority,permissioned,full planning permission,2017-03-14,https://www.woking.gov.uk/planning/publicaccess,yes,,,,"PLAN/2017/0070 prior approval given in DevelopmentDescription.  In this case, the min net dwellings is based on indicative density from the SHLAA Methodology 2017 Appendix 4 rather than the prior notification. Also PLAN/2017/0583: Proposed re-fenestration of upper floors of building to facilitate implementation of prior approval for residential use [Plan/2017/0070] and the construction of a new service core, infilling of ground floor and small rear extension to allow: the creation of an additional retail unit at ground floor level, both ground floor units to be in flexible retail use [A1, A2 and A3]",2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN011,"""95-105 Maybury Road, Woking GU21 5JL""",54.35,-5.707,http://www.woking2027.info/ldfregisters,0.81,not owned by a public authority,not permissioned,,,https://www.woking.gov.uk/planning/publicaccess,,,,,,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN015,"""33-35 Portugal Road, Woking, GU21 5JE""",54.348,-5.709,http://www.woking2027.info/ldfregisters,0.32,not owned by a public authority,permissioned,full planning permission,2017-05-24,https://www.woking.gov.uk/planning/publicaccess,,,,,"PLAN/2017/0317 detailed is not for residential use, but for a car show room. However the site has potential for residential development and the min net dwellings is based on indicative density from the SHLAA Methodology 2017 Appendix 4.",2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN017,"""Walton Road Youth Centre, Walton Road, Woking GU21 5DL""",54.346,-5.709,http://www.woking2027.info/ldfregisters,0.08,owned by a public authority,permissioned,other,,https://www.woking.gov.uk/planning/publicaccess,,,,,PLAN/2017/0241 (formal consultation for prior approval for demolition of existing building),2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN018,"""29-31 Walton Road, Woking, GU21 5DL""",54.347,-5.709,http://www.woking2027.info/ldfregisters,0.05,not owned by a public authority,permissioned,full planning permission,,https://www.woking.gov.uk/planning/publicaccess,yes,,,,PLAN/2017/0146 and PLAN/2009/0281,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN020,"""27 North Road, Woking GU21 5DT""",54.349,-5.704,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,not permissioned,,,,yes,,,,PLAN/2014/1333 permitted subject to legal agreement has expired.,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN027,"""30-32 Woking Railway and Athletic Club, Systems House, Bridge House, Goldsworth Road, Woking, GU21 6JT""",54.341,-5.716,http://www.woking2027.info/ldfregisters,0.72,not owned by a public authority,pending decision,,,https://www.woking.gov.uk/planning/publicaccess,yes,,,,"PLAN/2016/0742 pending signed legal agreement, resolution to grant. Historic permissions PLAN/2007/1298 and PLAN/2008/1350",2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN028,"""1-7 Victoria Way and 1-29 Goldsworth Road, Woking GU21 6JZ""",54.341,-5.715,http://www.woking2027.info/ldfregisters,0.3,not owned by a public authority,not permissioned,,,,,,,,No planning history to date.,2017-12-20,2019-12-19,
http://opendatacommunities.org/id/district-council/woking,Woking Borough Council,SHLAACAN030,"""The Big Apple American Amusements Ltd, HG Wells Conference Centre, the former Rat and Parrot PH, 48-58 Chertsey Road, Woking GU21 5AJ""",54.345,-5.71,http://www.woking2027.info/ldfregisters,0.69,mixed ownership,permissioned,full planning permission,2018-04-11,https://www.woking.gov.uk/planning/publicaccess,,,,,"PLAN/2017/0802 granted subject to S106 agreement (12/12/2017 Planning Committee). This application relates to one part of the site - the former Rat and Parrot public house. There is a pending planning application at Crown Place for ""Demolition of all existing buildings including existing footbridge to Victoria Way Car Park and redevelopment of site to provide a new building ranging from 5x to 28x storeys plus basement level comprising up to 366x residential units (Use Class C3),  commercial (Use Classes A1/A2/A3) and community uses (Use Classes D1/D2) at ground floor and first floor level and associated internal and external amenity spaces, basement level car parking, cycle parking, bin storage, ancillary facilities, plant, new public realm, landscaping and highway works."" (PLAN/2019/1141)",2017-12-20,2019-12-19,
