OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
,2016/4140,-0.046200371,51.53756399,0.05,31/12/2017,,
,2017/0873,-0.071913745,51.57394435,0.03,31/12/2017,,
,2016/2420,-0.077172467,51.57480161,0.29,31/12/2017,,
,2015/4019,-0.063703396,51.57130164,0.06,31/12/2017,,
,2016/2345,-0.074166563,51.57330968,0.36,31/12/2017,,
,2016/1348,-0.04924641,51.54271697,0.31,31/12/2017,,
,2016/3833,-0.067686672,51.54283812,0.03,31/12/2017,,
,2014/0610,-0.066568003,51.54785789,0.04,31/12/2017,,
,2014/3457,-0.081915057,51.54303382,0.05,31/12/2017,,
,2014/0727,-0.05624849,51.54684533,0.04,31/12/2017,,
,2008/0551,-0.06299547,51.56571002,0.07,31/12/2017,,
,2008/1262,-0.078194963,51.57415333,0.06,31/12/2017,,
,2009/2093,-0.087630725,51.56905383,0.07,31/12/2017,,
,2016/1347,-0.050886169,51.54101859,0.29,31/12/2017,,
,SALP270,-0.082104633,51.5387567,0.74,31/12/2017,,
,HCAAP - A4,-0.052982824,51.54764646,0.8,31/12/2017,,
,2013/3223,-0.090122651,51.57302871,0.47,31/12/2017,,
,2013/0502,-0.069114056,51.53144072,0.31,31/12/2017,,
,SALP223,-0.053842701,51.5405674,0.43,31/12/2017,,
,SALP84,-0.077090795,51.54006477,0.25,31/12/2017,,
,2012/2828,-0.081782767,51.53869972,0.068,31/12/2017,,
,2015/1612,-0.046459789,51.53601355,0.169,31/12/2017,,
,2014/0332,-0.059724357,51.5633127,0.066,31/12/2017,,
,2014/2129,-0.053757855,51.55914392,0.172,31/12/2017,,
