OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/blaby,BLR01,-1.169817,52.573443,0.58,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR02,-1.189850,52.622712,0.1,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR03,-1.188401,52.554693,3.92,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR04,-1.137724,52.553068,0.1,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR05,-1.143904,52.553085,0.01,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR06,-1.248223,52.556463,0.1,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR07,-1.210790,52.587640,0.07,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR08,-1.181991,52.567046,5.38,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR09,-1.178295,52.569844,0.18,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR10,-1.152517,52.579156,0.48,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR11,-1.221242,52.624254,0.17,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR12,-1.171315,52.587155,0.1,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR13,-1.321314,52.563818,0.47,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR14,-1.186576,52.586460,0.09,2017-12-04,2017-12-04,
http://opendatacommunities.org/id/district-council/blaby,BLR15,-1.198493,52.566656,0.83,2017-12-04,2017-12-04,
