OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/district-council/fenland,BLR0001,"546,023.30","310,088.08",0.04,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0002,"541,368.09","296,996.71",0.32,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0003,"540,902.23","297,155.14",0.66,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0004,"540,945.45","297,140.26",0.48,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0005,"547,415.61","289,233.15",0.17,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0006,"527,658.66","296,860.64",0.49,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0007,"546,388.86","309,534.08",0.04,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0008,"546,635.32","309,410.77",0.21,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0009,"526,725.74","297,337.10",0.49,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0010,"540,955.89","295,887.07",0.94,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0011,"547,454.47","310,457.67",0.39,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0012,"541,733.34","297,674.83",0.16,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0013,"539,045.22","286,916.09",0.11,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0014,"545,964.01","310,689.14",40.03,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0015,"527,160.22","296,843.53",0.31,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0016,"528,320.25","296,933.23",5.84,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0017,525238.0306,297482.107,2.66,19/12/2017,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0018,547258.3215,310405.0814,1.67,19/12/2017,19/12/2017
http://opendatacommunities.org/doc/district-council/fenland,BLR0019,546964.7948,288958.1869,0.39,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0020,549384.0238,296499.4928,0.18,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0021,543223.2939,316868.0618,3.06,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0022,543238.9566,316718.367,1.66,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0023,547081.8533,288949.9731,0.15,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0024,539233.9076,303677.2024,0.29,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0025,541924.3025,298821.754,0.37,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0026,541765.0743,297817.5809,1.14,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0027,541559.9388,296966.5266,0.06,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0028,541566.9932,296017.3248,0.45,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0029,539175.6268,285785.343,0.19,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0030,545103.9617,317258.2903,2.05,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0031,523925.9711,296763.0429,0.25,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0032,541496.4506,293166.0526,1.51,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0033,542098.5705,308524.5575,0.27,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0034,541607.4332,296190.7387,0.11,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0035,541321.3451,296545.4494,0.37,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0036,541557.5785,296938.9409,0.04,19/12/2019,19/12/2019
http://opendatacommunities.org/doc/district-council/fenland,BLR0037,529563.838,297337.5775,0.29,19/12/2019,19/12/2019
