OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_003,"Land at Guildford Park Road Surface Car Park, Guildford GU2 7NF",,,https://www.guildford.gov.uk/media/26679/Land-at-Guildford-Park-Road-Surface-Car-Park-Guildford-GU2-7NF/pdf/BFLR2017_003,2.15,owned by a public authority,,permissioned,full planning permission,2017-01-23,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_171221,,,yes,"""Application ref. 16/P/01290""",2017-09-27,2017-09-27,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_015,"Works, Poyle Road, Tongham, GU10 1DS",,,https://www.guildford.gov.uk/media/26691/Works-Poyle-Road-Tongham-GU10-1DS/pdf/BFLR2017_015,0.12,not owned by a public authority,,not permissioned,,,,10,10,,,2017-09-27,2017-09-27,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_016,"Public House, Oxenden Road, Tongham",,,https://www.guildford.gov.uk/media/26692/Public-House-Oxenden-Road-Tongham/pdf/BFLR2017_016,0.17,not owned by a public authority,,not permissioned,,,,15,15,,,2017-09-27,2017-09-27,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_017,"Builders Yard (Elms Garden), Glaziers Lane, Normandy",,,https://www.guildford.gov.uk/media/26693/Builders-Yard-Elms-Garden-Glaziers-Lane-Normandy/pdf/BFLR2017_018,1.25,not owned by a public authority,,not permissioned,,,,15,15,yes,,2017-09-27,2017-09-27,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_019,"Slyfield Area Regeneration Project, Guildford",,,https://www.guildford.gov.uk/media/26695/Slyfield-Area-Regeneration-Project-Guildford/pdf/BFLR2017_019,4E+1,mixed ownership,,not permissioned,,,,1000,1000,,"""Local Plan allocation ref. A24. Policy proposes 1,500 homes of which 1,000 will be delivered within the Plan period.""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_020,"Land at Westway, off Aldershot Road, Guildford",,,https://www.guildford.gov.uk/media/26696/Land-at-Westway-off-Aldershot-Road-Guildford/pdf/BFLR2017_020,0.56,not owned by a public authority,,not permissioned,,,,38,38,yes,"""Local Plan allocation ref. A19""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_021,"Land at Guildford Cathedral, Alresford Road, Guildford",,,https://www.guildford.gov.uk/media/26697/Land-at-Guildford-Cathedral-Alresford-Road-Guildford/pdf/BFLR2017_021,3.28,not owned by a public authority,,not permissioned,,,,93,93,,"""Local Plan allocation ref. A15""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_022,"The Plaza, Portsmouth Road, Guildford",,,https://www.guildford.gov.uk/media/26698/The-Plaza-Portsmouth-Road-Guildford/pdf/BFLR2017_022,0.38,not owned by a public authority,,not permissioned,full planning permission,2018-03-14,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_177442,90,90,,"""Local Plan allocation ref. A1. Current permitted scheme not considered viable by applicant and site is no longer for sale, therefore site remains available for residential development.""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_023,"Jewsons, Walnut Tree Close, Guildford",,,https://www.guildford.gov.uk/media/26699/Jewsons-Walnut-Tree-Close-Guildford/pdf/BFLR2017_023,0.64,not owned by a public authority,,not permissioned,,,,175,175,,"""Local Plan allocation ref. A4""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_024,"Surrey Police Headquarters, Mount Browne, Sandy Lane, Guildford",,,https://www.guildford.gov.uk/media/26700/Surrey-Police-Headquarters-Mount-Browne-Sandy-Lane-Guildford/pdf/BFLR2017_024,5.9,not owned by a public authority,,not permissioned,,,,116,116,,"""Local Plan allocation ref. A33""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_025,"Former Pond Meadow School, Pond Meadow, Guildford",,,https://www.guildford.gov.uk/media/26701/Former-Pond-Meadow-School-Pond-Meadow-Guildford/pdf/BFLR2017_025,0.6,owned by a public authority,,not permissioned,,,,10,10,yes,"""Local Plan allocation ref. A20""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_026,"Land between Farnham Road and the Mount, Guildford",,,https://www.guildford.gov.uk/media/26702/Land-between-Farnham-Road-and-the-Mount-Guildford/pdf/BFLR2017_026,0.64,not owned by a public authority,,not permissioned,,,,70,70,,"""Local Plan allocation ref. A3""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_027,"Land at Coltsfoot Drive, 1 Bryony Road and garages, Guildford",,,https://www.guildford.gov.uk/media/26703/Land-at-Coltsfoot-Drive-1-Bryony-Road-and-garages-Guildford/pdf/BFLR2017_027,0.64,not owned by a public authority,,not permissioned,,,,18,18,,,2017-09-27,2017-09-27,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_028,"Land between Gill Avenue and Rosalind Frankin Close, Guildford",,,https://www.guildford.gov.uk/media/26704/Land-between-Gill-Avenue-and-Rosalind-Frankin-Close-Guildford/pdf/BFLR2017_028,2.36,not owned by a public authority,,not permissioned,,,,61,61,,"""Local Plan allocation ref. A16""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_029,"Former Tyrrell site, Long Reach, Ockham",,,https://www.guildford.gov.uk/media/26705/Former-Tyrrell-site-Long-Reach-Ockham/pdf/BFLR2017_029,1.98,not owned by a public authority,,not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_180231,12,12,yes,"""Application 17/P/02488 refused on 14 March 2018 - Demolition of existing buildings and erection of 25 x dwellings. Site is PDL in the Green Belt.""",2017-09-27,2018-12-03,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_030,"The Shed Factory, Portsmouth Road, Ripley",,,https://www.guildford.gov.uk/media/26706/The-Shed-Factory-Portsmouth-Road-Ripley/pdf/BFLR2017_030,0.4,not owned by a public authority,,not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_187060,12,12,,"""Application 19/P/01126 received on 24 June 2019 - Erection of 7 residential units, retention of commercial sales area in separate building for established garden shed business and associated development together with demolition of existing building and retention of some display sheds/outbuildings.""",2017-09-27,2019-11-22,
