OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/waverley,10a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,502592.56,,"Site forms part of a larger promoted  site which includes elements of greenfield, only the brownfield element has been included. This is a strategic site within the Waverley Local Plan Part 1 with an allocation of 2600 with planning permission granted for 1,800.",
http://opendatacommunities.org/id/district-council/waverley,130,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,506068.23,,,
http://opendatacommunities.org/id/district-council/waverley,132a, Farnham,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,,,
http://opendatacommunities.org/id/district-council/waverley,133a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,482779.27,,The site is an allocation in the Farnham Neighbourhood Plan.,
http://opendatacommunities.org/id/district-council/waverley,144,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,488908.52,,,
http://opendatacommunities.org/id/district-council/waverley,245,OSGB36,489481.53,132841.14,,2017-12-15,
http://opendatacommunities.org/id/district-council/waverley,264,OSGB36,484192.46,146787.98,,2017-12-15,
http://opendatacommunities.org/id/district-council/waverley,368, Godalming,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,,,
http://opendatacommunities.org/id/district-council/waverley,383a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,505850.12,,,
http://opendatacommunities.org/id/district-council/waverley,478a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,485904.46,,"Site forms part of a larger promoted  site which includes elements of greenfield, only the brownfield element has been included. The 'MinNetDwellings' has been calculated on a percentage basis using the figures specified in the Waverley LAA. The site is an allocation in the Farnham Neighbourhood Plan.",
http://opendatacommunities.org/id/district-council/waverley,556a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,484839.37,,The site is an allocation in the Farnham Neighbourhood Plan.,
http://opendatacommunities.org/id/district-council/waverley,619a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,484299.81,,The site is an allocation in the Farnham Neighbourhood Plan.,
http://opendatacommunities.org/id/district-council/waverley,648a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,497926.00,,This is a strategic site within the Waverley Local Plan Part 1.,
http://opendatacommunities.org/id/district-council/waverley,676, Witley,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,,,
http://opendatacommunities.org/id/district-council/waverley,697,OSGB36,489457.80,132940.57,,2017-12-15,
http://opendatacommunities.org/id/district-council/waverley,699a,OSGB36,495911.91,143085.61,,2017-12-15,
http://opendatacommunities.org/id/district-council/waverley,770,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,483121.19,,,
http://opendatacommunities.org/id/district-council/waverley,862,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,483861.65,,,
http://opendatacommunities.org/id/district-council/waverley,882,OSGB36,483913.31,146879.01,Grade II Listed Building.,2017-12-15,
http://opendatacommunities.org/id/district-council/waverley,915,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,498583.60,,Prior approval not required for the change of use from Class B1a (office) to Class C3 (residential) use to provide 16 dwellings.,
http://opendatacommunities.org/id/district-council/waverley,978,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,498119.00,,Prior approval required and granted for the change of use from Class B1a (office) to Class C3 (residential) use to provide 33 dwellings. However it is noted that 7 of the flats are shown within the roof space and could not be constructed within additional roof lights or works to the roof.,
http://opendatacommunities.org/id/district-council/waverley,995,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,497182.58,,Prior approval required and granted for the change of use from office (Use Class B1a) to residential (Use Class C3) to provide 12 dwellings.,
http://opendatacommunities.org/id/district-council/waverley,B3,OSGB36,497277.74,143674.52,,2017-12-15,
http://opendatacommunities.org/id/district-council/waverley,772,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,496704.80,,Prior approval required and granted for the change of use from office (Use Class B1a) to residential (Use Class C3) to provide 128 dwellings with an additional prior approval required and granted for the change of use from office (Use class B1a) to residential (Use Class C3) to provide an additional 29 dwellings,
http://opendatacommunities.org/id/district-council/waverley,766,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,498096.00,,,
http://opendatacommunities.org/id/district-council/waverley,796,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,507036.37,,,
http://opendatacommunities.org/id/district-council/waverley,B4,OSGB36,483906.55,149077.30,Prior approval required and granted for the change of use from office (Use Class B1a) to residential (Use Class C3) to provide 5 dwellings.,2018-12-12,
http://opendatacommunities.org/id/district-council/waverley,567a, Godalming,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,,,
http://opendatacommunities.org/id/district-council/waverley,B5,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,498021.90,,Prior approval required and granted for the change of use from office (Use Class B1a) to residential (Use Class C3) to provide 22 dwellings.,
http://opendatacommunities.org/id/district-council/waverley,1014,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,505700.00,,,
http://opendatacommunities.org/id/district-council/waverley,B7,OSGB36,489210.84,132877.23,,2018-12-12,
http://opendatacommunities.org/id/district-council/waverley,B8,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,484182.48,,,
http://opendatacommunities.org/id/district-council/waverley,1049,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,500621.61,,,
http://opendatacommunities.org/id/district-council/waverley,141a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,490353.90,,,
http://opendatacommunities.org/id/district-council/waverley,973,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,490507.42,,Grade II listed building,
http://opendatacommunities.org/id/district-council/waverley,980, Haslemere,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,,,
http://opendatacommunities.org/id/district-council/waverley,1001,OSGB36,489539.99,132897.23,,2018-12-12,
http://opendatacommunities.org/id/district-council/waverley,1013,OSGB36,489566.10,132810.90,,2018-12-12,
http://opendatacommunities.org/id/district-council/waverley,613a,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,490564.50,,,
http://opendatacommunities.org/id/district-council/waverley,467,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,494520.00,,,
http://opendatacommunities.org/id/district-council/waverley,976,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,501468.69,,,
http://opendatacommunities.org/id/district-council/waverley,942,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,506462.00,,,
http://opendatacommunities.org/id/district-council/waverley,1011,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,483153.00,,Prior notification application grantedfor change of use from (class b8) storage or distribution centre to 4 residential dwelling houses (class c3),
http://opendatacommunities.org/id/district-council/waverley,961,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,483567.30,,,
http://opendatacommunities.org/id/district-council/waverley,827,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,492084.40,,,
http://opendatacommunities.org/id/district-council/waverley,1004,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,489310.45,,,
http://opendatacommunities.org/id/district-council/waverley,1005a,OSGB36,488046.58,133057.57,,2018-12-12,
http://opendatacommunities.org/id/district-council/waverley,1027,http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,504647.29,,,
http://opendatacommunities.org/id/district-council/waverley,B10,OSGB36,484827.61,147231.27,,2018-12-12,
