row-number,field,issue-type,value
1,SiteReference,missing,
1,GeoX,missing,
1,GeoY,missing,
2,LastUpdatedDate,date,2018-21-21
2,SiteReference,missing,
2,GeoX,missing,
2,GeoY,missing,
3,SiteReference,missing,
3,GeoX,missing,
3,GeoY,missing,
4,SiteReference,missing,
4,GeoX,missing,
4,GeoY,missing,
5,SiteReference,missing,
5,GeoX,missing,
5,GeoY,missing,
6,SiteReference,missing,
6,GeoX,missing,
6,GeoY,missing,
7,SiteReference,missing,
7,GeoX,missing,
7,GeoY,missing,
8,SiteReference,missing,
8,GeoX,missing,
8,GeoY,missing,
9,SiteReference,missing,
9,GeoX,missing,
9,GeoY,missing,
10,SiteReference,missing,
10,GeoX,missing,
10,GeoY,missing,
11,SiteReference,missing,
11,GeoX,missing,
11,GeoY,missing,
12,SiteReference,missing,
12,GeoX,missing,
12,GeoY,missing,
13,SiteReference,missing,
13,GeoX,missing,
13,GeoY,missing,
14,SiteReference,missing,
14,GeoX,missing,
14,GeoY,missing,
15,SiteReference,missing,
15,GeoX,missing,
15,GeoY,missing,
16,SiteReference,missing,
16,GeoX,missing,
16,GeoY,missing,
17,SiteReference,missing,
17,GeoX,missing,
17,GeoY,missing,
18,SiteReference,missing,
18,GeoX,missing,
18,GeoY,missing,
19,SiteReference,missing,
19,GeoX,missing,
19,GeoY,missing,
20,SiteReference,missing,
20,GeoX,missing,
20,GeoY,missing,
21,SiteReference,missing,
21,GeoX,missing,
21,GeoY,missing,
22,SiteReference,missing,
22,GeoX,missing,
22,GeoY,missing,
23,SiteReference,missing,
23,GeoX,missing,
23,GeoY,missing,
24,SiteReference,missing,
24,GeoX,missing,
24,GeoY,missing,
25,SiteReference,missing,
25,GeoX,missing,
25,GeoY,missing,
26,SiteReference,missing,
26,GeoX,missing,
26,GeoY,missing,
27,SiteReference,missing,
27,GeoX,missing,
27,GeoY,missing,
28,SiteReference,missing,
28,GeoX,missing,
28,GeoY,missing,
29,SiteReference,missing,
29,GeoX,missing,
29,GeoY,missing,
30,SiteReference,missing,
30,GeoX,missing,
30,GeoY,missing,
31,SiteReference,missing,
31,GeoX,missing,
31,GeoY,missing,
32,SiteReference,missing,
32,GeoX,missing,
32,GeoY,missing,
33,SiteReference,missing,
33,GeoX,missing,
33,GeoY,missing,
34,SiteReference,missing,
34,GeoX,missing,
34,GeoY,missing,
35,SiteReference,missing,
35,GeoX,missing,
35,GeoY,missing,
36,SiteReference,missing,
36,GeoX,missing,
36,GeoY,missing,
37,SiteReference,missing,
37,GeoX,missing,
37,GeoY,missing,
38,SiteReference,missing,
38,GeoX,missing,
38,GeoY,missing,
39,SiteReference,missing,
39,GeoX,missing,
39,GeoY,missing,
40,SiteReference,missing,
40,GeoX,missing,
40,GeoY,missing,
41,SiteReference,missing,
41,GeoX,missing,
41,GeoY,missing,
42,SiteReference,missing,
42,GeoX,missing,
42,GeoY,missing,
43,SiteReference,missing,
43,GeoX,missing,
43,GeoY,missing,
44,SiteReference,missing,
44,GeoX,missing,
44,GeoY,missing,
