row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,40
1,NetDwellingsRangeTo,default,40
2,NetDwellingsRangeFrom,default,7
2,NetDwellingsRangeTo,default,7
3,NetDwellingsRangeFrom,default,42
3,NetDwellingsRangeTo,default,42
4,NetDwellingsRangeFrom,default,63
4,NetDwellingsRangeTo,default,63
5,NetDwellingsRangeFrom,default,5
5,NetDwellingsRangeTo,default,5
6,NetDwellingsRangeFrom,default,8
6,NetDwellingsRangeTo,default,8
7,NetDwellingsRangeFrom,default,315
7,NetDwellingsRangeTo,default,315
8,NetDwellingsRangeFrom,default,8
8,NetDwellingsRangeTo,default,8
9,NetDwellingsRangeFrom,default,8
9,NetDwellingsRangeTo,default,8
10,NetDwellingsRangeFrom,default,136
10,NetDwellingsRangeTo,default,136
11,NetDwellingsRangeFrom,default,19
11,NetDwellingsRangeTo,default,19
12,NetDwellingsRangeFrom,default,5
12,NetDwellingsRangeTo,default,5
13,NetDwellingsRangeFrom,default,6
13,NetDwellingsRangeTo,default,6
14,NetDwellingsRangeFrom,default,22
14,NetDwellingsRangeTo,default,22
15,NetDwellingsRangeFrom,default,5
15,NetDwellingsRangeTo,default,5
16,NetDwellingsRangeFrom,default,14
16,NetDwellingsRangeTo,default,14
17,NetDwellingsRangeFrom,default,5
17,NetDwellingsRangeTo,default,5
18,NetDwellingsRangeFrom,default,53
18,NetDwellingsRangeTo,default,53
19,NetDwellingsRangeFrom,default,5
19,NetDwellingsRangeTo,default,5
20,NetDwellingsRangeFrom,default,9
20,NetDwellingsRangeTo,default,9
21,NetDwellingsRangeFrom,default,106
21,NetDwellingsRangeTo,default,106
22,NetDwellingsRangeFrom,default,1000
22,NetDwellingsRangeTo,default,1000
23,NetDwellingsRangeFrom,default,6
23,NetDwellingsRangeTo,default,6
24,NetDwellingsRangeFrom,default,11
24,NetDwellingsRangeTo,default,11
25,NetDwellingsRangeFrom,default,30
25,NetDwellingsRangeTo,default,30
26,NetDwellingsRangeFrom,default,6
26,NetDwellingsRangeTo,default,6
27,NetDwellingsRangeFrom,default,36
27,NetDwellingsRangeTo,default,36
28,NetDwellingsRangeFrom,default,6
28,NetDwellingsRangeTo,default,6
29,NetDwellingsRangeFrom,default,53
29,NetDwellingsRangeTo,default,53
30,NetDwellingsRangeFrom,default,58
30,NetDwellingsRangeTo,default,58
31,NetDwellingsRangeFrom,default,9
31,NetDwellingsRangeTo,default,9
32,NetDwellingsRangeFrom,default,5
32,NetDwellingsRangeTo,default,5
33,NetDwellingsRangeFrom,default,52
33,NetDwellingsRangeTo,default,52
34,NetDwellingsRangeFrom,default,573
34,NetDwellingsRangeTo,default,573
35,NetDwellingsRangeFrom,default,5
35,NetDwellingsRangeTo,default,5
36,NetDwellingsRangeFrom,default,22
36,NetDwellingsRangeTo,default,22
37,NetDwellingsRangeFrom,default,21
37,NetDwellingsRangeTo,default,21
38,NetDwellingsRangeFrom,default,55
38,NetDwellingsRangeTo,default,55
39,NetDwellingsRangeFrom,default,27
39,NetDwellingsRangeTo,default,27
40,NetDwellingsRangeFrom,default,93
