row-number,field,datatype,value
1,"GeoX,GeoY",OSGB,"3972968.293,-9342.9698"
2,"GeoX,GeoY",OSGB,"3972833.756,-9436.3309"
3,"GeoX,GeoY",OSGB,"3976420.037,-6609.8623"
4,"GeoX,GeoY",OSGB,"3976748.375,-6319.157"
5,"GeoX,GeoY",OSGB,"3976658.527,-6522.1375"
6,"GeoX,GeoY",OSGB,"3976657.954,-6619.1737"
7,"GeoX,GeoY",OSGB,"3976534.92,-7650.4731"
8,"GeoX,GeoY",OSGB,"3973027.565,-7381.9163"
9,"GeoX,GeoY",OSGB,"3973188.763,-7534.6224"
10,"GeoX,GeoY",OSGB,"3973308.54,-8035.0821"
11,"GeoX,GeoY",OSGB,"3974211.957,-7581.3409"
12,"GeoX,GeoY",OSGB,"3975295.529,-8501.7025"
13,"GeoX,GeoY",OSGB,"3973668.786,-8116.6929"
14,"GeoX,GeoY",OSGB,"3974260.219,-8830.7541"
15,"GeoX,GeoY",OSGB,"3973725.341,-8392.8265"
16,"GeoX,GeoY",OSGB,"3974021.813,-8522.251"
17,"GeoX,GeoY",OSGB,"3973747.53,-7711.206"
18,"GeoX,GeoY",OSGB,"3974627.118,-5313.5338"
19,"GeoX,GeoY",OSGB,"3975194.262,-8581.2138"
20,"GeoX,GeoY",OSGB,"3975323.664,-7125.8838"
21,"GeoX,GeoY",OSGB,"3975968.651,-7221.4566"
22,"GeoX,GeoY",OSGB,"3975267.825,-7170.9606"
23,"GeoX,GeoY",OSGB,"3973016.912,-7473.5964"
24,"GeoX,GeoY",OSGB,"3973231.555,-7017.8242"
25,"GeoX,GeoY",OSGB,"3975586.992,-6624.787"
26,"GeoX,GeoY",OSGB,"3973367.164,-7936.0702"
27,"GeoX,GeoY",OSGB,"3976571.751,-6229.9393"
28,"GeoX,GeoY",OSGB,"3976083.429,-6635.1255"
29,"GeoX,GeoY",OSGB,"3976675.612,-6457.6968"
30,"GeoX,GeoY",OSGB,"3974653.996,-6974.4147"
31,"GeoX,GeoY",OSGB,"3973371.414,-8872.7581"
32,"GeoX,GeoY",OSGB,"3974558.165,-7056.1165"
33,"GeoX,GeoY",OSGB,"3976599.997,-7753.8047"
34,"GeoX,GeoY",OSGB,"3973403.024,-7909.3055"
35,"GeoX,GeoY",OSGB,"3973239.833,-8693.0618"
36,"GeoX,GeoY",OSGB,"3976649.685,-7384.3256"
37,"GeoX,GeoY",OSGB,"3975907.137,-8265.9153"
38,"GeoX,GeoY",OSGB,"3976217.356,-6671.8223"
39,"GeoX,GeoY",OSGB,"3973333.913,-7915.8992"
40,"GeoX,GeoY",OSGB,"3976447.593,-7844.537"
41,"GeoX,GeoY",OSGB,"3974094.66,-8734.9185"
42,"GeoX,GeoY",OSGB,"3976348.148,-6850.4914"
43,"GeoX,GeoY",OSGB,"3974399.508,-8134.2086"
44,"GeoX,GeoY",OSGB,"3972999.366,-7558.0321"
45,"GeoX,GeoY",OSGB,"3973506.322,-8480.236"
46,"GeoX,GeoY",OSGB,"3975404.45,-6731.4757"
47,"GeoX,GeoY",OSGB,"3973452.632,-8533.3937"
48,"GeoX,GeoY",OSGB,"3974067.917,-8668.9462"
