row-number,field,issue-type,value
4,NetDwellingsRangeFrom,default,25
4,NetDwellingsRangeTo,default,25
6,NetDwellingsRangeFrom,default,4
6,NetDwellingsRangeTo,default,4
7,NetDwellingsRangeFrom,default,3
7,NetDwellingsRangeTo,default,3
8,NetDwellingsRangeFrom,default,3
8,NetDwellingsRangeTo,default,3
9,NetDwellingsRangeFrom,default,9
9,NetDwellingsRangeTo,default,9
10,NetDwellingsRangeFrom,default,2
10,NetDwellingsRangeTo,default,2
11,NetDwellingsRangeFrom,default,3
11,NetDwellingsRangeTo,default,3
12,NetDwellingsRangeFrom,default,1
12,NetDwellingsRangeTo,default,1
13,NetDwellingsRangeFrom,default,1
13,NetDwellingsRangeTo,default,1
14,Hectares,minimum,0.00
14,NetDwellingsRangeFrom,default,2
14,NetDwellingsRangeTo,default,2
14,Hectares,missing,
15,NetDwellingsRangeFrom,default,1
15,NetDwellingsRangeTo,default,1
17,NetDwellingsRangeFrom,default,2
17,NetDwellingsRangeTo,default,2
18,NetDwellingsRangeFrom,default,1
18,NetDwellingsRangeTo,default,1
19,NetDwellingsRangeFrom,default,1
19,NetDwellingsRangeTo,default,1
20,NetDwellingsRangeFrom,default,1
20,NetDwellingsRangeTo,default,1
22,NetDwellingsRangeFrom,default,7
22,NetDwellingsRangeTo,default,7
24,NetDwellingsRangeFrom,default,42
24,NetDwellingsRangeTo,default,42
26,NetDwellingsRangeFrom,default,16
26,NetDwellingsRangeTo,default,16
27,NetDwellingsRangeFrom,default,2
27,NetDwellingsRangeTo,default,2
28,NetDwellingsRangeFrom,default,3
28,NetDwellingsRangeTo,default,3
29,NetDwellingsRangeFrom,default,14
29,NetDwellingsRangeTo,default,14
30,NetDwellingsRangeFrom,default,3
30,NetDwellingsRangeTo,default,3
37,NetDwellingsRangeFrom,default,8
37,NetDwellingsRangeTo,default,8
38,NetDwellingsRangeFrom,default,7
38,NetDwellingsRangeTo,default,7
39,NetDwellingsRangeFrom,default,1
39,NetDwellingsRangeTo,default,1
40,NetDwellingsRangeFrom,default,1
40,NetDwellingsRangeTo,default,1
41,NetDwellingsRangeFrom,default,1
41,NetDwellingsRangeTo,default,1
42,NetDwellingsRangeFrom,default,2
42,NetDwellingsRangeTo,default,2
47,NetDwellingsRangeFrom,default,2
47,NetDwellingsRangeTo,default,2
48,NetDwellingsRangeFrom,default,8
48,NetDwellingsRangeTo,default,8
49,NetDwellingsRangeFrom,default,24
49,NetDwellingsRangeTo,default,24
50,NetDwellingsRangeFrom,default,11
50,NetDwellingsRangeTo,default,11
51,NetDwellingsRangeFrom,default,3
51,NetDwellingsRangeTo,default,3
52,NetDwellingsRangeFrom,default,4
52,NetDwellingsRangeTo,default,4
53,NetDwellingsRangeFrom,default,10
53,NetDwellingsRangeTo,default,10
54,NetDwellingsRangeFrom,default,3
54,NetDwellingsRangeTo,default,3
55,NetDwellingsRangeFrom,default,1
55,NetDwellingsRangeTo,default,1
56,NetDwellingsRangeFrom,default,3
56,NetDwellingsRangeTo,default,3
57,NetDwellingsRangeFrom,default,4
57,NetDwellingsRangeTo,default,4
58,NetDwellingsRangeFrom,default,6
58,NetDwellingsRangeTo,default,6
59,NetDwellingsRangeFrom,default,6
59,NetDwellingsRangeTo,default,6
60,NetDwellingsRangeFrom,default,1
60,NetDwellingsRangeTo,default,1
63,NetDwellingsRangeFrom,default,4
63,NetDwellingsRangeTo,default,4
64,NetDwellingsRangeFrom,default,4
64,NetDwellingsRangeTo,default,4
65,NetDwellingsRangeFrom,default,399
65,NetDwellingsRangeTo,default,399
71,NetDwellingsRangeFrom,default,263
71,NetDwellingsRangeTo,default,263
73,NetDwellingsRangeFrom,default,2
73,NetDwellingsRangeTo,default,2
78,NetDwellingsRangeFrom,default,46
78,NetDwellingsRangeTo,default,46
79,NetDwellingsRangeFrom,default,272
79,NetDwellingsRangeTo,default,272
80,NetDwellingsRangeFrom,default,1
80,NetDwellingsRangeTo,default,1
81,NetDwellingsRangeFrom,default,1
81,NetDwellingsRangeTo,default,1
82,NetDwellingsRangeFrom,default,1
82,NetDwellingsRangeTo,default,1
83,NetDwellingsRangeFrom,default,71
83,NetDwellingsRangeTo,default,71
84,NetDwellingsRangeFrom,default,76
84,NetDwellingsRangeTo,default,76
85,NetDwellingsRangeFrom,default,9
85,NetDwellingsRangeTo,default,9
86,NetDwellingsRangeFrom,default,6
86,NetDwellingsRangeTo,default,6
87,NetDwellingsRangeFrom,default,1
87,NetDwellingsRangeTo,default,1
88,NetDwellingsRangeFrom,default,7
88,NetDwellingsRangeTo,default,7
89,NetDwellingsRangeFrom,default,3
89,NetDwellingsRangeTo,default,3
95,NetDwellingsRangeFrom,default,5
95,NetDwellingsRangeTo,default,5
96,NetDwellingsRangeFrom,default,1
96,NetDwellingsRangeTo,default,1
97,NetDwellingsRangeFrom,default,1
97,NetDwellingsRangeTo,default,1
98,NetDwellingsRangeFrom,default,34
98,NetDwellingsRangeTo,default,34
101,NetDwellingsRangeFrom,default,1095
101,NetDwellingsRangeTo,default,1095
103,NetDwellingsRangeFrom,default,2
103,NetDwellingsRangeTo,default,2
104,NetDwellingsRangeFrom,default,1
104,NetDwellingsRangeTo,default,1
105,NetDwellingsRangeFrom,default,1
105,NetDwellingsRangeTo,default,1
114,NetDwellingsRangeFrom,default,18
114,NetDwellingsRangeTo,default,18
116,NetDwellingsRangeFrom,default,825
116,NetDwellingsRangeTo,default,825
117,NetDwellingsRangeFrom,default,1395
117,NetDwellingsRangeTo,default,1395
118,NetDwellingsRangeFrom,default,476
118,NetDwellingsRangeTo,default,476
119,NetDwellingsRangeFrom,default,300
119,NetDwellingsRangeTo,default,300
122,NetDwellingsRangeFrom,default,497
122,NetDwellingsRangeTo,default,497
123,NetDwellingsRangeFrom,default,250
123,NetDwellingsRangeTo,default,250
124,NetDwellingsRangeFrom,default,12
124,NetDwellingsRangeTo,default,12
125,NetDwellingsRangeFrom,default,600
125,NetDwellingsRangeTo,default,600
129,NetDwellingsRangeFrom,default,318
129,NetDwellingsRangeTo,default,318
132,NetDwellingsRangeFrom,default,298
132,NetDwellingsRangeTo,default,298
137,NetDwellingsRangeFrom,default,349
137,NetDwellingsRangeTo,default,349
138,NetDwellingsRangeFrom,default,270
138,NetDwellingsRangeTo,default,270
139,NetDwellingsRangeFrom,default,132
139,NetDwellingsRangeTo,default,132
146,NetDwellingsRangeFrom,default,23
146,NetDwellingsRangeTo,default,23
148,NetDwellingsRangeFrom,default,24
148,NetDwellingsRangeTo,default,24
150,NetDwellingsRangeFrom,default,24
150,NetDwellingsRangeTo,default,24
151,NetDwellingsRangeFrom,default,707
151,NetDwellingsRangeTo,default,707
152,NetDwellingsRangeFrom,default,142
152,NetDwellingsRangeTo,default,142
153,NetDwellingsRangeFrom,default,191
153,NetDwellingsRangeTo,default,191
155,NetDwellingsRangeFrom,default,4
155,NetDwellingsRangeTo,default,4
156,NetDwellingsRangeFrom,default,525
156,NetDwellingsRangeTo,default,525
157,NetDwellingsRangeFrom,default,644
157,NetDwellingsRangeTo,default,644
158,NetDwellingsRangeFrom,default,4
158,NetDwellingsRangeTo,default,4
159,NetDwellingsRangeFrom,default,38
159,NetDwellingsRangeTo,default,38
160,NetDwellingsRangeFrom,default,199
160,NetDwellingsRangeTo,default,199
161,NetDwellingsRangeFrom,default,6
161,NetDwellingsRangeTo,default,6
165,NetDwellingsRangeFrom,default,36
165,NetDwellingsRangeTo,default,36
169,NetDwellingsRangeFrom,default,2
169,NetDwellingsRangeTo,default,2
170,NetDwellingsRangeFrom,default,2
170,NetDwellingsRangeTo,default,2
171,NetDwellingsRangeFrom,default,1
171,NetDwellingsRangeTo,default,1
174,NetDwellingsRangeFrom,default,1
174,NetDwellingsRangeTo,default,1
175,NetDwellingsRangeFrom,default,1
175,NetDwellingsRangeTo,default,1
176,NetDwellingsRangeFrom,default,1
176,NetDwellingsRangeTo,default,1
177,NetDwellingsRangeFrom,default,1
177,NetDwellingsRangeTo,default,1
178,NetDwellingsRangeFrom,default,1
178,NetDwellingsRangeTo,default,1
180,NetDwellingsRangeFrom,default,8
180,NetDwellingsRangeTo,default,8
181,NetDwellingsRangeFrom,default,1
181,NetDwellingsRangeTo,default,1
182,NetDwellingsRangeFrom,default,1
182,NetDwellingsRangeTo,default,1
186,NetDwellingsRangeFrom,default,1
186,NetDwellingsRangeTo,default,1
187,NetDwellingsRangeFrom,default,12
187,NetDwellingsRangeTo,default,12
188,Hectares,minimum,0.00
188,NetDwellingsRangeFrom,default,2
188,NetDwellingsRangeTo,default,2
188,Hectares,missing,
189,NetDwellingsRangeFrom,default,1
189,NetDwellingsRangeTo,default,1
191,NetDwellingsRangeFrom,default,4
191,NetDwellingsRangeTo,default,4
192,NetDwellingsRangeFrom,default,1
192,NetDwellingsRangeTo,default,1
193,NetDwellingsRangeFrom,default,1
193,NetDwellingsRangeTo,default,1
194,NetDwellingsRangeFrom,default,1
194,NetDwellingsRangeTo,default,1
195,NetDwellingsRangeFrom,default,1
195,NetDwellingsRangeTo,default,1
196,NetDwellingsRangeFrom,default,24
196,NetDwellingsRangeTo,default,24
198,NetDwellingsRangeFrom,default,1
198,NetDwellingsRangeTo,default,1
199,NetDwellingsRangeFrom,default,1
199,NetDwellingsRangeTo,default,1
200,NetDwellingsRangeFrom,default,1
200,NetDwellingsRangeTo,default,1
201,NetDwellingsRangeFrom,default,1
201,NetDwellingsRangeTo,default,1
202,NetDwellingsRangeFrom,default,1
