row-number,field,issue-type,value
1,LastUpdatedDate,default,2017-04-01
2,LastUpdatedDate,default,2017-04-01
3,LastUpdatedDate,default,2017-04-01
3,NetDwellingsRangeFrom,missing,
3,NetDwellingsRangeTo,missing,
4,LastUpdatedDate,default,2017-04-01
5,LastUpdatedDate,default,2017-04-01
5,NetDwellingsRangeFrom,missing,
5,NetDwellingsRangeTo,missing,
6,LastUpdatedDate,default,2017-04-01
7,LastUpdatedDate,default,2017-04-01
8,LastUpdatedDate,default,2017-04-01
8,NetDwellingsRangeFrom,missing,
8,NetDwellingsRangeTo,missing,
9,LastUpdatedDate,default,2017-04-01
10,LastUpdatedDate,default,2017-04-01
11,LastUpdatedDate,default,2018-04-01
12,LastUpdatedDate,default,2017-04-01
13,LastUpdatedDate,default,2017-04-01
13,NetDwellingsRangeFrom,missing,
13,NetDwellingsRangeTo,missing,
14,LastUpdatedDate,default,2017-04-01
15,LastUpdatedDate,default,2017-04-01
15,NetDwellingsRangeFrom,missing,
15,NetDwellingsRangeTo,missing,
16,LastUpdatedDate,default,2017-04-01
16,NetDwellingsRangeFrom,missing,
16,NetDwellingsRangeTo,missing,
17,LastUpdatedDate,default,2017-04-01
18,LastUpdatedDate,default,2018-04-01
18,NetDwellingsRangeFrom,missing,
18,NetDwellingsRangeTo,missing,
19,LastUpdatedDate,default,2018-04-01
19,NetDwellingsRangeFrom,missing,
19,NetDwellingsRangeTo,missing,
20,LastUpdatedDate,default,2018-04-01
