row-number,field,issue-type,value
30,NetDwellingsRangeFrom,default,255
30,NetDwellingsRangeTo,default,255
34,NetDwellingsRangeFrom,default,7
34,NetDwellingsRangeTo,default,7
37,NetDwellingsRangeFrom,default,5
37,NetDwellingsRangeTo,default,5
57,NetDwellingsRangeFrom,default,5
57,NetDwellingsRangeTo,default,5
64,NetDwellingsRangeFrom,default,12
64,NetDwellingsRangeTo,default,12
73,NetDwellingsRangeFrom,default,6
73,NetDwellingsRangeTo,default,6
78,NetDwellingsRangeFrom,default,68
78,NetDwellingsRangeTo,default,68
88,NetDwellingsRangeFrom,default,207
88,NetDwellingsRangeTo,default,207
104,NetDwellingsRangeFrom,default,18
104,NetDwellingsRangeTo,default,18
105,NetDwellingsRangeFrom,default,14
105,NetDwellingsRangeTo,default,14
106,NetDwellingsRangeFrom,default,7
106,NetDwellingsRangeTo,default,7
107,NetDwellingsRangeFrom,default,22
107,NetDwellingsRangeTo,default,22
108,NetDwellingsRangeFrom,default,8
108,NetDwellingsRangeTo,default,8
109,NetDwellingsRangeFrom,default,6
109,NetDwellingsRangeTo,default,6
110,NetDwellingsRangeFrom,default,7
110,NetDwellingsRangeTo,default,7
111,NetDwellingsRangeFrom,default,23
111,NetDwellingsRangeTo,default,23
112,NetDwellingsRangeFrom,default,7
112,NetDwellingsRangeTo,default,7
113,NetDwellingsRangeFrom,default,7
113,NetDwellingsRangeTo,default,7
114,NetDwellingsRangeFrom,default,5
114,NetDwellingsRangeTo,default,5
115,NetDwellingsRangeFrom,default,14
115,NetDwellingsRangeTo,default,14
116,NetDwellingsRangeFrom,default,9
116,NetDwellingsRangeTo,default,9
117,NetDwellingsRangeFrom,default,41
117,NetDwellingsRangeTo,default,41
