row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,9
1,NetDwellingsRangeTo,default,9
1,"GeoX,GeoY",WGS84 outside England,"37.031007,50.1995"
2,NetDwellingsRangeFrom,default,10
2,NetDwellingsRangeTo,default,10
2,"GeoX,GeoY",WGS84 outside England,"15.123475,49.9963"
3,NetDwellingsRangeFrom,default,40
3,NetDwellingsRangeTo,default,40
3,"GeoX,GeoY",WGS84 outside England,"32.123294,50.0036"
4,NetDwellingsRangeFrom,default,117
4,NetDwellingsRangeTo,default,117
4,"GeoX,GeoY",WGS84 outside England,"24.106534,50.0281"
5,NetDwellingsRangeFrom,default,126
5,NetDwellingsRangeTo,default,126
5,"GeoX,GeoY",WGS84 outside England,"41.443723,50.0372"
6,NetDwellingsRangeFrom,default,69
6,NetDwellingsRangeTo,default,69
6,"GeoX,GeoY",WGS84 outside England,"27.939019,50.0299"
7,NetDwellingsRangeFrom,default,15
7,NetDwellingsRangeTo,default,15
7,"GeoX,GeoY",WGS84 outside England,"13.920494,50.4378"
8,NetDwellingsRangeFrom,default,14
8,NetDwellingsRangeTo,default,14
8,"GeoX,GeoY",WGS84 outside England,"39.69217,50.3078"
9,NetDwellingsRangeFrom,default,22
9,NetDwellingsRangeTo,default,22
9,"GeoX,GeoY",WGS84 outside England,"21.754513,50.4044"
10,NetDwellingsRangeFrom,default,51
10,NetDwellingsRangeTo,default,51
10,"GeoX,GeoY",WGS84 outside England,"47.120369,50.1156"
11,NetDwellingsRangeFrom,default,124
11,NetDwellingsRangeTo,default,124
11,"GeoX,GeoY",WGS84 outside England,"2.651342,49.8371"
12,NetDwellingsRangeFrom,default,11
12,NetDwellingsRangeTo,default,11
12,"GeoX,GeoY",WGS84 outside England,"44.982209,49.8151"
13,NetDwellingsRangeFrom,default,43
13,NetDwellingsRangeTo,default,43
13,"GeoX,GeoY",WGS84 outside England,"44.137746,49.8164"
14,NetDwellingsRangeFrom,default,10
14,NetDwellingsRangeTo,default,10
14,"GeoX,GeoY",WGS84 outside England,"4.600531,50.2264"
15,NetDwellingsRangeFrom,default,32
15,NetDwellingsRangeTo,default,32
15,"GeoX,GeoY",WGS84 outside England,"39.120721,50.043"
16,NetDwellingsRangeFrom,default,42
16,NetDwellingsRangeTo,default,42
16,"GeoX,GeoY",WGS84 outside England,"47.238936,50.3427"
17,NetDwellingsRangeFrom,default,63
17,NetDwellingsRangeTo,default,63
