row-number,field,datatype,value
1,"GeoX,GeoY",OSGB,"3981833.3854,-67616.3363"
2,"GeoX,GeoY",OSGB,"3981787.306,-67584.7033"
3,"GeoX,GeoY",OSGB,"3981785.908,-67634.6967"
4,"GeoX,GeoY",OSGB,"3981847.347,-67676.8739"
5,"GeoX,GeoY",OSGB,"3981831.9873,-67666.3296"
6,"GeoX,GeoY",OSGB,"3981788.9727,-67804.947"
7,"GeoX,GeoY",OSGB,"3981828.6309,-67786.3136"
8,"GeoX,GeoY",OSGB,"3981760.2114,-67713.8677"
9,"GeoX,GeoY",OSGB,"3981827.2319,-67836.3069"
10,"GeoX,GeoY",OSGB,"3981694.5755,-67821.6709"
11,"GeoX,GeoY",OSGB,"3981736.4808,-67442.8119"
12,"GeoX,GeoY",OSGB,"3981966.3234,-67340.7397"
13,"GeoX,GeoY",OSGB,"3982013.5195,-67332.3783"
14,"GeoX,GeoY",OSGB,"3982004.3035,-67382.0986"
15,"GeoX,GeoY",OSGB,"3981932.8106,-67419.6374"
16,"GeoX,GeoY",OSGB,"3981899.8558,-67478.5378"
17,"GeoX,GeoY",OSGB,"3981882.2602,-67547.9827"
18,"GeoX,GeoY",OSGB,"3981920.24,-67589.3414"
19,"GeoX,GeoY",OSGB,"3981960.4452,-67830.9455"
20,"GeoX,GeoY",OSGB,"3981543.4904,-67626.2384"
21,"GeoX,GeoY",OSGB,"3981435.9526,-67832.6632"
22,"GeoX,GeoY",OSGB,"3981445.1825,-67502.7058"
23,"GeoX,GeoY",OSGB,"3981656.0497,-67239.8361"
24,"GeoX,GeoY",OSGB,"3981677.5517,-67030.4091"
25,"GeoX,GeoY",OSGB,"3981905.1598,-67008.3284"
26,"GeoX,GeoY",OSGB,"3981831.1461,-66855.6218"
27,"GeoX,GeoY",OSGB,"3981854.3073,-66586.2099"
28,"GeoX,GeoY",OSGB,"3981983.0612,-66740.8271"
29,"GeoX,GeoY",OSGB,"3981224.7846,-68105.5339"
30,"GeoX,GeoY",OSGB,"3981374.4929,-68070.7241"
31,"GeoX,GeoY",OSGB,"3981398.7936,-68041.5461"
32,"GeoX,GeoY",OSGB,"3981443.4762,-68123.1754"
33,"GeoX,GeoY",OSGB,"3981671.9387,-68071.0953"
34,"GeoX,GeoY",OSGB,"3981797.6156,-68055.4616"
35,"GeoX,GeoY",OSGB,"3981794.2563,-68175.4493"
36,"GeoX,GeoY",OSGB,"3981775.5557,-68004.6485"
37,"GeoX,GeoY",OSGB,"3981784.2149,-67974.9245"
38,"GeoX,GeoY",OSGB,"3982037.241,-67883.6663"
39,"GeoX,GeoY",OSGB,"3982138.8929,-67887.2122"
40,"GeoX,GeoY",OSGB,"3981904.8286,-68419.5166"
41,"GeoX,GeoY",OSGB,"3982035.5183,-68504.1462"
42,"GeoX,GeoY",OSGB,"3981960.9666,-68371.4312"
43,"GeoX,GeoY",OSGB,"3982024.9234,-68323.6185"
44,"GeoX,GeoY",OSGB,"3981940.3093,-68270.6229"
45,"GeoX,GeoY",OSGB,"3981980.2472,-68241.9898"
46,"GeoX,GeoY",OSGB,"3981957.9088,-68201.1755"
47,"GeoX,GeoY",OSGB,"3981985.0068,-68072.0068"
48,"GeoX,GeoY",OSGB,"3981811.5229,-68676.4891"
49,"GeoX,GeoY",OSGB,"3981994.4586,-68572.7752"
50,"GeoX,GeoY",OSGB,"3982206.4489,-68269.8982"
51,"GeoX,GeoY",OSGB,"3982364.2317,-68225.3583"
52,"GeoX,GeoY",OSGB,"3982475.6535,-68159.1873"
53,"GeoX,GeoY",OSGB,"3982611.3669,-68063.8391"
54,"GeoX,GeoY",OSGB,"3982217.1006,-67329.4744"
55,"GeoX,GeoY",OSGB,"3982675.8857,-67715.8019"
56,"GeoX,GeoY",OSGB,"3982832.8095,-67701.2677"
57,"GeoX,GeoY",OSGB,"3982140.5623,-66706.293"
58,"GeoX,GeoY",OSGB,"3982149.2171,-66676.5709"
59,"GeoX,GeoY",OSGB,"3982112.0702,-66605.2172"
60,"GeoX,GeoY",OSGB,"3982112.6271,-66585.2204"
61,"GeoX,GeoY",OSGB,"3982120.7248,-66575.495"
62,"GeoX,GeoY",OSGB,"3982122.3951,-66515.5047"
63,"GeoX,GeoY",OSGB,"3982264.5317,-66470.4269"
64,"GeoX,GeoY",OSGB,"3982313.6972,-66672.305"
65,"GeoX,GeoY",OSGB,"3982427.3385,-66526.1518"
66,"GeoX,GeoY",OSGB,"3982174.0856,-66907.6255"
67,"GeoX,GeoY",OSGB,"3982180.7898,-66947.8919"
68,"GeoX,GeoY",OSGB,"3982187.4938,-66988.1584"
69,"GeoX,GeoY",OSGB,"3982207.6036,-67108.96"
70,"GeoX,GeoY",OSGB,"3982180.7968,-67228.1242"
71,"GeoX,GeoY",OSGB,"3982127.4489,-66895.9894"
72,"GeoX,GeoY",OSGB,"3982181.9133,-67188.1299"
