row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,8
1,NetDwellingsRangeTo,default,8
2,NetDwellingsRangeFrom,default,12
2,NetDwellingsRangeTo,default,12
3,NetDwellingsRangeFrom,default,6
3,NetDwellingsRangeTo,default,6
4,NetDwellingsRangeFrom,default,8
4,NetDwellingsRangeTo,default,8
5,NetDwellingsRangeFrom,default,5
5,NetDwellingsRangeTo,default,5
6,NetDwellingsRangeFrom,default,9
6,NetDwellingsRangeTo,default,9
7,NetDwellingsRangeFrom,default,16
7,NetDwellingsRangeTo,default,16
8,NetDwellingsRangeFrom,default,8
8,NetDwellingsRangeTo,default,8
9,NetDwellingsRangeFrom,default,8
9,NetDwellingsRangeTo,default,8
10,NetDwellingsRangeFrom,default,11
10,NetDwellingsRangeTo,default,11
11,NetDwellingsRangeFrom,default,6
11,NetDwellingsRangeTo,default,6
12,NetDwellingsRangeFrom,default,5
12,NetDwellingsRangeTo,default,5
13,NetDwellingsRangeFrom,default,24
13,NetDwellingsRangeTo,default,24
14,NetDwellingsRangeFrom,default,33
14,NetDwellingsRangeTo,default,33
15,NetDwellingsRangeFrom,default,13
15,NetDwellingsRangeTo,default,13
16,NetDwellingsRangeFrom,default,13
16,NetDwellingsRangeTo,default,13
17,NetDwellingsRangeFrom,default,14
17,NetDwellingsRangeTo,default,14
18,NetDwellingsRangeFrom,default,24
18,NetDwellingsRangeTo,default,24
19,NetDwellingsRangeFrom,default,20
19,NetDwellingsRangeTo,default,20
20,NetDwellingsRangeFrom,default,12
20,NetDwellingsRangeTo,default,12
21,NetDwellingsRangeFrom,default,30
21,NetDwellingsRangeTo,default,30
22,NetDwellingsRangeFrom,default,30
22,NetDwellingsRangeTo,default,30
23,NetDwellingsRangeFrom,default,9
23,NetDwellingsRangeTo,default,9
24,NetDwellingsRangeFrom,default,9
24,NetDwellingsRangeTo,default,9
25,NetDwellingsRangeFrom,default,40
25,NetDwellingsRangeTo,default,40
26,NetDwellingsRangeFrom,default,40
26,NetDwellingsRangeTo,default,40
27,NetDwellingsRangeFrom,default,27
27,NetDwellingsRangeTo,default,27
28,NetDwellingsRangeFrom,default,20
28,NetDwellingsRangeTo,default,20
29,NetDwellingsRangeFrom,default,6
29,NetDwellingsRangeTo,default,6
30,NetDwellingsRangeFrom,default,50
30,NetDwellingsRangeTo,default,50
31,NetDwellingsRangeFrom,default,30
31,NetDwellingsRangeTo,default,30
32,NetDwellingsRangeFrom,default,140
32,NetDwellingsRangeTo,default,140
33,NetDwellingsRangeFrom,default,50
33,NetDwellingsRangeTo,default,50
34,NetDwellingsRangeFrom,default,20
34,NetDwellingsRangeTo,default,20
35,NetDwellingsRangeFrom,default,30
35,NetDwellingsRangeTo,default,30
36,NetDwellingsRangeFrom,default,5
36,NetDwellingsRangeTo,default,5
37,NetDwellingsRangeFrom,default,8
37,NetDwellingsRangeTo,default,8
38,NetDwellingsRangeFrom,default,9
38,NetDwellingsRangeTo,default,9
39,NetDwellingsRangeFrom,default,8
39,NetDwellingsRangeTo,default,8
40,NetDwellingsRangeFrom,default,29
40,NetDwellingsRangeTo,default,29
41,NetDwellingsRangeFrom,default,18
41,NetDwellingsRangeTo,default,18
42,NetDwellingsRangeFrom,default,63
42,NetDwellingsRangeTo,default,63
43,NetDwellingsRangeFrom,default,8
43,NetDwellingsRangeTo,default,8
44,NetDwellingsRangeFrom,default,30
44,NetDwellingsRangeTo,default,30
45,NetDwellingsRangeFrom,default,45
45,NetDwellingsRangeTo,default,45
46,NetDwellingsRangeFrom,default,8
46,NetDwellingsRangeTo,default,8
47,NetDwellingsRangeFrom,default,7
47,NetDwellingsRangeTo,default,7
48,NetDwellingsRangeFrom,default,10
48,NetDwellingsRangeTo,default,10
49,NetDwellingsRangeFrom,default,5
49,NetDwellingsRangeTo,default,5
50,NetDwellingsRangeFrom,default,16
50,NetDwellingsRangeTo,default,16
51,NetDwellingsRangeFrom,default,43
51,NetDwellingsRangeTo,default,43
52,NetDwellingsRangeFrom,default,40
52,NetDwellingsRangeTo,default,40
53,NetDwellingsRangeFrom,default,95
53,NetDwellingsRangeTo,default,95
54,NetDwellingsRangeFrom,default,60
54,NetDwellingsRangeTo,default,60
