row-number,field,issue-type,value
1,LastUpdatedDate,default,2019-12-02
1,NetDwellingsRangeFrom,missing,
1,NetDwellingsRangeTo,missing,
2,LastUpdatedDate,default,2019-12-02
2,NetDwellingsRangeFrom,missing,
2,NetDwellingsRangeTo,missing,
3,LastUpdatedDate,default,2019-12-02
3,NetDwellingsRangeFrom,missing,
3,NetDwellingsRangeTo,missing,
4,LastUpdatedDate,default,2019-12-02
4,NetDwellingsRangeFrom,missing,
4,NetDwellingsRangeTo,missing,
5,LastUpdatedDate,default,2019-12-02
5,NetDwellingsRangeFrom,missing,
5,NetDwellingsRangeTo,missing,
5,"GeoX,GeoY",OSGB outside England,"38995,279775"
6,LastUpdatedDate,default,2019-12-02
6,NetDwellingsRangeFrom,missing,
6,NetDwellingsRangeTo,missing,
7,LastUpdatedDate,default,2019-12-02
7,NetDwellingsRangeFrom,missing,
7,NetDwellingsRangeTo,missing,
8,LastUpdatedDate,default,2019-12-02
8,NetDwellingsRangeFrom,missing,
8,NetDwellingsRangeTo,missing,
9,LastUpdatedDate,default,2019-12-02
9,NetDwellingsRangeFrom,missing,
9,NetDwellingsRangeTo,missing,
10,LastUpdatedDate,default,2019-12-02
10,NetDwellingsRangeFrom,missing,
10,NetDwellingsRangeTo,missing,
