row-number,field,issue-type,value
2,NetDwellingsRangeFrom,default,17
2,NetDwellingsRangeTo,default,17
4,NetDwellingsRangeFrom,default,37
4,NetDwellingsRangeTo,default,37
5,NetDwellingsRangeFrom,default,8
5,NetDwellingsRangeTo,default,8
8,NetDwellingsRangeFrom,default,108
8,NetDwellingsRangeTo,default,108
10,NetDwellingsRangeFrom,default,60
10,NetDwellingsRangeTo,default,60
11,NetDwellingsRangeFrom,default,48
11,NetDwellingsRangeTo,default,48
12,NetDwellingsRangeFrom,default,173
12,NetDwellingsRangeTo,default,173
16,NetDwellingsRangeFrom,default,5
16,NetDwellingsRangeTo,default,5
17,NetDwellingsRangeFrom,default,12
17,NetDwellingsRangeTo,default,12
18,NetDwellingsRangeFrom,default,9
18,NetDwellingsRangeTo,default,9
19,NetDwellingsRangeFrom,default,25
19,NetDwellingsRangeTo,default,25
20,NetDwellingsRangeFrom,default,12
20,NetDwellingsRangeTo,default,12
21,NetDwellingsRangeFrom,default,6
21,NetDwellingsRangeTo,default,6
22,NetDwellingsRangeFrom,default,9
22,NetDwellingsRangeTo,default,9
23,NetDwellingsRangeFrom,default,12
23,NetDwellingsRangeTo,default,12
24,NetDwellingsRangeFrom,default,8
24,NetDwellingsRangeTo,default,8
25,NetDwellingsRangeFrom,default,8
25,NetDwellingsRangeTo,default,8
26,NetDwellingsRangeFrom,default,9
26,NetDwellingsRangeTo,default,9
27,NetDwellingsRangeFrom,default,43
27,NetDwellingsRangeTo,default,43
28,NetDwellingsRangeFrom,default,11
28,NetDwellingsRangeTo,default,11
29,NetDwellingsRangeFrom,default,6
29,NetDwellingsRangeTo,default,6
30,NetDwellingsRangeFrom,default,20
30,NetDwellingsRangeTo,default,20
32,NetDwellingsRangeFrom,default,105
32,NetDwellingsRangeTo,default,105
33,NetDwellingsRangeFrom,default,10
33,NetDwellingsRangeTo,default,10
34,NetDwellingsRangeFrom,default,9
34,NetDwellingsRangeTo,default,9
35,NetDwellingsRangeFrom,default,6
35,NetDwellingsRangeTo,default,6
36,NetDwellingsRangeFrom,default,8
36,NetDwellingsRangeTo,default,8
37,NetDwellingsRangeFrom,default,35
37,NetDwellingsRangeTo,default,35
38,NetDwellingsRangeFrom,default,27
38,NetDwellingsRangeTo,default,27
