row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,9
1,NetDwellingsRangeTo,default,9
1,LastUpdatedDate,default,2017-12-14
2,NetDwellingsRangeFrom,default,186
2,NetDwellingsRangeTo,default,186
3,NetDwellingsRangeFrom,default,12
3,NetDwellingsRangeTo,default,12
4,NetDwellingsRangeFrom,default,6
4,NetDwellingsRangeTo,default,6
4,LastUpdatedDate,default,2017-12-14
5,NetDwellingsRangeFrom,default,12
5,NetDwellingsRangeTo,default,12
5,LastUpdatedDate,default,2017-12-14
6,NetDwellingsRangeFrom,default,9
6,NetDwellingsRangeTo,default,9
6,LastUpdatedDate,default,2017-12-14
7,NetDwellingsRangeFrom,default,40
7,NetDwellingsRangeTo,default,40
8,PermissionDate,date,2018-09-28 & 2019-05-21
8,NetDwellingsRangeFrom,default,3
8,NetDwellingsRangeTo,default,3
9,NetDwellingsRangeFrom,default,8
9,NetDwellingsRangeTo,default,8
10,NetDwellingsRangeFrom,default,5
10,NetDwellingsRangeTo,default,5
11,NetDwellingsRangeFrom,default,18
11,NetDwellingsRangeTo,default,18
12,NetDwellingsRangeFrom,default,15
12,NetDwellingsRangeTo,default,15
13,NetDwellingsRangeFrom,default,20
13,NetDwellingsRangeTo,default,20
13,LastUpdatedDate,default,2017-12-14
14,PermissionDate,date,2019-03-22 & 2019-08-16
17,NetDwellingsRangeFrom,default,19
17,NetDwellingsRangeTo,default,19
17,LastUpdatedDate,default,2018-09-30
18,NetDwellingsRangeFrom,default,2
18,NetDwellingsRangeTo,default,2
19,NetDwellingsRangeFrom,default,6
19,NetDwellingsRangeTo,default,6
19,LastUpdatedDate,default,2018-09-30
20,NetDwellingsRangeFrom,default,7
20,NetDwellingsRangeTo,default,7
20,LastUpdatedDate,default,2018-09-30
21,NetDwellingsRangeFrom,default,3
21,NetDwellingsRangeTo,default,3
22,NetDwellingsRangeFrom,default,6
22,NetDwellingsRangeTo,default,6
22,LastUpdatedDate,default,2018-09-30
23,NetDwellingsRangeFrom,default,25
23,NetDwellingsRangeTo,default,25
23,LastUpdatedDate,default,2019-10-30
24,NetDwellingsRangeFrom,default,16
24,NetDwellingsRangeTo,default,16
24,LastUpdatedDate,default,2019-10-30
25,NetDwellingsRangeFrom,default,18
25,NetDwellingsRangeTo,default,18
25,LastUpdatedDate,default,2019-10-30
26,NetDwellingsRangeFrom,default,6
26,NetDwellingsRangeTo,default,6
26,LastUpdatedDate,default,2019-10-30
27,NetDwellingsRangeFrom,default,8
27,NetDwellingsRangeTo,default,8
27,LastUpdatedDate,default,2019-10-30
28,NetDwellingsRangeFrom,default,17
28,NetDwellingsRangeTo,default,17
28,LastUpdatedDate,default,2019-10-30
