row-number,field,issue-type,value
1,"GeoX,GeoY",out of range,"3600850.3181,3141857.2624"
2,"GeoX,GeoY",out of range,"3601612.8335,3141666.2134"
3,"GeoX,GeoY",out of range,"3599784.5941,3157048.3199"
4,"GeoX,GeoY",out of range,"3601470.2029,3158331.2941"
5,"GeoX,GeoY",out of range,"3600371.8554,3158560.0828"
6,"GeoX,GeoY",out of range,"3600900.9774,3158890.4478"
7,"GeoX,GeoY",out of range,"3590899.7966,3160634.8937"
8,"GeoX,GeoY",out of range,"3588793.063,3142011.0282"
9,"GeoX,GeoY",out of range,"3588554.0808,3141791.1578"
10,"GeoX,GeoY",out of range,"3597413.6866,3158094.4041"
11,"GeoX,GeoY",out of range,"3601849.5385,3157709.269"
12,"GeoX,GeoY",out of range,"3601400.0927,3157601.0897"
13,"GeoX,GeoY",out of range,"3601158.7296,3157875.3783"
14,"GeoX,GeoY",out of range,"3601804.6186,3157409.493"
15,"GeoX,GeoY",out of range,"3590771.5175,3152753.7641"
16,"GeoX,GeoY",out of range,"3598016.8588,3157799.9414"
17,"GeoX,GeoY",out of range,"3598046.5025,3157715.096"
18,"GeoX,GeoY",out of range,"3604848.266,3159824.0982"
19,"GeoX,GeoY",out of range,"3599480.242,3156829.4977"
20,"GeoX,GeoY",out of range,"3599656.4762,3156723.3087"
21,"GeoX,GeoY",out of range,"3600263.6646,3156845.3208"
22,"GeoX,GeoY",out of range,"3600167.6208,3156803.1525"
23,"GeoX,GeoY",out of range,"3599363.7673,3156579.8564"
24,"GeoX,GeoY",out of range,"3599930.9942,3156747.663"
25,"GeoX,GeoY",out of range,"3600109.7721,3156599.2542"
26,"GeoX,GeoY",out of range,"3599351.1291,3156966.8293"
27,"GeoX,GeoY",out of range,"3600025.4661,3156732.9086"
28,"GeoX,GeoY",out of range,"3600772.5439,3157109.3643"
29,"GeoX,GeoY",out of range,"3600705.9486,3157167.6134"
30,"GeoX,GeoY",out of range,"3600615.1887,3155975.5299"
31,"GeoX,GeoY",out of range,"3600200.0148,3156411.3385"
32,"GeoX,GeoY",out of range,"3600191.8885,3156276.6471"
33,"GeoX,GeoY",out of range,"3600360.0083,3156254.193"
34,"GeoX,GeoY",out of range,"3600444.2963,3156768.1829"
35,"GeoX,GeoY",out of range,"3597733.6854,3152654.2288"
36,"GeoX,GeoY",out of range,"3598320.6466,3154347.8997"
37,"GeoX,GeoY",out of range,"3589643.0923,3142626.953"
