row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,5
1,NetDwellingsRangeTo,default,5
2,NetDwellingsRangeFrom,default,2
2,NetDwellingsRangeTo,default,2
3,NetDwellingsRangeFrom,default,9
3,NetDwellingsRangeTo,default,9
4,NetDwellingsRangeFrom,default,10
4,NetDwellingsRangeTo,default,10
5,NetDwellingsRangeFrom,default,2
5,NetDwellingsRangeTo,default,2
6,NetDwellingsRangeFrom,default,18
6,NetDwellingsRangeTo,default,18
7,NetDwellingsRangeFrom,default,50
7,NetDwellingsRangeTo,default,50
8,NetDwellingsRangeFrom,default,1
8,NetDwellingsRangeTo,default,1
9,NetDwellingsRangeFrom,default,26
9,NetDwellingsRangeTo,default,26
10,NetDwellingsRangeFrom,default,6
10,NetDwellingsRangeTo,default,6
11,NetDwellingsRangeFrom,default,1
11,NetDwellingsRangeTo,default,1
12,NetDwellingsRangeFrom,default,1
12,NetDwellingsRangeTo,default,1
13,NetDwellingsRangeFrom,default,1
13,NetDwellingsRangeTo,default,1
14,NetDwellingsRangeFrom,default,2
14,NetDwellingsRangeTo,default,2
15,NetDwellingsRangeFrom,default,2
15,NetDwellingsRangeTo,default,2
16,NetDwellingsRangeFrom,default,2
16,NetDwellingsRangeTo,default,2
16,LastUpdatedDate,default,2018-12-06
