row-number,field,issue-type,value
28,NetDwellingsRangeFrom,default,8
28,NetDwellingsRangeTo,default,8
29,NetDwellingsRangeFrom,default,3
29,NetDwellingsRangeTo,default,3
30,NetDwellingsRangeFrom,default,6
30,NetDwellingsRangeTo,default,6
31,NetDwellingsRangeFrom,default,27
31,NetDwellingsRangeTo,default,27
32,NetDwellingsRangeFrom,default,1
32,NetDwellingsRangeTo,default,1
33,NetDwellingsRangeFrom,default,8
33,NetDwellingsRangeTo,default,8
34,NetDwellingsRangeFrom,default,8
34,NetDwellingsRangeTo,default,8
35,NetDwellingsRangeFrom,default,51
35,NetDwellingsRangeTo,default,51
36,NetDwellingsRangeFrom,default,1
36,NetDwellingsRangeTo,default,1
37,NetDwellingsRangeFrom,default,9
37,NetDwellingsRangeTo,default,9
38,NetDwellingsRangeFrom,default,9
38,NetDwellingsRangeTo,default,9
39,NetDwellingsRangeFrom,default,5
39,NetDwellingsRangeTo,default,5
40,NetDwellingsRangeFrom,default,2
40,NetDwellingsRangeTo,default,2
41,NetDwellingsRangeFrom,default,26
41,NetDwellingsRangeTo,default,26
42,NetDwellingsRangeFrom,default,11
42,NetDwellingsRangeTo,default,11
43,NetDwellingsRangeFrom,default,1
43,NetDwellingsRangeTo,default,1
44,NetDwellingsRangeFrom,default,1
44,NetDwellingsRangeTo,default,1
45,NetDwellingsRangeFrom,default,1
45,NetDwellingsRangeTo,default,1
46,NetDwellingsRangeFrom,default,50
46,NetDwellingsRangeTo,default,50
47,NetDwellingsRangeFrom,default,30
47,NetDwellingsRangeTo,default,30
48,NetDwellingsRangeFrom,default,1
48,NetDwellingsRangeTo,default,1
49,NetDwellingsRangeFrom,default,10
49,NetDwellingsRangeTo,default,10
50,NetDwellingsRangeFrom,default,374
50,NetDwellingsRangeTo,default,374
51,NetDwellingsRangeFrom,default,5
51,NetDwellingsRangeTo,default,5
