row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,9
1,NetDwellingsRangeTo,default,9
2,NetDwellingsRangeFrom,default,15
2,NetDwellingsRangeTo,default,15
3,NetDwellingsRangeFrom,default,9
3,NetDwellingsRangeTo,default,9
4,NetDwellingsRangeFrom,default,387
4,NetDwellingsRangeTo,default,387
5,NetDwellingsRangeFrom,default,103
5,NetDwellingsRangeTo,default,103
6,NetDwellingsRangeFrom,default,100
6,NetDwellingsRangeTo,default,100
7,NetDwellingsRangeFrom,default,36
7,NetDwellingsRangeTo,default,36
8,NetDwellingsRangeFrom,default,6
8,NetDwellingsRangeTo,default,6
9,NetDwellingsRangeFrom,default,12
9,NetDwellingsRangeTo,default,12
10,NetDwellingsRangeFrom,default,9
10,NetDwellingsRangeTo,default,9
11,NetDwellingsRangeFrom,default,624
11,NetDwellingsRangeTo,default,624
12,NetDwellingsRangeFrom,default,210
12,NetDwellingsRangeTo,default,210
13,NetDwellingsRangeFrom,default,6
13,NetDwellingsRangeTo,default,6
14,NetDwellingsRangeFrom,default,10
14,NetDwellingsRangeTo,default,10
15,NetDwellingsRangeFrom,default,42
15,NetDwellingsRangeTo,default,42
16,NetDwellingsRangeFrom,default,7
16,NetDwellingsRangeTo,default,7
17,NetDwellingsRangeFrom,default,104
17,NetDwellingsRangeTo,default,104
18,NetDwellingsRangeFrom,default,7
18,NetDwellingsRangeTo,default,7
19,NetDwellingsRangeFrom,default,24
19,NetDwellingsRangeTo,default,24
20,NetDwellingsRangeFrom,default,520
20,NetDwellingsRangeTo,default,520
21,NetDwellingsRangeFrom,default,6
21,NetDwellingsRangeTo,default,6
22,NetDwellingsRangeFrom,default,16
22,NetDwellingsRangeTo,default,16
23,NetDwellingsRangeFrom,default,18
23,NetDwellingsRangeTo,default,18
24,NetDwellingsRangeFrom,default,24
24,NetDwellingsRangeTo,default,24
25,NetDwellingsRangeFrom,default,14
25,NetDwellingsRangeTo,default,14
26,NetDwellingsRangeFrom,default,419
26,NetDwellingsRangeTo,default,419
27,NetDwellingsRangeFrom,default,20
27,NetDwellingsRangeTo,default,20
28,NetDwellingsRangeFrom,default,72
28,NetDwellingsRangeTo,default,72
29,NetDwellingsRangeFrom,default,192
29,NetDwellingsRangeTo,default,192
30,NetDwellingsRangeFrom,default,10
30,NetDwellingsRangeTo,default,10
31,NetDwellingsRangeFrom,default,5
31,NetDwellingsRangeTo,default,5
32,NetDwellingsRangeFrom,default,8
