row-number,field,issue-type,value
1,Deliverable,enum,Not available
1,Hectares,missing,
2,Hectares,missing,
3,Deliverable,enum,Not available
3,Hectares,missing,
4,Hectares,missing,
5,Hectares,missing,
6,Hectares,missing,
7,Hectares,missing,
8,Hectares,missing,
9,Hectares,missing,
10,Hectares,missing,
11,Deliverable,enum,Not available
11,Hectares,missing,
12,Hectares,missing,
13,Hectares,missing,
14,Hectares,missing,
15,Hectares,missing,
16,Hectares,missing,
17,Hectares,missing,
18,NetDwellingsRangeFrom,integer,TBC
18,Hectares,missing,
19,Hectares,missing,
20,Hectares,missing,
21,Hectares,missing,
22,Hectares,missing,
23,Hectares,missing,
24,Hectares,missing,
25,Hectares,missing,
26,Hectares,missing,
27,Hectares,missing,
28,NetDwellingsRangeFrom,integer,TBC
28,NetDwellingsRangeTo,integer,TBC
28,Hectares,missing,
29,NetDwellingsRangeFrom,integer,TBC
29,NetDwellingsRangeTo,integer,TBC
29,Hectares,missing,
30,Hectares,missing,
31,Hectares,missing,
32,Hectares,missing,
33,Hectares,missing,
34,Hectares,missing,
35,Hectares,missing,
36,Hectares,missing,
37,Hectares,missing,
38,Hectares,missing,
39,NetDwellingsRangeFrom,integer,TBC
39,Hectares,missing,
40,Hectares,missing,
41,Hectares,missing,
42,Hectares,missing,
43,Hectares,missing,
44,Hectares,missing,
45,Hectares,missing,
46,Hectares,missing,
47,Hectares,missing,
48,Hectares,missing,
49,Hectares,missing,
50,Hectares,missing,
51,Hectares,missing,
52,Hectares,missing,
53,Hectares,missing,
54,Hectares,missing,
55,Hectares,missing,
56,Hectares,missing,
57,Hectares,missing,
58,Hectares,missing,
59,Hectares,missing,
60,Hectares,missing,
61,Hectares,missing,
62,Hectares,missing,
63,Hectares,missing,
64,Hectares,missing,
65,Hectares,missing,
66,Hectares,missing,
67,Hectares,missing,
68,Hectares,missing,
69,Hectares,missing,
70,Hectares,missing,
71,Hectares,missing,
72,Hectares,missing,
73,Hectares,missing,
74,Hectares,missing,
75,Hectares,missing,
76,Hectares,missing,
77,Hectares,missing,
78,Hectares,missing,
79,Hectares,missing,
80,Hectares,missing,
81,Hectares,missing,
82,Hectares,missing,
83,Hectares,missing,
84,Hectares,missing,
85,Hectares,missing,
86,Hectares,missing,
87,Hectares,missing,
88,Hectares,missing,
89,Hectares,missing,
90,Hectares,missing,
91,Hectares,missing,
92,Hectares,missing,
93,Hectares,missing,
94,Hectares,missing,
95,Hectares,missing,
96,Hectares,missing,
97,Hectares,missing,
98,Hectares,missing,
99,Hectares,missing,
100,Hectares,missing,
101,Hectares,missing,
102,Hectares,missing,
103,Hectares,missing,
104,Hectares,missing,
105,Hectares,missing,
106,Hectares,missing,
107,Hectares,missing,
108,Hectares,missing,
109,Hectares,missing,
110,Hectares,missing,
111,Hectares,missing,
112,Hectares,missing,
113,Hectares,missing,
114,Hectares,missing,
115,Hectares,missing,
116,Hectares,missing,
