row-number,field,issue-type,value
1,SiteplanURL,uri,BR1
2,SiteplanURL,uri,BR2
3,SiteplanURL,uri,BR3
3,NetDwellingsRangeFrom,default,69
3,NetDwellingsRangeTo,default,69
4,SiteplanURL,uri,BR4
4,NetDwellingsRangeFrom,default,373
4,NetDwellingsRangeTo,default,373
5,SiteplanURL,uri,BR5
5,NetDwellingsRangeFrom,default,41
5,NetDwellingsRangeTo,default,41
6,SiteplanURL,uri,BR6
6,NetDwellingsRangeFrom,default,89
6,NetDwellingsRangeTo,default,89
7,SiteplanURL,uri,BR7
7,NetDwellingsRangeFrom,default,3
7,NetDwellingsRangeTo,default,3
8,SiteplanURL,uri,BR8
9,SiteplanURL,uri,BR9
10,SiteplanURL,uri,BR10
10,NetDwellingsRangeFrom,default,8
10,NetDwellingsRangeTo,default,8
11,SiteplanURL,uri,BR11
12,SiteplanURL,uri,BR12
13,SiteplanURL,uri,BR13
14,SiteplanURL,uri,BR14
15,SiteplanURL,uri,BR16
15,NetDwellingsRangeFrom,default,76
15,NetDwellingsRangeTo,default,76
16,SiteplanURL,uri,BR17
16,NetDwellingsRangeFrom,default,14
16,NetDwellingsRangeTo,default,14
17,SiteplanURL,uri,BR18
18,SiteplanURL,uri,BR20
19,SiteplanURL,uri,BR21
19,NetDwellingsRangeFrom,default,400
19,NetDwellingsRangeTo,default,400
20,SiteplanURL,uri,BR22
21,SiteplanURL,uri,BR23
21,NetDwellingsRangeFrom,default,14
21,NetDwellingsRangeTo,default,14
22,SiteplanURL,uri,BR24
