row-number,field,issue-type,value
1,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
3,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
4,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
6,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
7,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
8,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
10,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
11,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
12,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
14,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
15,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
