row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,7
1,NetDwellingsRangeTo,default,7
2,NetDwellingsRangeFrom,default,6
2,NetDwellingsRangeTo,default,6
3,NetDwellingsRangeFrom,default,26
3,NetDwellingsRangeTo,default,26
4,NetDwellingsRangeFrom,default,30
4,NetDwellingsRangeTo,default,30
5,NetDwellingsRangeFrom,default,7
5,NetDwellingsRangeTo,default,7
6,NetDwellingsRangeFrom,default,52
6,NetDwellingsRangeTo,default,52
7,NetDwellingsRangeFrom,default,22
7,NetDwellingsRangeTo,default,22
8,NetDwellingsRangeFrom,default,20
8,NetDwellingsRangeTo,default,20
9,NetDwellingsRangeFrom,default,5
9,NetDwellingsRangeTo,default,5
10,NetDwellingsRangeFrom,default,5
10,NetDwellingsRangeTo,default,5
11,NetDwellingsRangeFrom,default,573
11,NetDwellingsRangeTo,default,573
12,NetDwellingsRangeFrom,default,11
12,NetDwellingsRangeTo,default,11
13,NetDwellingsRangeFrom,default,9
13,NetDwellingsRangeTo,default,9
14,NetDwellingsRangeFrom,default,5
14,NetDwellingsRangeTo,default,5
15,NetDwellingsRangeFrom,default,12
15,NetDwellingsRangeTo,default,12
16,NetDwellingsRangeFrom,default,5
16,NetDwellingsRangeTo,default,5
17,NetDwellingsRangeFrom,default,5
17,NetDwellingsRangeTo,default,5
18,NetDwellingsRangeFrom,default,5
18,NetDwellingsRangeTo,default,5
19,NetDwellingsRangeFrom,default,7
19,NetDwellingsRangeTo,default,7
20,NetDwellingsRangeFrom,default,35
20,NetDwellingsRangeTo,default,35
21,NetDwellingsRangeFrom,default,93
21,NetDwellingsRangeTo,default,93
22,NetDwellingsRangeFrom,default,13
22,NetDwellingsRangeTo,default,13
23,NetDwellingsRangeFrom,default,63
23,NetDwellingsRangeTo,default,63
24,NetDwellingsRangeFrom,default,345
24,NetDwellingsRangeTo,default,345
25,NetDwellingsRangeFrom,default,14
25,NetDwellingsRangeTo,default,14
26,NetDwellingsRangeFrom,default,10
26,NetDwellingsRangeTo,default,10
27,NetDwellingsRangeFrom,default,9
27,NetDwellingsRangeTo,default,9
28,NetDwellingsRangeFrom,default,5
28,NetDwellingsRangeTo,default,5
29,NetDwellingsRangeFrom,default,4
29,NetDwellingsRangeTo,default,4
30,NetDwellingsRangeFrom,default,38
30,NetDwellingsRangeTo,default,38
31,NetDwellingsRangeFrom,default,27
31,NetDwellingsRangeTo,default,27
32,NetDwellingsRangeFrom,default,6
32,NetDwellingsRangeTo,default,6
33,NetDwellingsRangeFrom,default,58
33,NetDwellingsRangeTo,default,58
34,NetDwellingsRangeFrom,default,8
34,NetDwellingsRangeTo,default,8
35,NetDwellingsRangeFrom,default,50
35,NetDwellingsRangeTo,default,50
36,NetDwellingsRangeFrom,default,1000
36,NetDwellingsRangeTo,default,1000
37,NetDwellingsRangeFrom,default,10
37,NetDwellingsRangeTo,default,10
38,NetDwellingsRangeFrom,default,6
38,NetDwellingsRangeTo,default,6
39,NetDwellingsRangeFrom,default,5
39,NetDwellingsRangeTo,default,5
40,NetDwellingsRangeFrom,default,6
40,NetDwellingsRangeTo,default,6
41,NetDwellingsRangeFrom,default,7
41,NetDwellingsRangeTo,default,7
42,NetDwellingsRangeFrom,default,9
42,NetDwellingsRangeTo,default,9
43,NetDwellingsRangeFrom,default,6
43,NetDwellingsRangeTo,default,6
44,NetDwellingsRangeFrom,default,22
44,NetDwellingsRangeTo,default,22
45,NetDwellingsRangeFrom,default,53
45,NetDwellingsRangeTo,default,53
46,NetDwellingsRangeFrom,default,6
46,NetDwellingsRangeTo,default,6
47,NetDwellingsRangeFrom,default,6
47,NetDwellingsRangeTo,default,6
48,NetDwellingsRangeFrom,default,12
48,NetDwellingsRangeTo,default,12
49,NetDwellingsRangeFrom,default,19
49,NetDwellingsRangeTo,default,19
50,NetDwellingsRangeFrom,default,36
50,NetDwellingsRangeTo,default,36
51,NetDwellingsRangeFrom,default,106
51,NetDwellingsRangeTo,default,106
52,NetDwellingsRangeFrom,default,5
52,NetDwellingsRangeTo,default,5
53,NetDwellingsRangeFrom,default,35
53,NetDwellingsRangeTo,default,35
54,NetDwellingsRangeFrom,default,9
54,NetDwellingsRangeTo,default,9
55,NetDwellingsRangeFrom,default,40
55,NetDwellingsRangeTo,default,40
56,NetDwellingsRangeFrom,default,7
56,NetDwellingsRangeTo,default,7
57,NetDwellingsRangeFrom,default,8
57,NetDwellingsRangeTo,default,8
58,NetDwellingsRangeFrom,default,5
58,NetDwellingsRangeTo,default,5
59,NetDwellingsRangeFrom,default,27
59,NetDwellingsRangeTo,default,27
60,NetDwellingsRangeFrom,default,21
60,NetDwellingsRangeTo,default,21
61,NetDwellingsRangeFrom,default,29
61,NetDwellingsRangeTo,default,29
62,NetDwellingsRangeFrom,default,70
62,NetDwellingsRangeTo,default,70
63,NetDwellingsRangeFrom,default,6
63,NetDwellingsRangeTo,default,6
64,NetDwellingsRangeFrom,default,8
64,NetDwellingsRangeTo,default,8
65,NetDwellingsRangeFrom,default,53
65,NetDwellingsRangeTo,default,53
66,NetDwellingsRangeFrom,default,5
66,NetDwellingsRangeTo,default,5
67,NetDwellingsRangeFrom,default,9
67,NetDwellingsRangeTo,default,9
68,NetDwellingsRangeFrom,default,5
68,NetDwellingsRangeTo,default,5
69,NetDwellingsRangeFrom,default,94
69,NetDwellingsRangeTo,default,94
70,NetDwellingsRangeFrom,default,22
70,NetDwellingsRangeTo,default,22
71,NetDwellingsRangeFrom,default,14
71,NetDwellingsRangeTo,default,14
72,NetDwellingsRangeFrom,default,121
72,NetDwellingsRangeTo,default,121
73,NetDwellingsRangeFrom,default,8
73,NetDwellingsRangeTo,default,8
74,NetDwellingsRangeFrom,default,42
74,NetDwellingsRangeTo,default,42
75,NetDwellingsRangeFrom,default,13
75,NetDwellingsRangeTo,default,13
76,NetDwellingsRangeFrom,default,184
76,NetDwellingsRangeTo,default,184
77,NetDwellingsRangeFrom,default,6
77,NetDwellingsRangeTo,default,6
78,NetDwellingsRangeFrom,default,60
78,NetDwellingsRangeTo,default,60
79,NetDwellingsRangeFrom,default,22
79,NetDwellingsRangeTo,default,22
80,NetDwellingsRangeFrom,default,10
80,NetDwellingsRangeTo,default,10
81,NetDwellingsRangeFrom,default,6
81,NetDwellingsRangeTo,default,6
82,NetDwellingsRangeFrom,default,164
82,NetDwellingsRangeTo,default,164
83,NetDwellingsRangeFrom,default,16
83,NetDwellingsRangeTo,default,16
84,NetDwellingsRangeFrom,default,55
84,NetDwellingsRangeTo,default,55
85,NetDwellingsRangeFrom,default,175
