row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,28
1,NetDwellingsRangeTo,default,28
1,LastUpdatedDate,default,2017-12-31
2,NetDwellingsRangeFrom,default,8
2,NetDwellingsRangeTo,default,8
2,LastUpdatedDate,default,2017-12-31
3,NetDwellingsRangeFrom,default,227
3,NetDwellingsRangeTo,default,227
3,LastUpdatedDate,default,2017-12-31
4,NetDwellingsRangeFrom,default,86
4,NetDwellingsRangeTo,default,86
4,LastUpdatedDate,default,2017-12-31
5,NetDwellingsRangeFrom,default,6
5,NetDwellingsRangeTo,default,6
5,LastUpdatedDate,default,2017-12-31
6,NetDwellingsRangeFrom,default,14
6,NetDwellingsRangeTo,default,14
6,LastUpdatedDate,default,2017-12-31
7,NetDwellingsRangeFrom,default,10
7,NetDwellingsRangeTo,default,10
7,LastUpdatedDate,default,2017-12-31
8,NetDwellingsRangeFrom,default,204
8,NetDwellingsRangeTo,default,204
8,LastUpdatedDate,default,2017-12-31
9,NetDwellingsRangeFrom,default,44
9,NetDwellingsRangeTo,default,44
9,LastUpdatedDate,default,2017-12-31
10,NetDwellingsRangeFrom,default,55
10,NetDwellingsRangeTo,default,55
10,LastUpdatedDate,default,2017-12-31
11,NetDwellingsRangeFrom,default,24
11,NetDwellingsRangeTo,default,24
11,LastUpdatedDate,default,2017-12-31
12,NetDwellingsRangeFrom,default,58
12,NetDwellingsRangeTo,default,58
12,LastUpdatedDate,default,2017-12-31
13,NetDwellingsRangeFrom,default,5
13,NetDwellingsRangeTo,default,5
13,LastUpdatedDate,default,2017-12-31
14,NetDwellingsRangeFrom,default,40
14,NetDwellingsRangeTo,default,40
14,LastUpdatedDate,default,2017-12-31
15,NetDwellingsRangeFrom,default,47
15,NetDwellingsRangeTo,default,47
15,LastUpdatedDate,default,2017-12-31
16,NetDwellingsRangeFrom,default,11
16,NetDwellingsRangeTo,default,11
16,LastUpdatedDate,default,2017-12-31
17,NetDwellingsRangeFrom,default,9
17,NetDwellingsRangeTo,default,9
17,LastUpdatedDate,default,2017-12-31
18,NetDwellingsRangeFrom,default,8
18,NetDwellingsRangeTo,default,8
18,LastUpdatedDate,default,2017-12-31
19,NetDwellingsRangeFrom,default,6
19,NetDwellingsRangeTo,default,6
19,LastUpdatedDate,default,2017-12-31
20,NetDwellingsRangeFrom,default,5
20,NetDwellingsRangeTo,default,5
20,LastUpdatedDate,default,2017-12-31
21,NetDwellingsRangeFrom,default,90
21,NetDwellingsRangeTo,default,90
21,LastUpdatedDate,default,2017-12-31
22,NetDwellingsRangeFrom,default,7
22,NetDwellingsRangeTo,default,7
22,LastUpdatedDate,default,2017-12-31
23,NetDwellingsRangeFrom,default,7
23,NetDwellingsRangeTo,default,7
23,LastUpdatedDate,default,2017-12-31
24,NetDwellingsRangeFrom,default,16
24,NetDwellingsRangeTo,default,16
24,LastUpdatedDate,default,2017-12-31
25,NetDwellingsRangeFrom,default,14
25,NetDwellingsRangeTo,default,14
25,LastUpdatedDate,default,2017-12-31
26,NetDwellingsRangeFrom,default,8
26,NetDwellingsRangeTo,default,8
26,LastUpdatedDate,default,2017-12-31
27,NetDwellingsRangeFrom,default,8
27,NetDwellingsRangeTo,default,8
27,LastUpdatedDate,default,2017-12-31
28,NetDwellingsRangeFrom,default,10
28,NetDwellingsRangeTo,default,10
28,LastUpdatedDate,default,2017-12-31
29,NetDwellingsRangeFrom,default,58
29,NetDwellingsRangeTo,default,58
29,LastUpdatedDate,default,2017-12-31
30,NetDwellingsRangeFrom,default,8
30,NetDwellingsRangeTo,default,8
30,LastUpdatedDate,default,2017-12-31
31,NetDwellingsRangeFrom,default,200
31,NetDwellingsRangeTo,default,200
31,LastUpdatedDate,default,2017-12-31
32,NetDwellingsRangeFrom,default,36
32,NetDwellingsRangeTo,default,36
32,LastUpdatedDate,default,2017-12-31
33,NetDwellingsRangeFrom,default,50
33,NetDwellingsRangeTo,default,50
33,LastUpdatedDate,default,2017-12-31
34,NetDwellingsRangeFrom,default,210
34,NetDwellingsRangeTo,default,210
34,LastUpdatedDate,default,2017-12-31
35,NetDwellingsRangeFrom,default,45
35,NetDwellingsRangeTo,default,45
35,LastUpdatedDate,default,2017-12-31
36,NetDwellingsRangeFrom,default,40
36,NetDwellingsRangeTo,default,40
36,LastUpdatedDate,default,2017-12-31
37,NetDwellingsRangeFrom,default,30
37,NetDwellingsRangeTo,default,30
37,LastUpdatedDate,default,2017-12-31
38,NetDwellingsRangeFrom,default,90
38,NetDwellingsRangeTo,default,90
38,LastUpdatedDate,default,2017-12-31
39,NetDwellingsRangeFrom,default,80
39,NetDwellingsRangeTo,default,80
39,LastUpdatedDate,default,2017-12-31
40,NetDwellingsRangeFrom,default,0
40,NetDwellingsRangeTo,default,0
40,LastUpdatedDate,default,2017-12-31
41,NetDwellingsRangeFrom,default,50
41,NetDwellingsRangeTo,default,50
41,LastUpdatedDate,default,2017-12-31
42,NetDwellingsRangeFrom,default,35
42,NetDwellingsRangeTo,default,35
42,LastUpdatedDate,default,2017-12-31
43,NetDwellingsRangeFrom,default,250
43,NetDwellingsRangeTo,default,250
43,LastUpdatedDate,default,2017-12-31
