row-number,field,issue-type,value
1,"GeoX,GeoY",OSGB,","
1,GeoX,missing,
1,GeoY,missing,
2,"GeoX,GeoY",OSGB,","
2,GeoX,missing,
2,GeoY,missing,
3,"GeoX,GeoY",OSGB,","
3,GeoX,missing,
3,GeoY,missing,
4,"GeoX,GeoY",OSGB,","
4,GeoX,missing,
4,GeoY,missing,
5,PermissionDate,date,27/11/2013|04/11/2015
5,"GeoX,GeoY",OSGB,","
5,GeoX,missing,
5,GeoY,missing,
6,"GeoX,GeoY",OSGB,","
6,GeoX,missing,
6,GeoY,missing,
7,"GeoX,GeoY",OSGB,","
7,GeoX,missing,
7,GeoY,missing,
8,PermissionDate,date,11/10/2012|10/03/2014|01/07/2016
8,"GeoX,GeoY",OSGB,","
8,GeoX,missing,
8,GeoY,missing,
9,PermissionDate,date,24/04/2014| 10/09/2014
9,"GeoX,GeoY",OSGB,","
9,GeoX,missing,
9,GeoY,missing,
10,"GeoX,GeoY",OSGB,","
10,GeoX,missing,
10,GeoY,missing,
11,"GeoX,GeoY",OSGB,","
11,GeoX,missing,
11,GeoY,missing,
12,"GeoX,GeoY",OSGB,","
12,GeoX,missing,
12,GeoY,missing,
13,"GeoX,GeoY",OSGB,","
13,GeoX,missing,
13,GeoY,missing,
14,"GeoX,GeoY",OSGB,","
14,GeoX,missing,
14,GeoY,missing,
15,"GeoX,GeoY",OSGB,","
15,GeoX,missing,
15,GeoY,missing,
16,"GeoX,GeoY",OSGB,","
16,GeoX,missing,
16,GeoY,missing,
17,"GeoX,GeoY",OSGB,","
17,GeoX,missing,
17,GeoY,missing,
18,"GeoX,GeoY",OSGB,","
18,GeoX,missing,
18,GeoY,missing,
19,"GeoX,GeoY",OSGB,","
19,GeoX,missing,
19,GeoY,missing,
20,"GeoX,GeoY",OSGB,","
20,GeoX,missing,
20,GeoY,missing,
21,"GeoX,GeoY",OSGB,","
21,GeoX,missing,
21,GeoY,missing,
22,PermissionDate,date,09/12/2002|10/10/2014
22,"GeoX,GeoY",OSGB,","
22,GeoX,missing,
22,GeoY,missing,
23,"GeoX,GeoY",OSGB,","
23,GeoX,missing,
23,GeoY,missing,
24,"GeoX,GeoY",OSGB,","
24,GeoX,missing,
24,GeoY,missing,
25,"GeoX,GeoY",OSGB,","
25,GeoX,missing,
25,GeoY,missing,
26,"GeoX,GeoY",OSGB,","
26,GeoX,missing,
26,GeoY,missing,
27,"GeoX,GeoY",OSGB,","
27,GeoX,missing,
27,GeoY,missing,
28,"GeoX,GeoY",OSGB,","
28,GeoX,missing,
28,GeoY,missing,
29,"GeoX,GeoY",OSGB,","
29,GeoX,missing,
29,GeoY,missing,
30,"GeoX,GeoY",OSGB,","
30,GeoX,missing,
30,GeoY,missing,
31,"GeoX,GeoY",OSGB,","
31,GeoX,missing,
31,GeoY,missing,
32,"GeoX,GeoY",OSGB,","
32,GeoX,missing,
32,GeoY,missing,
33,"GeoX,GeoY",OSGB,","
33,GeoX,missing,
33,GeoY,missing,
34,"GeoX,GeoY",OSGB,","
34,GeoX,missing,
34,GeoY,missing,
35,"GeoX,GeoY",OSGB,","
35,GeoX,missing,
35,GeoY,missing,
36,"GeoX,GeoY",OSGB,","
36,GeoX,missing,
36,GeoY,missing,
37,"GeoX,GeoY",OSGB,","
37,GeoX,missing,
37,GeoY,missing,
38,"GeoX,GeoY",OSGB,","
38,GeoX,missing,
38,GeoY,missing,
39,"GeoX,GeoY",OSGB,","
39,GeoX,missing,
39,GeoY,missing,
40,"GeoX,GeoY",OSGB,","
40,GeoX,missing,
40,GeoY,missing,
41,"GeoX,GeoY",OSGB,","
41,GeoX,missing,
41,GeoY,missing,
42,"GeoX,GeoY",OSGB,","
42,GeoX,missing,
42,GeoY,missing,
43,"GeoX,GeoY",OSGB,","
43,GeoX,missing,
43,GeoY,missing,
44,"GeoX,GeoY",OSGB,","
44,GeoX,missing,
44,GeoY,missing,
45,"GeoX,GeoY",OSGB,","
45,GeoX,missing,
45,GeoY,missing,
46,"GeoX,GeoY",OSGB,","
46,GeoX,missing,
46,GeoY,missing,
47,"GeoX,GeoY",OSGB,","
47,GeoX,missing,
47,GeoY,missing,
48,"GeoX,GeoY",OSGB,","
48,GeoX,missing,
48,GeoY,missing,
49,PermissionDate,date,22/08/2011|14/10/2014|08/09/2016
49,"GeoX,GeoY",OSGB,","
49,GeoX,missing,
49,GeoY,missing,
50,"GeoX,GeoY",OSGB,","
50,GeoX,missing,
50,GeoY,missing,
51,"GeoX,GeoY",OSGB,","
51,GeoX,missing,
51,GeoY,missing,
52,"GeoX,GeoY",OSGB,","
52,GeoX,missing,
52,GeoY,missing,
53,"GeoX,GeoY",OSGB,","
