row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,5
1,LastUpdatedDate,default,2017-12-15
2,NetDwellingsRangeFrom,default,6
2,LastUpdatedDate,default,2017-12-15
3,NetDwellingsRangeFrom,default,1
3,LastUpdatedDate,default,2017-12-15
4,NetDwellingsRangeFrom,default,4
4,LastUpdatedDate,default,2017-12-15
5,NetDwellingsRangeFrom,default,9
5,LastUpdatedDate,default,2017-12-15
6,NetDwellingsRangeFrom,default,100
6,LastUpdatedDate,default,2017-12-15
7,NetDwellingsRangeFrom,default,31
7,LastUpdatedDate,default,2017-12-15
8,NetDwellingsRangeFrom,default,26
8,LastUpdatedDate,default,2017-12-15
9,MinNetDwellings,integer,700 (200 net)
9,NetDwellingsRangeTo,integer,700 (200 net)
9,LastUpdatedDate,default,2017-12-15
9,NetDwellingsRangeFrom,missing,
9,NetDwellingsRangeTo,missing,
10,NetDwellingsRangeFrom,default,286
10,LastUpdatedDate,default,2017-12-15
11,NetDwellingsRangeFrom,default,249
11,LastUpdatedDate,default,2017-12-15
12,NetDwellingsRangeFrom,default,58
12,LastUpdatedDate,default,2017-12-15
13,NetDwellingsRangeFrom,default,25
13,LastUpdatedDate,default,2017-12-15
14,NetDwellingsRangeFrom,default,8
14,LastUpdatedDate,default,2017-12-15
15,NetDwellingsRangeFrom,default,60
15,LastUpdatedDate,default,2017-12-15
16,MinNetDwellings,integer,>1
16,NetDwellingsRangeTo,integer,>1
16,LastUpdatedDate,default,2017-12-15
16,NetDwellingsRangeFrom,missing,
16,NetDwellingsRangeTo,missing,
17,NetDwellingsRangeFrom,default,10
17,LastUpdatedDate,default,2017-12-15
18,NetDwellingsRangeFrom,default,15
18,LastUpdatedDate,default,2017-12-15
19,NetDwellingsRangeFrom,default,15
19,LastUpdatedDate,default,2017-12-15
20,NetDwellingsRangeFrom,default,11
20,LastUpdatedDate,default,2018-12-21
21,NetDwellingsRangeFrom,default,18
21,LastUpdatedDate,default,2018-12-21
22,NetDwellingsRangeFrom,default,12
22,LastUpdatedDate,default,2018-12-21
23,MinNetDwellings,integer,>1
23,NetDwellingsRangeTo,integer,>1
23,LastUpdatedDate,default,2018-12-21
23,NetDwellingsRangeFrom,missing,
23,NetDwellingsRangeTo,missing,
