OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR8,"Adur Civic Centre, Ham Road, Shoreham-by-Sea",522046,105165,"https://www.adur-worthing.gov.uk/media/media,146445,en.pdf",0.6,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,75,75,120,yes,"The Council, as landowner, is actively supporting the redevelopment of this former Civic Office site.  Demolition of the building has been completed.. SHLAA Ref: ADC/059/13",2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR9,"Land at 7-27 Albion Street, Southwick",523749,104996,"https://www.adur-worthing.gov.uk/media/media,146446,en.pdf",0.3,mixed ownership,,pending decision,full planning permission,,https://planning.adur-worthing.gov.uk/online-applications/,33,33,33,yes,. Demolition of 11-27 Albion Street and redevelopment to provide a total of 50 flats comprising 15 affordable and 35 market flats and the refurbishment of 7-9 Albion Street (to provide 6 flats within the existing building).. AWDM/0954/18,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR10,"Laundry, Alma Street, Lancing",518177,103839,"https://www.adur-worthing.gov.uk/media/media,146447,en.pdf",0.09,not owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,13,13,13,yes,A planning application has been received but not yet registered as additional information is required.. SHLAA Ref: ADC/082/13,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR11,"Community Buildings, Pond Road, Shoreham-by-Sea",521604,105241,"https://www.adur-worthing.gov.uk/media/media,146448,en.pdf",0.57,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,27,27,27,yes,The site is in multiple public ownership.  Significant progress has been made to deliver a mixed use scheme to include approximately 27 dwellings.. SHLAA Ref: ADC/086/16,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR12,"Land at Eastbrook Primary School, Manor Hall Road, Southwick",524811,105522,"https://www.adur-worthing.gov.uk/media/media,146449,en.pdf",0.7,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,36,36,36,yes,The site is in public ownership and has been declared surplus to requirements and is vacant.. SHLAA Ref: ADC/119/13,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR13,"5 Brighton Road, Shoreham-by-Sea",523319,104938,"https://www.adur-worthing.gov.uk/media/media,146450,en.pdf",0.47,not owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,45,45,90,yes,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change. The regeneration of Shoreham Harbour has been a long term aspiration and and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  The principle of redeveloping this site for a residential use is consistent with Joint Area Action Plan policies.. SHLAA Ref: SH/001/13,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR15,"Kingston Wharf, Brighton Road, Shoreham-by-Sea",523125,105002,"https://www.adur-worthing.gov.uk/media/media,146452,en.pdf",1.5,not owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,140,140,140,yes,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change. The regeneration of Shoreham Harbour has been a long term aspiration and and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  The principle of redeveloping this site for a residential use is consistent with Joint Area Action Plan policies.. SHLAA Ref:SH/008/16,2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR17,"The Old Town Hall, 142 Albion Street, Southwick",524411,105026,"https://www.adur-worthing.gov.uk/media/media,146454,en.pdf",0.05,not owned by a public authority,,permissioned,full planning permission,2017-11-08,https://planning.adur-worthing.gov.uk/online-applications/,6,6,6,yes,". Application for permitted development for prior approval for change of use from offices Use Class B1a set out over three floor to Use Class C3, 6 residential units. Planning Ref: NOTICE/0011/17",2017-10-16,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR19,"Regal House, 45/49 Penhill Road, Lancing",518409,104074,"https://www.adur-worthing.gov.uk/media/media,151924,en.pdf",0.05,not owned by a public authority,,permissioned,full planning permission,2018-08-23,https://planning.adur-worthing.gov.uk/online-applications/,7,7,7,yes,". Demolition of existing building, construction of a three storey block of flats comprising 3no. one bedroom, 3no. two bedroom and 1no. three bedroom flats together with associated car parking, amenity space and landscaping. Planning Ref: AWDM/0948/18",2018-10-30,2019-10-30,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR20,"Lancing Police Station, 101/111 North Road, Lancing",518262,104771,"https://www.adur-worthing.gov.uk/media/media,151925,en.pdf",0.112,owned by a public authority,,not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-background-studies-and-info/housing/#shlaa,24,24,24,yes,. Redevelopment of police station.. SHLAA Ref: ADC/025/13,2018-10-30,2019-10-30,
